XL2 Broadband Logging:		CL BA\2026-03-03_SLM_000_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	50 - 150 dB

# Time
	Start:          	2026-03-03, 11:32:46
	End:            	2026-03-03, 11:38:41

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-03-03  	11:32:47  	00:00:01  	56.7     	56.5     	57.1     	56.3     	56.7    	56.7    	-.-      	56.7    	-.-      	56.7    	-.-       	56.7    	-.-       	56.7    	-.-       	68.6      	70.4     	70.0     	71.2     	68.9     	70.4    	70.4    	-.-      	70.4    	-.-      	70.4    	-.-       	70.4    	-.-       	70.4    	-.-       	80.2      	72.7     	72.2     	74.0     	71.4     	72.7    	72.7    	-.-      	82.8      	A--/A--     	        	        
	2026-03-03  	11:32:48  	00:00:02  	57.0     	56.7     	57.9     	56.6     	57.1    	56.9    	-.-      	56.9    	-.-      	56.9    	-.-       	56.9    	-.-       	56.9    	-.-       	69.6      	71.4     	70.1     	73.9     	69.1     	71.5    	71.0    	-.-      	71.0    	-.-      	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	83.8      	74.8     	72.2     	78.6     	71.1     	75.2    	74.1    	-.-      	88.5      	A--/A--     	        	        
	2026-03-03  	11:32:49  	00:00:03  	57.0     	56.9     	57.4     	56.6     	57.0    	56.9    	-.-      	56.9    	-.-      	56.9    	-.-       	56.9    	-.-       	56.9    	-.-       	69.4      	71.2     	70.2     	71.8     	68.7     	69.9    	70.7    	-.-      	70.7    	-.-      	70.7    	-.-       	70.7    	-.-       	70.7    	-.-       	81.0      	74.3     	73.0     	74.5     	71.0     	72.3    	73.6    	-.-      	82.7      	A--/A--     	        	        
	2026-03-03  	11:32:50  	00:00:04  	57.0     	56.6     	57.1     	55.9     	56.5    	56.8    	-.-      	56.8    	-.-      	56.8    	-.-       	56.8    	-.-       	56.8    	-.-       	69.0      	70.3     	69.6     	70.0     	68.3     	69.2    	70.3    	-.-      	70.3    	-.-      	70.3    	-.-       	70.3    	-.-       	70.3    	-.-       	79.6      	73.0     	72.2     	73.2     	70.5     	71.7    	73.2    	-.-      	82.4      	A--/A--     	        	        
	2026-03-03  	11:32:51  	00:00:05  	56.6     	56.4     	56.5     	56.0     	56.4    	56.7    	-.-      	56.7    	56.7     	56.7    	-.-       	56.7    	-.-       	56.7    	-.-       	68.2      	69.8     	69.3     	70.5     	68.1     	69.2    	70.1    	-.-      	70.1    	70.1     	70.1    	-.-       	70.1    	-.-       	70.1    	-.-       	80.7      	72.4     	71.7     	73.3     	69.8     	71.5    	72.9    	-.-      	82.3      	A--/A--     	        	        
	2026-03-03  	11:32:52  	00:00:06  	56.5     	56.3     	56.8     	55.7     	56.2    	56.7    	-.-      	56.6    	56.7     	56.7    	-.-       	56.7    	-.-       	56.7    	-.-       	67.9      	69.7     	69.2     	71.0     	67.9     	69.7    	70.1    	-.-      	70.0    	70.1     	70.1    	-.-       	70.1    	-.-       	70.1    	-.-       	80.8      	71.9     	71.5     	73.1     	69.6     	71.7    	72.7    	-.-      	83.5      	A--/A--     	        	        
	2026-03-03  	11:32:53  	00:00:07  	56.4     	56.2     	57.0     	55.6     	56.2    	56.6    	-.-      	56.5    	56.7     	56.6    	-.-       	56.6    	-.-       	56.6    	-.-       	70.2      	69.8     	69.5     	70.6     	68.8     	69.7    	70.0    	-.-      	69.6    	70.1     	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	79.5      	72.1     	71.6     	73.0     	70.7     	72.1    	72.6    	-.-      	82.1      	A--/A--     	        	        
	2026-03-03  	11:32:54  	00:00:08  	56.2     	56.0     	56.7     	55.7     	56.0    	56.5    	-.-      	56.3    	56.7     	56.5    	-.-       	56.5    	-.-       	56.5    	-.-       	67.8      	70.4     	69.6     	71.7     	69.1     	70.6    	70.1    	-.-      	69.7    	70.1     	70.1    	-.-       	70.1    	-.-       	70.1    	-.-       	80.8      	72.7     	72.0     	74.0     	71.5     	72.9    	72.7    	-.-      	82.5      	A--/A--     	        	        
	2026-03-03  	11:32:55  	00:00:09  	56.1     	55.9     	56.5     	55.1     	55.8    	56.5    	-.-      	56.1    	56.7     	56.5    	-.-       	56.5    	-.-       	56.5    	-.-       	68.3      	70.4     	69.8     	71.8     	68.7     	69.7    	70.0    	-.-      	69.8    	70.1     	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	81.6      	72.8     	72.2     	74.2     	71.0     	71.9    	72.6    	-.-      	83.2      	A--/A--     	        	        
