XL2 RTA Spectrum Logging:		CL BA\2026-03-03_SLM_000_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	50 - 150 dB

# Time
	Start:          	2026-03-03, 11:32:46
	End:            	2026-03-03, 11:38:41

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-03-03  	11:32:47  	00:00:01  	         	43.5     	47.5     	51.1     	54.7     	61.0     	57.0     	67.8     	58.5     	64.3     	60.7     	67.1     	56.3     	51.8     	50.8     	49.4     	52.4     	56.0     	47.8     	46.6     	46.7     	49.1     	51.2     	42.8     	42.3     	42.6     	42.5     	38.3     	38.8     	38.8     	39.5     	40.4     	41.5     	42.7     	43.4     	44.7     	46.0     
	2026-03-03  	11:32:48  	00:00:02  	         	49.4     	48.3     	55.6     	56.8     	66.0     	68.3     	69.7     	59.9     	63.1     	61.5     	67.1     	57.0     	53.2     	50.0     	51.3     	53.2     	55.5     	49.5     	47.8     	47.4     	49.0     	52.1     	42.9     	43.0     	42.8     	42.4     	38.6     	38.7     	39.0     	39.8     	40.6     	41.4     	42.5     	43.4     	44.8     	46.0     
	2026-03-03  	11:32:49  	00:00:03  	         	46.2     	47.1     	54.1     	55.2     	64.6     	60.9     	64.1     	57.7     	63.3     	64.6     	66.1     	55.0     	53.2     	48.1     	48.3     	52.3     	55.9     	48.3     	48.5     	47.0     	48.6     	51.7     	43.7     	43.4     	43.2     	43.9     	38.7     	39.1     	39.5     	39.8     	40.5     	41.6     	42.3     	43.4     	44.7     	46.0     
	2026-03-03  	11:32:50  	00:00:04  	         	41.6     	46.0     	51.4     	54.8     	58.5     	61.2     	65.2     	57.5     	61.9     	60.0     	65.8     	53.9     	52.5     	49.0     	49.9     	53.1     	56.0     	48.2     	48.5     	47.3     	47.7     	49.6     	43.3     	43.0     	42.4     	43.3     	39.3     	39.5     	39.7     	40.2     	40.6     	41.5     	42.4     	43.5     	44.8     	46.0     
	2026-03-03  	11:32:51  	00:00:05  	         	44.0     	49.2     	55.5     	52.6     	57.5     	61.2     	67.1     	58.5     	60.9     	59.5     	66.2     	56.9     	51.0     	49.9     	48.4     	53.0     	55.9     	47.9     	49.0     	46.8     	46.6     	48.7     	42.5     	43.1     	43.3     	44.5     	39.4     	39.4     	39.5     	40.1     	40.6     	41.3     	42.2     	43.3     	44.7     	45.9     
	2026-03-03  	11:32:52  	00:00:06  	         	48.2     	48.6     	50.4     	51.8     	55.6     	60.5     	63.1     	57.4     	63.3     	60.2     	67.0     	57.9     	52.4     	48.9     	48.1     	52.6     	55.4     	48.3     	48.5     	46.2     	46.8     	48.8     	41.9     	42.7     	43.2     	44.7     	39.2     	39.0     	39.3     	39.6     	40.3     	41.3     	42.4     	43.4     	44.8     	45.9     
	2026-03-03  	11:32:53  	00:00:07  	         	44.1     	41.6     	55.5     	52.9     	59.2     	56.4     	65.9     	59.7     	63.3     	60.5     	66.6     	57.6     	52.3     	48.9     	48.5     	51.8     	56.2     	47.8     	47.4     	46.3     	47.9     	48.9     	41.3     	42.2     	42.8     	44.0     	39.0     	39.1     	39.3     	39.8     	40.3     	41.4     	42.4     	43.5     	44.7     	46.0     
	2026-03-03  	11:32:54  	00:00:08  	         	41.0     	47.0     	52.5     	55.2     	61.1     	60.5     	65.7     	57.2     	65.2     	60.6     	67.3     	57.6     	53.2     	48.4     	50.1     	51.4     	55.5     	49.2     	47.8     	46.2     	46.3     	48.1     	41.6     	42.2     	42.8     	43.8     	38.7     	38.8     	38.9     	40.0     	40.5     	41.3     	42.4     	43.5     	44.8     	46.0     
