XL2 Broadband Logging:		CL BA\2026-03-05_SLM_000_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	16.9 mV/Pa
	                	(from NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-03-05, 11:46:18
	End:            	2026-03-05, 11:51:22

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-03-05  	11:46:19  	00:00:01  	64.6     	62.2     	63.3     	57.7     	60.2    	60.2    	-.-      	60.2    	-.-      	60.2    	-.-       	60.2    	-.-       	60.2    	-.-       	75.2      	89.0     	87.0     	90.1     	81.1     	86.8    	86.8    	-.-      	86.8    	-.-      	86.8    	-.-       	86.8    	-.-       	86.8    	-.-       	96.2      	95.6     	93.7     	98.6     	89.1     	95.2    	95.2    	-.-      	104.0     	---/---     	        	        
	2026-03-05  	11:46:20  	00:00:02  	62.2     	60.9     	61.0     	57.8     	59.7    	60.0    	-.-      	60.0    	-.-      	60.0    	-.-       	60.0    	-.-       	60.0    	-.-       	72.5      	87.0     	83.7     	81.9     	77.7     	79.0    	84.4    	-.-      	84.4    	-.-      	84.4    	-.-       	84.4    	-.-       	84.4    	-.-       	89.1      	94.0     	90.4     	89.1     	81.9     	84.4    	92.5    	-.-      	94.1      	---/---     	        	        
	2026-03-05  	11:46:21  	00:00:03  	60.9     	58.4     	59.9     	54.2     	56.3    	59.1    	-.-      	59.1    	-.-      	59.1    	-.-       	59.1    	-.-       	59.1    	-.-       	72.3      	83.7     	80.4     	78.0     	73.9     	75.6    	83.0    	-.-      	83.0    	-.-      	83.0    	-.-       	83.0    	-.-       	83.0    	-.-       	85.8      	90.4     	86.9     	83.5     	78.9     	81.4    	90.9    	-.-      	91.1      	---/---     	        	        
	2026-03-05  	11:46:22  	00:00:04  	58.4     	56.3     	55.3     	52.9     	54.4    	58.3    	-.-      	58.3    	-.-      	58.3    	-.-       	58.3    	-.-       	58.3    	-.-       	68.7      	81.1     	79.3     	84.4     	74.1     	81.1    	82.6    	-.-      	82.6    	-.-      	82.6    	-.-       	82.6    	-.-       	82.6    	-.-       	91.7      	87.9     	85.7     	90.5     	79.2     	87.6    	90.3    	-.-      	97.8      	---/---     	        	        
	2026-03-05  	11:46:23  	00:00:05  	58.2     	55.9     	61.9     	53.1     	58.7    	58.4    	-.-      	58.4    	58.4     	58.4    	-.-       	58.4    	-.-       	58.4    	-.-       	79.9      	81.2     	78.8     	82.2     	73.0     	77.0    	81.9    	-.-      	81.9    	81.9     	81.9    	-.-       	81.9    	-.-       	81.9    	-.-       	89.1      	89.2     	86.7     	93.4     	80.7     	87.3    	89.8    	-.-      	98.5      	---/---     	        	        
	2026-03-05  	11:46:24  	00:00:06  	59.1     	57.8     	61.8     	56.9     	59.2    	58.5    	-.-      	58.1    	58.4     	58.5    	-.-       	58.5    	-.-       	58.5    	-.-       	71.1      	78.8     	77.0     	77.2     	73.7     	75.4    	81.3    	-.-      	78.2    	81.9     	81.3    	-.-       	81.3    	-.-       	81.3    	-.-       	87.0      	86.7     	84.6     	85.2     	78.3     	82.6    	89.2    	-.-      	93.5      	---/---     	        	        
	2026-03-05  	11:46:25  	00:00:07  	60.3     	59.1     	62.8     	59.3     	60.6    	58.9    	-.-      	58.4    	58.4     	58.9    	-.-       	58.9    	-.-       	58.9    	-.-       	72.3      	80.3     	77.1     	84.1     	77.0     	81.1    	81.3    	-.-      	78.8    	81.9     	81.3    	-.-       	81.3    	-.-       	81.3    	-.-       	92.2      	87.6     	84.8     	90.8     	85.1     	88.2    	89.1    	-.-      	98.3      	---/---     	        	        
	2026-03-05  	11:46:26  	00:00:08  	61.1     	60.0     	63.4     	59.7     	61.4    	59.3    	-.-      	59.4    	59.4     	59.3    	-.-       	59.3    	-.-       	59.3    	-.-       	77.9      	84.2     	80.1     	88.8     	79.6     	84.9    	81.9    	-.-      	81.1    	81.9     	81.9    	-.-       	81.9    	-.-       	81.9    	-.-       	97.0      	91.3     	87.1     	95.6     	86.1     	91.9    	89.5    	-.-      	102.4     	---/---     	        	        
	2026-03-05  	11:46:27  	00:00:09  	61.2     	60.0     	62.5     	57.3     	59.6    	59.3    	-.-      	60.0    	60.0     	59.3    	-.-       	59.3    	-.-       	59.3    	-.-       	75.4      	86.7     	82.9     	90.9     	79.5     	87.3    	82.9    	-.-      	83.2    	83.2     	82.9    	-.-       	82.9    	-.-       	82.9    	-.-       	97.0      	95.3     	89.9     	100.3    	85.2     	96.2    	91.0    	-.-      	106.3     	---/---     	        	        
	2026-03-05  	11:46:28  	00:00:10  	60.0     	59.5     	61.1     	57.9     	59.2    	59.3    	-.-      	60.1    	60.1     	59.3    	-.-       	59.3    	-.-       	59.3    	-.-       	71.8      	85.9     	83.9     	84.4     	80.6     	82.0    	82.9    	-.-      	83.7    	83.7     	82.9    	-.-       	82.9    	-.-       	82.9    	-.-       	91.3      	94.6     	91.6     	93.3     	86.6     	88.1    	90.8    	-.-      	97.2      	---/---     	        	        
	2026-03-05  	11:46:29  	00:00:11  	60.0     	59.4     	61.5     	58.0     	60.2    	59.4    	-.-      	60.3    	60.3     	59.4    	-.-       	59.4    	-.-       	59.4    	-.-       	72.1      	83.9     	83.3     	84.8     	80.3     	83.0    	82.9    	-.-      	84.2    	84.2     	82.9    	-.-       	82.9    	-.-       	82.9    	-.-       	94.5      	91.6     	90.1     	92.3     	86.7     	89.0    	90.7    	-.-      	99.6      	---/---     	        	        
