XL2 RTA Spectrum Logging:		CL BA\2026-03-05_SLM_000_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	16.9 mV/Pa
	                	(from NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-03-05, 11:46:18
	End:            	2026-03-05, 11:51:22

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-03-05  	11:46:19  	00:00:01  	         	79.3     	79.3     	84.6     	88.6     	93.0     	85.0     	76.8     	76.8     	73.2     	70.7     	76.7     	73.9     	68.5     	63.8     	59.4     	59.3     	55.7     	58.2     	56.5     	49.2     	45.3     	44.0     	43.3     	44.1     	44.1     	42.2     	41.1     	40.3     	39.5     	39.3     	38.2     	35.9     	34.1     	30.2     	27.9     	26.2     
	2026-03-05  	11:46:20  	00:00:02  	         	72.8     	74.5     	80.0     	83.6     	72.6     	80.4     	72.3     	73.8     	66.2     	63.4     	72.6     	68.7     	65.4     	63.7     	58.8     	61.3     	62.7     	55.4     	53.2     	49.6     	45.8     	44.0     	45.0     	41.6     	40.3     	40.2     	39.0     	38.6     	37.0     	37.3     	36.8     	35.1     	33.8     	32.7     	30.3     	27.8     
	2026-03-05  	11:46:21  	00:00:03  	         	67.0     	70.5     	74.6     	73.2     	72.7     	72.0     	68.7     	71.5     	66.4     	67.2     	69.1     	64.1     	61.5     	60.2     	58.3     	58.7     	53.2     	50.4     	53.5     	49.3     	42.3     	45.5     	41.8     	40.4     	38.2     	38.6     	40.0     	39.0     	37.0     	35.4     	36.3     	34.8     	32.1     	29.4     	27.5     	25.3     
	2026-03-05  	11:46:22  	00:00:04  	         	72.4     	68.6     	67.6     	77.5     	78.5     	72.8     	77.5     	79.3     	73.3     	68.1     	69.2     	62.6     	58.8     	56.0     	57.7     	55.0     	50.2     	49.6     	48.9     	42.8     	41.7     	41.9     	40.0     	38.2     	37.6     	38.4     	38.2     	36.0     	36.8     	36.1     	35.8     	33.3     	30.7     	28.7     	26.9     	25.4     
	2026-03-05  	11:46:23  	00:00:05  	         	79.1     	82.0     	81.2     	80.2     	81.9     	73.3     	71.9     	73.1     	65.8     	63.1     	68.0     	62.6     	61.4     	61.1     	66.7     	55.5     	51.7     	47.0     	48.4     	48.7     	48.2     	44.0     	43.7     	41.0     	43.5     	43.7     	46.2     	45.2     	41.7     	42.8     	42.9     	42.1     	39.7     	35.2     	32.1     	27.8     
	2026-03-05  	11:46:24  	00:00:06  	         	69.1     	79.6     	71.5     	66.5     	65.7     	66.8     	66.0     	71.7     	66.3     	62.7     	68.3     	63.3     	62.1     	60.4     	63.2     	62.7     	62.8     	48.4     	45.7     	42.6     	45.4     	51.6     	47.8     	37.6     	36.7     	35.5     	35.3     	34.4     	34.1     	33.2     	34.2     	33.0     	32.5     	34.2     	32.4     	30.8     
	2026-03-05  	11:46:25  	00:00:07  	         	69.3     	81.6     	75.5     	78.1     	79.4     	80.5     	74.0     	71.2     	66.5     	68.0     	73.5     	72.4     	63.8     	60.4     	68.9     	57.5     	62.2     	58.1     	51.2     	42.7     	46.9     	45.6     	40.9     	41.2     	40.0     	38.0     	36.9     	36.9     	36.4     	36.1     	37.2     	36.9     	36.1     	36.2     	33.1     	30.7     
	2026-03-05  	11:46:26  	00:00:08  	         	76.9     	78.9     	78.1     	79.5     	87.9     	87.8     	74.7     	76.3     	70.0     	70.8     	72.5     	73.5     	69.6     	66.3     	64.1     	60.2     	56.1     	53.5     	56.6     	48.9     	46.7     	48.5     	46.8     	47.1     	47.9     	45.9     	46.9     	44.6     	44.0     	45.6     	44.0     	42.4     	41.5     	40.1     	37.0     	33.4     
