XL2 RTA Spectrum Logging:		CL BA\2026-03-04_SLM_001_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-03-04, 12:15:00
	End:            	2026-03-04, 12:19:56

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-03-04  	12:15:01  	00:00:01  	         	90.7     	101.8    	104.9    	106.2    	107.3    	95.6     	91.7     	90.6     	78.2     	82.0     	80.4     	78.3     	75.8     	72.8     	73.2     	68.8     	65.1     	56.8     	59.9     	62.6     	61.6     	63.6     	61.6     	58.5     	55.9     	49.7     	52.0     	50.8     	47.3     	45.7     	43.3     	40.0     	35.7     	32.2     	28.8     	26.1     
	2026-03-04  	12:15:02  	00:00:02  	         	89.3     	86.0     	100.5    	101.6    	102.5    	98.3     	89.9     	87.6     	75.5     	81.3     	74.5     	71.6     	68.7     	71.7     	69.6     	68.1     	64.1     	55.5     	59.2     	62.3     	61.3     	63.2     	61.3     	55.6     	50.7     	48.5     	50.3     	48.2     	44.7     	41.1     	37.2     	34.1     	29.3     	27.1     	26.1     	24.6     
	2026-03-04  	12:15:03  	00:00:03  	         	81.5     	80.4     	96.3     	105.0    	102.4    	94.8     	88.1     	86.0     	80.4     	78.7     	76.5     	72.8     	70.4     	71.4     	69.5     	65.3     	62.7     	55.5     	59.6     	60.3     	59.5     	60.7     	60.9     	54.3     	49.6     	48.1     	50.4     	49.0     	44.6     	40.8     	37.6     	35.3     	30.5     	27.4     	26.2     	24.5     
	2026-03-04  	12:15:04  	00:00:04  	         	86.3     	87.5     	97.5     	107.4    	103.8    	92.1     	88.6     	87.9     	78.9     	73.4     	74.9     	71.9     	66.9     	69.1     	68.2     	63.2     	61.2     	56.1     	59.4     	57.8     	57.8     	58.4     	56.9     	51.2     	48.1     	46.3     	47.3     	47.0     	43.7     	40.2     	38.6     	36.5     	33.1     	30.0     	28.6     	25.3     
	2026-03-04  	12:15:05  	00:00:05  	         	76.8     	84.2     	90.0     	105.3    	103.1    	93.4     	86.1     	80.0     	74.1     	69.6     	72.3     	69.4     	64.9     	65.5     	64.3     	58.6     	58.2     	54.3     	54.9     	55.4     	56.1     	56.0     	56.6     	49.6     	47.6     	44.9     	47.0     	45.8     	41.5     	36.8     	33.9     	31.2     	28.8     	26.7     	24.7     	24.2     
	2026-03-04  	12:15:06  	00:00:06  	         	74.3     	84.2     	91.6     	98.5     	101.3    	98.5     	85.8     	84.2     	74.4     	72.8     	71.8     	69.4     	70.4     	67.9     	68.5     	64.8     	60.6     	54.0     	55.9     	56.0     	55.6     	56.6     	57.3     	50.7     	48.1     	45.4     	47.6     	46.4     	42.0     	38.9     	35.4     	31.1     	29.1     	27.5     	25.6     	24.4     
	2026-03-04  	12:15:07  	00:00:07  	         	72.9     	84.5     	96.5     	103.0    	102.8    	100.0    	85.7     	87.2     	77.2     	72.3     	75.8     	71.6     	70.4     	69.8     	65.9     	63.3     	62.3     	56.3     	58.4     	57.7     	56.6     	57.6     	56.8     	50.8     	47.9     	46.3     	48.1     	46.4     	44.2     	39.2     	37.1     	34.9     	32.4     	29.1     	27.2     	25.2     
	2026-03-04  	12:15:08  	00:00:08  	         	70.1     	74.1     	94.6     	104.5    	99.6     	95.1     	82.2     	79.9     	73.3     	68.5     	71.2     	66.4     	65.1     	66.3     	64.4     	59.4     	58.4     	51.8     	54.1     	55.6     	55.5     	56.3     	56.1     	49.4     	46.7     	44.8     	46.5     	43.7     	39.7     	35.6     	30.2     	27.3     	24.9     	23.5     	22.9     	23.6     
