XL2 Broadband Logging:		KU100\2026-04-14_SLM_007_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:27:48
	End:            	2026-04-14, 13:28:00

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:27:49  	00:00:01  	66.2     	66.2     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.4      	65.7     	65.6     	65.9     	65.4     	65.6    	65.6    	-.-      	65.6    	-.-      	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.5      	67.2     	67.2     	67.4     	67.0     	67.2    	67.2    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:27:50  	00:00:02  	66.2     	66.2     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.4      	65.7     	65.6     	65.9     	65.4     	65.6    	65.6    	-.-      	65.6    	-.-      	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.4      	67.3     	67.2     	67.4     	67.0     	67.2    	67.2    	-.-      	79.5      	---/---     	        	        
	2026-04-14  	13:27:51  	00:00:03  	66.2     	66.2     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.1      	65.7     	65.6     	65.9     	65.4     	65.6    	65.6    	-.-      	65.6    	-.-      	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	77.0      	67.2     	67.2     	67.4     	67.1     	67.2    	67.2    	-.-      	79.1      	---/---     	        	        
	2026-04-14  	13:27:52  	00:00:04  	66.2     	66.2     	66.5     	66.0     	66.3    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.5      	65.7     	65.6     	65.9     	65.4     	65.7    	65.6    	-.-      	65.6    	-.-      	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.6      	67.2     	67.2     	67.4     	67.1     	67.2    	67.2    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:27:53  	00:00:05  	66.2     	66.2     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.5      	65.7     	65.6     	65.8     	65.4     	65.6    	65.6    	-.-      	65.6    	65.6     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.5      	67.2     	67.2     	67.4     	67.0     	67.2    	67.2    	-.-      	79.9      	---/---     	        	        
	2026-04-14  	13:27:54  	00:00:06  	66.2     	66.2     	66.5     	65.9     	66.2    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.6      	65.7     	65.6     	65.9     	65.4     	65.6    	65.6    	-.-      	65.6    	65.6     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.6      	67.3     	67.2     	67.4     	67.1     	67.2    	67.2    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:27:55  	00:00:07  	66.2     	66.2     	66.5     	65.9     	66.2    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	77.9      	65.7     	65.6     	65.9     	65.4     	65.7    	65.6    	-.-      	65.6    	65.6     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.5      	67.2     	67.2     	67.4     	67.1     	67.2    	67.2    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:27:56  	00:00:08  	66.2     	66.2     	66.5     	66.0     	66.2    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.6      	65.7     	65.6     	65.9     	65.4     	65.7    	65.6    	-.-      	65.6    	65.6     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.6      	67.3     	67.2     	67.5     	67.0     	67.2    	67.2    	-.-      	79.9      	---/---     	        	        
	2026-04-14  	13:27:57  	00:00:09  	66.2     	66.2     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.6      	65.7     	65.6     	65.9     	65.4     	65.7    	65.6    	-.-      	65.6    	65.6     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	78.6      	69.1     	67.2     	71.6     	67.0     	69.6    	67.6    	-.-      	83.0      	---/---     	        	        
