XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_006_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:26:34
	End:            	2026-04-14, 13:26:45

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:26:35  	00:00:01  	         	40.8     	40.1     	38.0     	34.7     	29.6     	31.2     	32.7     	34.5     	38.0     	42.5     	43.9     	44.8     	47.2     	46.8     	50.0     	49.1     	50.9     	50.5     	54.4     	55.2     	59.1     	59.5     	57.7     	56.7     	53.6     	51.4     	47.1     	46.3     	52.3     	59.0     	56.8     	50.7     	49.8     	52.5     	57.7     	45.4     
	2026-04-14  	13:26:36  	00:00:02  	         	36.5     	41.2     	37.5     	36.3     	30.8     	32.7     	31.7     	36.1     	37.7     	43.3     	43.6     	45.9     	45.8     	47.1     	49.2     	48.9     	50.9     	50.6     	54.4     	55.8     	58.6     	59.7     	58.1     	57.1     	53.9     	51.6     	47.4     	46.1     	52.3     	58.8     	56.8     	50.7     	49.9     	52.6     	57.7     	45.4     
	2026-04-14  	13:26:37  	00:00:03  	         	44.0     	35.9     	31.8     	35.5     	32.8     	32.2     	34.7     	35.0     	39.5     	42.0     	44.6     	45.9     	46.4     	47.3     	49.3     	48.6     	51.0     	51.3     	54.5     	55.6     	58.8     	59.8     	57.8     	56.6     	53.7     	51.5     	47.4     	46.4     	52.5     	58.9     	56.7     	50.7     	50.1     	52.5     	57.7     	45.5     
	2026-04-14  	13:26:38  	00:00:04  	         	41.8     	37.6     	33.3     	41.9     	33.6     	40.1     	42.4     	38.9     	39.0     	41.6     	45.0     	46.6     	47.2     	46.9     	49.6     	48.7     	50.7     	50.9     	54.6     	55.4     	58.8     	59.6     	57.6     	56.6     	53.7     	51.6     	47.5     	46.4     	52.3     	59.0     	56.8     	50.8     	50.0     	52.6     	57.8     	45.6     
	2026-04-14  	13:26:39  	00:00:05  	         	43.4     	35.8     	34.6     	38.7     	33.6     	35.4     	36.4     	35.9     	38.5     	42.4     	42.4     	44.4     	47.1     	46.9     	49.6     	49.1     	51.0     	50.4     	54.6     	55.2     	58.7     	59.7     	57.8     	56.9     	53.8     	51.6     	47.3     	46.2     	52.3     	59.1     	56.9     	50.8     	50.2     	52.5     	57.7     	45.6     
	2026-04-14  	13:26:40  	00:00:06  	         	35.2     	35.4     	36.0     	35.8     	25.5     	32.1     	34.1     	35.6     	37.3     	42.9     	44.5     	46.1     	45.0     	47.1     	49.1     	48.7     	50.7     	50.6     	54.3     	55.5     	59.0     	59.7     	58.2     	57.0     	54.0     	51.8     	47.5     	46.3     	52.5     	58.9     	56.8     	50.8     	50.2     	52.6     	57.8     	45.6     
	2026-04-14  	13:26:41  	00:00:07  	         	37.9     	34.2     	33.8     	34.8     	33.5     	33.9     	34.0     	35.5     	39.4     	42.3     	45.2     	46.1     	46.9     	46.8     	49.9     	49.1     	50.6     	51.2     	54.4     	55.6     	58.6     	59.8     	57.7     	56.8     	53.8     	51.6     	47.5     	46.5     	52.6     	59.0     	56.9     	50.9     	50.4     	52.6     	57.9     	45.7     
	2026-04-14  	13:26:42  	00:00:08  	         	39.3     	35.6     	34.3     	34.3     	26.8     	32.0     	32.3     	36.4     	38.1     	42.2     	45.3     	45.7     	47.2     	47.0     	49.4     	48.6     	51.1     	50.9     	54.6     	55.6     	58.9     	59.6     	57.8     	56.8     	53.8     	51.7     	47.5     	46.5     	52.5     	59.2     	56.9     	50.9     	50.4     	52.6     	57.9     	45.8     
