XL2 Broadband Logging:		KU100\2026-04-14_SLM_000_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:07:00
	End:            	2026-04-14, 10:07:32

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	10:07:01  	00:00:01  	32.6     	32.5     	32.6     	32.3     	32.4    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	45.1      	39.1     	38.2     	40.3     	36.7     	38.0    	38.0    	-.-      	38.0    	-.-      	38.0    	-.-       	38.0    	-.-       	38.0    	-.-       	51.9      	48.5     	46.5     	51.9     	40.9     	47.5    	47.5    	-.-      	59.7      	AC-/AC-     	        	        
	2026-04-14  	10:07:02  	00:00:02  	32.5     	32.5     	32.6     	32.3     	32.5    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.7      	38.5     	38.0     	39.7     	37.0     	38.2    	38.1    	-.-      	38.1    	-.-      	38.1    	-.-       	38.1    	-.-       	38.1    	-.-       	51.8      	48.4     	47.6     	50.9     	45.7     	47.2    	47.4    	-.-      	58.8      	AC-/AC-     	        	        
	2026-04-14  	10:07:03  	00:00:03  	32.5     	32.5     	32.6     	32.3     	32.5    	32.5    	-.-      	32.5    	-.-      	32.5    	-.-       	32.5    	-.-       	32.5    	-.-       	45.5      	38.5     	38.0     	39.7     	37.2     	38.3    	38.2    	-.-      	38.2    	-.-      	38.2    	-.-       	38.2    	-.-       	38.2    	-.-       	49.2      	47.8     	46.9     	48.7     	43.1     	46.6    	47.1    	-.-      	57.1      	AC-/ACZ     	        	        
	2026-04-14  	10:07:04  	00:00:04  	32.5     	32.4     	32.5     	32.3     	32.4    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.8      	38.5     	38.0     	39.2     	37.1     	38.1    	38.2    	-.-      	38.2    	-.-      	38.2    	-.-       	38.2    	-.-       	38.2    	-.-       	50.3      	47.9     	47.1     	50.1     	46.0     	48.1    	47.4    	-.-      	57.9      	AC-/ACZ     	        	        
	2026-04-14  	10:07:05  	00:00:05  	32.5     	32.4     	32.7     	32.2     	32.4    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	45.5      	38.8     	38.1     	40.4     	37.0     	38.8    	38.3    	-.-      	38.3    	38.3     	38.3    	-.-       	38.3    	-.-       	38.3    	-.-       	50.5      	48.5     	47.5     	51.0     	45.4     	48.1    	47.5    	-.-      	58.8      	AC-/AC-     	        	        
	2026-04-14  	10:07:06  	00:00:06  	32.5     	32.4     	32.8     	32.3     	32.5    	32.5    	-.-      	32.5    	32.5     	32.5    	-.-       	32.5    	-.-       	32.5    	-.-       	45.9      	39.1     	38.5     	40.4     	37.8     	39.0    	38.4    	-.-      	38.5    	38.5     	38.4    	-.-       	38.4    	-.-       	38.4    	-.-       	50.9      	48.6     	48.0     	49.9     	47.0     	48.9    	47.8    	-.-      	59.1      	AC-/AC-     	        	        
	2026-04-14  	10:07:07  	00:00:07  	32.5     	32.5     	32.6     	32.3     	32.4    	32.5    	-.-      	32.5    	32.5     	32.5    	-.-       	32.5    	-.-       	32.5    	-.-       	44.9      	39.3     	38.6     	40.9     	37.4     	38.4    	38.4    	-.-      	38.5    	38.5     	38.4    	-.-       	38.4    	-.-       	38.4    	-.-       	50.7      	48.8     	47.5     	50.1     	43.4     	47.1    	47.7    	-.-      	58.1      	AC-/ACZ     	        	        
	2026-04-14  	10:07:08  	00:00:08  	32.5     	32.4     	32.5     	32.3     	32.4    	32.5    	-.-      	32.5    	32.5     	32.5    	-.-       	32.5    	-.-       	32.5    	-.-       	45.6      	38.8     	38.5     	39.8     	37.5     	38.8    	38.5    	-.-      	38.6    	38.6     	38.5    	-.-       	38.5    	-.-       	38.5    	-.-       	50.5      	49.8     	47.4     	52.6     	43.1     	50.4    	48.1    	-.-      	59.3      	AC-/AC-     	        	        
	2026-04-14  	10:07:09  	00:00:09  	32.4     	32.4     	32.5     	32.2     	32.4    	32.4    	-.-      	32.4    	32.5     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.9      	38.9     	38.3     	40.2     	37.2     	38.6    	38.5    	-.-      	38.7    	38.7     	38.5    	-.-       	38.5    	-.-       	38.5    	-.-       	50.5      	49.7     	48.5     	51.6     	45.9     	47.9    	48.1    	-.-      	59.1      	AC-/AC-     	        	        
