XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_000_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:07:00
	End:            	2026-04-14, 10:07:32

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	10:07:01  	00:00:01  	         	40.3     	34.8     	31.6     	38.9     	35.5     	29.6     	33.5     	31.5     	24.8     	28.3     	25.0     	24.2     	29.8     	21.5     	16.9     	19.3     	17.5     	18.2     	17.6     	17.4     	15.6     	15.5     	16.3     	18.3     	17.5     	17.7     	18.7     	19.5     	20.5     	21.4     	22.3     	23.4     	24.4     	25.9     	26.9     	29.0     
	2026-04-14  	10:07:02  	00:00:02  	         	36.9     	38.2     	36.4     	39.2     	32.5     	32.8     	33.3     	29.4     	26.0     	29.7     	25.0     	26.3     	29.6     	20.4     	17.3     	17.8     	18.5     	18.1     	17.9     	17.3     	15.5     	15.4     	16.4     	18.6     	17.6     	17.5     	18.9     	19.6     	20.5     	21.3     	22.2     	23.4     	24.6     	25.9     	26.8     	29.1     
	2026-04-14  	10:07:03  	00:00:03  	         	35.7     	33.1     	32.3     	40.2     	30.8     	33.8     	32.2     	30.4     	27.9     	27.0     	28.5     	23.5     	29.3     	20.7     	16.9     	17.2     	18.0     	17.6     	17.5     	17.5     	16.1     	15.9     	16.4     	18.4     	17.5     	17.6     	18.6     	19.6     	20.6     	21.2     	22.3     	23.5     	24.6     	25.9     	26.9     	29.1     
	2026-04-14  	10:07:04  	00:00:04  	         	36.8     	37.3     	34.4     	38.1     	32.6     	34.3     	30.6     	33.9     	26.0     	25.4     	26.4     	23.1     	28.5     	20.6     	17.7     	18.9     	17.2     	18.3     	17.7     	17.5     	16.4     	15.8     	16.4     	18.1     	17.6     	17.8     	18.3     	19.6     	20.3     	21.4     	22.3     	23.4     	24.6     	25.9     	26.9     	29.0     
	2026-04-14  	10:07:05  	00:00:05  	         	44.6     	37.8     	35.4     	39.3     	32.3     	34.7     	32.4     	31.9     	26.2     	28.4     	26.9     	23.9     	29.7     	20.1     	16.5     	17.8     	17.4     	18.0     	17.6     	17.6     	16.3     	16.7     	16.5     	18.3     	17.3     	17.6     	18.6     	19.5     	20.4     	21.3     	22.4     	23.4     	24.4     	26.0     	26.9     	29.0     
	2026-04-14  	10:07:06  	00:00:06  	         	42.9     	37.2     	38.3     	42.6     	36.1     	33.3     	32.5     	31.5     	25.1     	27.6     	26.7     	22.7     	29.7     	20.5     	17.3     	19.1     	17.8     	18.5     	18.5     	17.8     	16.7     	16.9     	17.0     	18.4     	17.9     	18.0     	18.7     	19.1     	20.2     	21.3     	22.4     	23.4     	24.5     	25.8     	26.9     	28.9     
	2026-04-14  	10:07:07  	00:00:07  	         	35.7     	34.5     	35.3     	42.8     	34.9     	37.4     	33.2     	32.4     	27.7     	26.7     	25.3     	23.1     	28.6     	19.2     	17.1     	19.6     	17.2     	17.1     	17.0     	17.5     	16.1     	15.9     	16.5     	18.1     	17.7     	18.1     	18.8     	19.3     	20.4     	21.3     	22.1     	23.4     	24.6     	26.2     	26.9     	29.1     
	2026-04-14  	10:07:08  	00:00:08  	         	42.9     	34.0     	34.9     	40.4     	34.3     	35.2     	29.3     	29.2     	26.9     	28.0     	24.8     	24.9     	30.4     	21.2     	17.5     	17.9     	18.0     	18.2     	17.7     	17.2     	15.5     	15.2     	16.6     	18.3     	17.6     	17.7     	18.5     	19.4     	20.3     	21.1     	22.3     	23.5     	24.6     	25.9     	26.9     	29.0     
