XL2 RTA Spectrum Logging:		KU100\2026-04-15_SLM_020_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 11:08:04
	End:            	2026-04-15, 11:08:15

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-15  	11:08:05  	00:00:01  	         	41.5     	36.6     	35.8     	37.4     	32.2     	35.9     	42.9     	52.4     	59.3     	61.0     	63.0     	61.8     	55.7     	56.8     	56.5     	53.5     	54.2     	51.5     	52.4     	51.0     	52.2     	50.3     	49.0     	48.5     	45.3     	44.0     	44.1     	45.8     	48.7     	50.3     	48.2     	44.1     	42.1     	39.6     	37.5     	30.2     
	2026-04-15  	11:08:06  	00:00:02  	         	39.5     	32.8     	36.9     	39.3     	32.6     	33.5     	43.5     	53.5     	58.4     	62.9     	63.5     	61.9     	57.0     	58.2     	56.4     	54.6     	54.3     	52.3     	52.5     	51.2     	51.4     	49.6     	48.8     	48.8     	45.2     	43.6     	44.6     	45.5     	48.5     	50.3     	48.2     	44.0     	42.0     	39.5     	37.6     	30.1     
	2026-04-15  	11:08:07  	00:00:03  	         	38.9     	40.1     	37.6     	38.2     	34.3     	37.0     	44.7     	55.8     	62.3     	61.8     	61.4     	61.3     	57.8     	56.6     	57.7     	54.5     	53.9     	51.2     	52.9     	51.9     	52.0     	50.7     	48.4     	48.5     	45.2     	43.8     	44.2     	45.7     	48.6     	50.2     	48.4     	44.2     	42.1     	39.6     	37.5     	30.1     
	2026-04-15  	11:08:08  	00:00:04  	         	40.2     	40.3     	33.0     	35.7     	32.5     	33.0     	43.2     	56.7     	59.8     	60.3     	62.3     	60.1     	57.5     	55.9     	56.0     	55.3     	53.5     	51.3     	52.4     	50.8     	51.7     	49.5     	48.8     	48.7     	45.1     	43.7     	44.2     	45.8     	48.6     	50.2     	48.4     	44.0     	42.1     	39.6     	37.5     	30.1     
	2026-04-15  	11:08:09  	00:00:05  	         	42.7     	37.1     	31.7     	38.9     	36.0     	34.6     	44.8     	56.5     	60.3     	61.0     	61.8     	60.5     	57.2     	55.3     	57.4     	54.1     	53.7     	51.3     	52.7     	51.1     	51.0     	49.7     	48.4     	48.5     	45.0     	43.7     	44.4     	45.8     	48.8     	50.2     	48.5     	44.1     	42.1     	39.5     	37.5     	30.0     
	2026-04-15  	11:08:10  	00:00:06  	         	39.0     	35.4     	35.6     	38.3     	33.4     	34.9     	44.9     	54.7     	57.5     	59.6     	62.9     	61.3     	55.3     	55.3     	55.3     	53.9     	52.6     	51.7     	53.6     	51.5     	52.7     	50.4     	49.3     	48.5     	45.0     	43.7     	44.5     	45.6     	48.5     	50.3     	48.2     	44.1     	42.1     	39.6     	37.4     	30.2     
	2026-04-15  	11:08:11  	00:00:07  	         	41.7     	29.8     	34.6     	34.0     	32.4     	37.9     	44.2     	56.5     	61.2     	61.6     	62.4     	59.3     	58.4     	57.1     	57.0     	54.0     	53.6     	51.1     	53.5     	51.6     	52.0     	50.2     	48.7     	48.0     	44.8     	43.7     	44.5     	45.6     	48.9     	50.2     	48.5     	44.1     	42.0     	39.5     	37.5     	30.1     
	2026-04-15  	11:08:12  	00:00:08  	         	41.3     	34.0     	33.5     	34.5     	34.0     	37.2     	41.0     	53.9     	59.0     	61.6     	64.7     	60.0     	56.9     	58.1     	56.9     	53.8     	52.6     	51.4     	51.9     	51.7     	52.0     	49.7     	48.8     	48.6     	45.0     	43.6     	44.2     	45.4     	48.6     	50.3     	48.4     	44.0     	42.0     	39.7     	37.6     	30.1     
