XL2 Broadband Logging:		KU100\2026-04-14_SLM_001_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:08:42
	End:            	2026-04-14, 10:09:14

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	10:08:43  	00:00:01  	75.0     	75.0     	75.3     	74.8     	75.0    	75.0    	-.-      	75.0    	-.-      	75.0    	-.-       	75.0    	-.-       	75.0    	-.-       	90.1      	76.3     	76.1     	76.6     	75.9     	76.3    	76.3    	-.-      	76.3    	-.-      	76.3    	-.-       	76.3    	-.-       	76.3    	-.-       	89.2      	77.2     	77.1     	77.6     	76.9     	77.3    	77.3    	-.-      	89.6      	---/---     	        	        
	2026-04-14  	10:08:44  	00:00:02  	75.0     	74.9     	75.1     	74.7     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	88.3      	76.4     	76.2     	77.1     	76.0     	76.5    	76.4    	-.-      	76.4    	-.-      	76.4    	-.-       	76.4    	-.-       	76.4    	-.-       	88.8      	77.4     	77.2     	78.1     	77.0     	77.4    	77.3    	-.-      	89.5      	---/---     	        	        
	2026-04-14  	10:08:45  	00:00:03  	75.0     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.6      	76.4     	76.1     	77.2     	75.7     	76.0    	76.2    	-.-      	76.2    	-.-      	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	89.6      	77.4     	77.2     	78.1     	76.7     	77.0    	77.2    	-.-      	89.4      	---/---     	        	        
	2026-04-14  	10:08:46  	00:00:04  	75.0     	74.9     	75.2     	74.7     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.2      	76.2     	76.0     	76.5     	75.6     	76.0    	76.2    	-.-      	76.2    	-.-      	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	89.2      	77.2     	77.1     	77.5     	76.7     	77.0    	77.2    	-.-      	89.9      	---/---     	        	        
	2026-04-14  	10:08:47  	00:00:05  	74.9     	74.9     	75.1     	74.7     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.0      	76.2     	76.0     	76.5     	75.7     	76.1    	76.2    	-.-      	76.2    	76.2     	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	88.5      	77.2     	77.0     	77.5     	76.7     	77.1    	77.2    	-.-      	89.2      	---/---     	        	        
	2026-04-14  	10:08:48  	00:00:06  	75.0     	74.9     	75.4     	74.7     	75.0    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.1      	76.2     	76.0     	76.8     	75.6     	76.1    	76.2    	-.-      	76.1    	76.2     	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	89.0      	77.2     	77.1     	77.8     	76.7     	77.1    	77.2    	-.-      	90.1      	---/---     	        	        
	2026-04-14  	10:08:49  	00:00:07  	74.9     	74.9     	75.1     	74.6     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.8      	76.1     	76.0     	76.5     	75.5     	76.1    	76.2    	-.-      	76.1    	76.2     	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	89.8      	77.1     	77.0     	77.5     	76.6     	77.1    	77.2    	-.-      	91.0      	---/---     	        	        
	2026-04-14  	10:08:50  	00:00:08  	75.0     	74.9     	75.2     	74.8     	75.0    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.5      	76.2     	76.0     	76.6     	75.8     	76.2    	76.2    	-.-      	76.1    	76.2     	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	88.7      	77.2     	77.0     	77.6     	76.9     	77.2    	77.2    	-.-      	89.9      	---/---     	        	        
	2026-04-14  	10:08:51  	00:00:09  	75.0     	74.9     	75.3     	74.7     	75.0    	74.9    	-.-      	75.0    	75.0     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	88.4      	76.2     	76.1     	76.6     	75.6     	76.2    	76.2    	-.-      	76.1    	76.2     	76.2    	-.-       	76.2    	-.-       	76.2    	-.-       	89.2      	77.2     	77.1     	77.5     	76.7     	77.2    	77.2    	-.-      	90.3      	---/---     	        	        
