XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_001_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:08:42
	End:            	2026-04-14, 10:09:14

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	10:08:43  	00:00:01  	         	41.6     	40.3     	39.7     	42.9     	31.8     	37.5     	45.2     	51.2     	58.2     	60.9     	62.8     	63.1     	60.7     	61.5     	63.0     	61.7     	64.5     	61.6     	63.6     	63.8     	63.7     	64.2     	62.5     	64.2     	63.2     	62.6     	59.2     	57.1     	61.1     	65.4     	64.8     	61.5     	67.6     	64.7     	54.1     	54.9     
	2026-04-14  	10:08:44  	00:00:02  	         	44.4     	39.7     	33.6     	40.8     	34.5     	36.6     	41.7     	53.8     	55.6     	62.9     	62.8     	63.5     	62.6     	62.6     	64.1     	62.0     	64.6     	61.1     	63.3     	62.8     	63.8     	64.1     	62.4     	63.6     	63.1     	62.5     	59.2     	57.4     	60.9     	65.5     	64.9     	61.7     	67.3     	64.8     	54.0     	54.8     
	2026-04-14  	10:08:45  	00:00:03  	         	41.1     	35.7     	37.5     	43.1     	30.9     	34.2     	40.4     	54.6     	58.8     	61.9     	64.0     	62.3     	61.3     	62.1     	60.7     	60.5     	63.9     	60.5     	63.3     	63.0     	64.2     	63.5     	62.6     	64.0     	63.3     	62.3     	59.2     	57.3     	61.0     	65.5     	65.0     	61.5     	67.6     	64.9     	54.0     	54.8     
	2026-04-14  	10:08:46  	00:00:04  	         	33.8     	38.2     	36.8     	44.3     	33.4     	32.1     	44.2     	53.2     	56.9     	60.1     	60.6     	63.6     	62.0     	61.7     	61.6     	61.0     	64.8     	61.1     	63.5     	62.7     	63.5     	63.8     	62.8     	63.9     	63.3     	62.4     	59.1     	57.4     	60.9     	65.5     	64.8     	61.5     	67.5     	64.8     	54.0     	54.8     
	2026-04-14  	10:08:47  	00:00:05  	         	36.6     	40.4     	35.4     	36.2     	33.7     	38.2     	43.3     	52.3     	60.2     	61.1     	61.7     	63.8     	62.2     	62.1     	61.2     	61.5     	62.8     	60.8     	63.9     	63.4     	64.0     	63.3     	61.8     	64.1     	63.3     	62.6     	59.1     	57.1     	61.0     	65.5     	64.8     	61.7     	67.4     	64.8     	54.1     	54.8     
	2026-04-14  	10:08:48  	00:00:06  	         	34.5     	34.3     	38.9     	41.9     	36.6     	33.2     	42.3     	49.0     	60.1     	61.2     	62.0     	62.2     	61.2     	62.4     	62.2     	60.6     	63.3     	60.5     	63.3     	62.9     	64.1     	64.2     	62.9     	64.0     	63.2     	62.5     	58.8     	57.1     	61.0     	65.7     	64.9     	61.8     	67.5     	65.0     	53.9     	54.8     
	2026-04-14  	10:08:49  	00:00:07  	         	38.0     	32.6     	33.0     	43.0     	33.8     	36.1     	40.3     	54.4     	56.8     	61.7     	63.2     	63.1     	61.0     	61.6     	61.9     	60.7     	63.2     	60.7     	63.4     	63.4     	64.1     	63.8     	62.2     	63.9     	63.2     	62.2     	59.2     	57.2     	60.7     	65.8     	64.9     	61.5     	67.5     	64.8     	54.1     	54.8     
	2026-04-14  	10:08:50  	00:00:08  	         	41.6     	35.5     	35.7     	40.3     	31.1     	32.9     	44.9     	51.5     	60.0     	61.3     	61.8     	61.1     	61.3     	62.3     	63.2     	62.2     	64.3     	60.7     	63.3     	63.2     	64.4     	64.2     	62.5     	64.0     	63.3     	62.2     	59.2     	57.2     	61.0     	65.7     	64.8     	61.7     	67.5     	64.9     	54.1     	54.9     
