XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_002_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:11:10
	End:            	2026-04-14, 10:11:42

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	10:11:11  	00:00:01  	         	43.8     	39.5     	36.3     	41.3     	36.6     	36.3     	41.4     	53.7     	56.9     	60.9     	59.9     	63.9     	60.1     	61.8     	62.2     	60.2     	62.9     	62.0     	65.3     	65.5     	67.0     	66.3     	61.7     	60.0     	55.6     	52.9     	47.0     	44.7     	49.8     	55.1     	52.1     	44.7     	46.7     	40.8     	46.6     	38.7     
	2026-04-14  	10:11:12  	00:00:02  	         	40.3     	40.2     	37.8     	43.4     	35.9     	33.9     	44.0     	52.7     	56.7     	61.6     	62.3     	62.7     	62.8     	61.9     	61.5     	61.8     	62.3     	62.0     	65.5     	65.4     	67.0     	66.2     	61.8     	60.1     	56.0     	52.7     	47.0     	45.1     	49.6     	55.2     	51.9     	44.5     	46.5     	40.8     	46.7     	38.7     
	2026-04-14  	10:11:13  	00:00:03  	         	41.1     	39.4     	37.0     	41.6     	31.3     	33.0     	42.1     	54.6     	58.7     	59.2     	62.1     	64.6     	61.4     	62.0     	63.1     	61.6     	63.1     	63.2     	64.9     	65.4     	67.2     	66.3     	62.0     	60.1     	55.9     	52.6     	46.7     	45.0     	49.6     	55.2     	51.7     	44.8     	46.7     	40.7     	46.9     	39.0     
	2026-04-14  	10:11:14  	00:00:04  	         	42.6     	34.5     	36.7     	44.2     	33.7     	36.0     	43.7     	53.1     	58.7     	61.2     	64.4     	63.5     	61.3     	61.8     	61.4     	61.4     	64.0     	62.7     	65.3     	65.3     	66.8     	65.8     	62.3     	60.0     	55.7     	52.6     	47.1     	44.8     	49.7     	55.3     	52.2     	44.8     	46.7     	40.7     	46.8     	38.9     
	2026-04-14  	10:11:15  	00:00:05  	         	46.0     	35.0     	32.2     	41.3     	35.3     	36.6     	43.7     	54.4     	56.7     	60.4     	61.1     	63.4     	62.0     	60.7     	61.3     	62.1     	64.3     	61.9     	65.4     	65.7     	66.9     	65.8     	62.2     	60.2     	55.7     	52.5     	47.1     	45.1     	49.8     	55.4     	52.1     	44.9     	46.8     	41.0     	46.8     	38.9     
	2026-04-14  	10:11:16  	00:00:06  	         	43.4     	31.9     	35.7     	42.2     	33.1     	37.4     	43.7     	54.5     	57.0     	63.6     	62.0     	62.5     	61.3     	61.9     	61.4     	61.5     	63.8     	62.2     	65.6     	64.8     	66.7     	66.2     	61.6     	60.1     	55.6     	52.5     	47.0     	44.9     	49.8     	55.5     	52.1     	44.9     	46.7     	40.7     	46.9     	38.9     
	2026-04-14  	10:11:17  	00:00:07  	         	43.3     	36.2     	35.6     	41.5     	36.2     	36.7     	39.6     	51.0     	58.8     	62.0     	63.4     	62.4     	63.1     	62.6     	63.1     	61.6     	64.2     	62.0     	64.9     	66.3     	67.2     	66.6     	61.9     	60.1     	55.8     	52.7     	47.0     	44.9     	49.9     	55.6     	52.0     	44.9     	46.7     	40.8     	47.1     	39.0     
	2026-04-14  	10:11:18  	00:00:08  	         	37.4     	37.0     	37.1     	40.9     	34.0     	36.4     	45.0     	54.9     	59.1     	61.7     	63.0     	63.6     	63.1     	62.4     	63.3     	61.3     	64.4     	60.9     	64.7     	66.1     	67.4     	66.2     	62.0     	61.0     	56.1     	52.2     	47.1     	45.2     	49.8     	55.5     	52.2     	44.7     	46.8     	40.9     	47.1     	39.1     
