XL2 Broadband Logging:		KU100\2026-04-14_SLM_004_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:14:14
	End:            	2026-04-14, 10:14:46

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	10:14:15  	00:00:01  	69.7     	69.6     	70.0     	69.2     	69.7    	69.7    	-.-      	69.7    	-.-      	69.7    	-.-       	69.7    	-.-       	69.7    	-.-       	81.8      	74.3     	74.1     	74.9     	73.7     	74.3    	74.3    	-.-      	74.3    	-.-      	74.3    	-.-       	74.3    	-.-       	74.3    	-.-       	86.0      	74.6     	74.3     	75.3     	73.9     	74.6    	74.6    	-.-      	86.0      	---/---     	        	        
	2026-04-14  	10:14:16  	00:00:02  	70.0     	69.6     	70.8     	69.5     	70.1    	69.9    	-.-      	69.9    	-.-      	69.9    	-.-       	69.9    	-.-       	69.9    	-.-       	82.1      	74.6     	74.3     	75.3     	74.1     	74.6    	74.5    	-.-      	74.5    	-.-      	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	87.6      	74.8     	74.6     	75.5     	74.3     	74.8    	74.7    	-.-      	88.3      	---/---     	        	        
	2026-04-14  	10:14:17  	00:00:03  	70.0     	69.9     	70.4     	69.4     	69.9    	69.9    	-.-      	69.9    	-.-      	69.9    	-.-       	69.9    	-.-       	69.9    	-.-       	83.3      	74.6     	74.4     	75.1     	73.9     	74.5    	74.5    	-.-      	74.5    	-.-      	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	87.3      	74.9     	74.6     	75.4     	74.1     	74.7    	74.7    	-.-      	87.3      	---/---     	        	        
	2026-04-14  	10:14:18  	00:00:04  	70.1     	69.9     	70.6     	69.6     	70.2    	70.0    	-.-      	70.0    	-.-      	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	83.6      	74.8     	74.5     	75.5     	74.0     	74.9    	74.6    	-.-      	74.6    	-.-      	74.6    	-.-       	74.6    	-.-       	74.6    	-.-       	86.1      	75.1     	74.7     	75.9     	74.2     	75.2    	74.8    	-.-      	87.3      	---/---     	        	        
	2026-04-14  	10:14:19  	00:00:05  	70.1     	69.9     	70.4     	69.4     	69.8    	69.9    	-.-      	69.9    	69.9     	69.9    	-.-       	69.9    	-.-       	69.9    	-.-       	82.9      	74.8     	74.5     	75.5     	73.8     	74.3    	74.5    	-.-      	74.5    	74.5     	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	86.9      	75.1     	74.7     	75.7     	74.0     	74.5    	74.8    	-.-      	87.9      	---/---     	        	        
	2026-04-14  	10:14:20  	00:00:06  	69.9     	69.8     	70.3     	69.4     	69.8    	69.9    	-.-      	70.0    	70.0     	69.9    	-.-       	69.9    	-.-       	69.9    	-.-       	83.5      	74.6     	74.3     	75.2     	73.5     	74.4    	74.5    	-.-      	74.5    	74.5     	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	88.5      	74.8     	74.6     	75.5     	73.8     	74.6    	74.8    	-.-      	88.1      	---/---     	        	        
	2026-04-14  	10:14:21  	00:00:07  	70.1     	69.8     	70.6     	69.8     	70.2    	70.0    	-.-      	70.0    	70.0     	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	81.6      	74.6     	74.4     	75.2     	74.1     	74.7    	74.5    	-.-      	74.5    	74.5     	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	85.6      	74.9     	74.6     	75.5     	74.3     	74.9    	74.8    	-.-      	86.3      	---/---     	        	        
	2026-04-14  	10:14:22  	00:00:08  	70.1     	69.9     	70.5     	69.4     	69.9    	70.0    	-.-      	70.0    	70.0     	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	82.4      	74.7     	74.5     	75.2     	73.9     	74.7    	74.5    	-.-      	74.6    	74.6     	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	86.5      	74.9     	74.8     	75.5     	74.2     	74.9    	74.8    	-.-      	86.9      	---/---     	        	        
	2026-04-14  	10:14:23  	00:00:09  	70.0     	69.9     	70.4     	69.5     	70.0    	70.0    	-.-      	69.9    	70.0     	70.0    	-.-       	70.0    	-.-       	70.0    	-.-       	82.1      	74.8     	74.4     	75.5     	73.9     	74.5    	74.5    	-.-      	74.5    	74.6     	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	86.5      	75.0     	74.7     	75.8     	74.1     	74.7    	74.8    	-.-      	86.2      	---/---     	        	        
