XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_005_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:15:24
	End:            	2026-04-14, 10:15:56

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	10:15:25  	00:00:01  	         	43.1     	36.8     	37.1     	38.7     	33.4     	37.9     	44.2     	57.1     	60.0     	60.5     	64.9     	61.1     	61.2     	61.4     	60.9     	59.9     	60.4     	55.6     	58.2     	56.7     	56.5     	56.8     	54.5     	55.3     	52.0     	48.4     	45.7     	45.9     	50.6     	58.7     	52.1     	44.1     	45.2     	44.6     	52.6     	40.2     
	2026-04-14  	10:15:26  	00:00:02  	         	47.2     	41.4     	35.5     	39.3     	32.8     	33.1     	43.2     	51.6     	58.1     	61.3     	63.8     	62.9     	61.5     	60.8     	62.6     	60.2     	60.2     	57.1     	57.6     	57.0     	56.4     	56.6     	54.2     	54.9     	51.6     	48.6     	45.8     	45.8     	50.5     	58.4     	51.8     	44.3     	45.1     	44.7     	52.7     	40.3     
	2026-04-14  	10:15:27  	00:00:03  	         	40.3     	39.3     	37.7     	43.6     	30.2     	38.8     	44.0     	54.2     	58.2     	58.2     	62.6     	64.0     	62.4     	62.8     	61.0     	59.8     	61.3     	56.6     	58.1     	57.0     	56.8     	57.0     	54.1     	54.6     	51.7     	48.4     	46.2     	45.8     	50.5     	58.6     	51.9     	44.2     	45.1     	44.8     	52.6     	40.4     
	2026-04-14  	10:15:28  	00:00:04  	         	35.8     	36.0     	34.4     	38.3     	28.9     	36.3     	41.7     	53.7     	60.0     	63.3     	65.1     	64.2     	60.4     	61.1     	61.9     	59.8     	60.0     	57.2     	57.4     	56.3     	56.6     	56.1     	54.9     	55.2     	51.6     	48.4     	45.8     	46.2     	50.6     	58.8     	51.8     	44.1     	45.2     	44.9     	52.6     	40.4     
	2026-04-14  	10:15:29  	00:00:05  	         	42.0     	34.8     	35.8     	40.5     	34.2     	36.6     	42.8     	55.0     	58.4     	61.1     	64.3     	65.2     	60.4     	62.0     	60.7     	59.1     	60.8     	56.8     	57.5     	56.8     	56.8     	56.8     	54.6     	55.0     	52.0     	48.5     	46.0     	46.1     	50.6     	58.6     	51.9     	44.2     	45.3     	44.7     	52.5     	40.3     
	2026-04-14  	10:15:30  	00:00:06  	         	43.4     	39.4     	35.1     	43.8     	32.9     	33.7     	46.2     	54.6     	59.2     	61.2     	63.3     	64.0     	61.4     	62.8     	60.3     	59.9     	60.2     	57.1     	58.3     	57.0     	57.1     	56.4     	54.7     	55.1     	51.8     	48.5     	46.0     	45.7     	50.6     	58.9     	52.0     	44.3     	45.3     	44.8     	52.8     	40.4     
	2026-04-14  	10:15:31  	00:00:07  	         	43.1     	40.3     	37.2     	41.8     	33.4     	35.9     	45.7     	56.7     	58.8     	62.5     	62.6     	64.5     	60.2     	60.6     	60.5     	60.1     	61.9     	56.9     	57.5     	56.4     	56.3     	56.2     	53.8     	55.1     	52.0     	48.6     	45.9     	45.8     	51.1     	58.5     	52.1     	44.2     	45.3     	44.9     	52.6     	40.3     
	2026-04-14  	10:15:32  	00:00:08  	         	41.1     	42.8     	38.9     	39.2     	33.6     	33.9     	41.7     	54.5     	59.0     	61.4     	64.4     	62.2     	60.6     	60.3     	63.1     	61.1     	60.8     	56.9     	58.5     	56.1     	56.6     	56.9     	54.5     	55.2     	51.7     	49.1     	45.9     	46.1     	50.5     	58.4     	51.9     	44.0     	45.3     	44.8     	52.5     	40.3     
