XL2 Broadband Logging:		KU100\2026-04-14_SLM_000_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:15:44
	End:            	2026-04-14, 13:15:56

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:15:45  	00:00:01  	32.7     	32.5     	32.6     	32.2     	32.3    	32.3    	-.-      	32.3    	-.-      	32.3    	-.-       	32.3    	-.-       	32.3    	-.-       	45.0      	39.0     	38.3     	39.0     	36.8     	37.9    	37.9    	-.-      	37.9    	-.-      	37.9    	-.-       	37.9    	-.-       	37.9    	-.-       	50.0      	51.2     	48.9     	54.6     	43.6     	50.6    	50.6    	-.-      	61.3      	AC-/AC-     	        	        
	2026-04-14  	13:15:46  	00:00:02  	32.5     	32.4     	32.5     	32.2     	32.4    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	45.3      	38.3     	37.9     	38.7     	36.6     	37.8    	37.8    	-.-      	37.8    	-.-      	37.8    	-.-       	37.8    	-.-       	37.8    	-.-       	49.6      	50.6     	48.9     	49.4     	46.4     	47.6    	49.4    	-.-      	57.4      	AC-/ACZ     	        	        
	2026-04-14  	13:15:47  	00:00:03  	32.4     	32.4     	32.6     	32.2     	32.4    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	45.2      	38.1     	37.6     	39.2     	36.5     	37.6    	37.7    	-.-      	37.7    	-.-      	37.7    	-.-       	37.7    	-.-       	37.7    	-.-       	49.1      	48.9     	47.8     	51.1     	44.5     	47.4    	48.8    	-.-      	58.5      	AC-/AC-     	        	        
	2026-04-14  	13:15:48  	00:00:04  	32.4     	32.4     	32.6     	32.3     	32.4    	32.4    	-.-      	32.4    	-.-      	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	46.1      	37.9     	37.5     	38.8     	36.4     	37.7    	37.7    	-.-      	37.7    	-.-      	37.7    	-.-       	37.7    	-.-       	37.7    	-.-       	50.1      	48.1     	47.3     	49.6     	43.5     	46.9    	48.4    	-.-      	57.2      	AC-/ACZ     	        	        
	2026-04-14  	13:15:49  	00:00:05  	32.5     	32.4     	32.6     	32.3     	32.5    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	46.0      	37.9     	37.5     	38.8     	36.2     	37.7    	37.7    	-.-      	37.7    	37.7     	37.7    	-.-       	37.7    	-.-       	37.7    	-.-       	51.0      	48.3     	46.8     	51.5     	43.7     	48.2    	48.4    	-.-      	58.9      	AC-/AC-     	        	        
	2026-04-14  	13:15:50  	00:00:06  	32.5     	32.4     	32.6     	32.3     	32.5    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	46.2      	38.3     	37.7     	39.6     	36.0     	38.1    	37.8    	-.-      	37.8    	37.8     	37.8    	-.-       	37.8    	-.-       	37.8    	-.-       	50.7      	48.1     	46.9     	49.0     	43.3     	47.0    	48.2    	-.-      	56.7      	AC-/ACZ     	        	        
	2026-04-14  	13:15:51  	00:00:07  	32.5     	32.4     	32.5     	32.3     	32.4    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.3      	38.1     	37.8     	39.2     	36.7     	37.7    	37.8    	-.-      	37.8    	37.8     	37.8    	-.-       	37.8    	-.-       	37.8    	-.-       	49.5      	48.5     	46.8     	51.7     	44.3     	48.6    	48.2    	-.-      	58.0      	AC-/ACZ     	        	        
	2026-04-14  	13:15:52  	00:00:08  	32.5     	32.4     	32.6     	32.3     	32.4    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.8      	38.0     	37.6     	38.9     	36.4     	37.7    	37.8    	-.-      	37.8    	37.8     	37.8    	-.-       	37.8    	-.-       	37.8    	-.-       	49.9      	48.3     	46.9     	48.6     	44.1     	46.0    	48.0    	-.-      	56.0      	AC-/ACZ     	        	        
	2026-04-14  	13:15:53  	00:00:09  	32.5     	32.4     	32.6     	32.3     	32.4    	32.4    	-.-      	32.4    	32.4     	32.4    	-.-       	32.4    	-.-       	32.4    	-.-       	44.8      	38.2     	37.6     	39.8     	37.2     	38.3    	37.8    	-.-      	37.9    	37.9     	37.8    	-.-       	37.8    	-.-       	37.8    	-.-       	50.1      	48.5     	46.4     	52.1     	42.8     	48.0    	48.0    	-.-      	59.5      	AC-/AC-     	        	        
