XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_000_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:15:44
	End:            	2026-04-14, 13:15:56

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:15:45  	00:00:01  	         	41.1     	36.2     	33.9     	39.9     	29.9     	29.2     	31.9     	31.2     	24.8     	26.2     	28.2     	23.3     	30.0     	20.6     	16.9     	16.8     	16.8     	17.4     	18.4     	17.2     	15.5     	15.9     	15.9     	17.6     	16.9     	17.6     	18.4     	19.4     	20.4     	21.3     	22.2     	23.5     	24.5     	26.0     	26.8     	29.0     
	2026-04-14  	13:15:46  	00:00:02  	         	42.8     	36.1     	33.4     	38.7     	33.2     	30.9     	29.1     	31.6     	25.1     	25.3     	25.9     	22.6     	30.4     	20.8     	17.0     	16.8     	18.3     	18.4     	18.0     	17.2     	15.1     	16.1     	16.6     	18.1     	17.0     	17.6     	18.4     	19.5     	20.3     	21.2     	22.0     	23.4     	24.5     	26.0     	27.0     	29.1     
	2026-04-14  	13:15:47  	00:00:03  	         	42.2     	32.4     	37.1     	37.5     	29.3     	34.8     	28.9     	29.2     	27.4     	25.6     	24.1     	22.8     	30.2     	21.3     	17.1     	19.1     	17.8     	18.2     	19.1     	18.3     	15.2     	16.2     	16.7     	17.9     	16.9     	17.9     	18.5     	19.2     	20.3     	21.2     	22.2     	23.5     	24.5     	25.9     	26.8     	29.1     
	2026-04-14  	13:15:48  	00:00:04  	         	40.1     	39.5     	34.4     	36.0     	30.4     	34.4     	29.6     	30.6     	23.6     	26.1     	25.6     	24.3     	29.7     	19.5     	17.2     	18.8     	17.6     	17.9     	17.9     	17.3     	16.0     	16.8     	16.5     	18.2     	17.4     	17.8     	18.6     	19.2     	20.3     	21.4     	22.2     	23.6     	24.5     	25.9     	26.8     	29.0     
	2026-04-14  	13:15:49  	00:00:05  	         	41.6     	29.1     	36.3     	38.3     	30.3     	32.3     	28.2     	30.7     	24.3     	26.7     	26.3     	24.7     	30.0     	20.7     	17.4     	18.6     	17.8     	17.9     	17.9     	18.2     	15.8     	16.4     	16.8     	17.9     	17.1     	17.8     	18.1     	19.6     	20.5     	21.3     	22.3     	23.6     	24.7     	26.0     	26.9     	29.0     
	2026-04-14  	13:15:50  	00:00:06  	         	36.5     	38.4     	37.6     	41.0     	35.0     	29.6     	28.2     	28.7     	24.3     	27.4     	27.9     	25.0     	29.5     	20.2     	18.7     	18.4     	18.0     	17.5     	18.3     	17.9     	15.9     	16.3     	16.7     	18.1     	17.4     	17.6     	18.5     	19.6     	20.4     	21.3     	22.3     	23.6     	24.4     	26.0     	26.9     	29.0     
	2026-04-14  	13:15:51  	00:00:07  	         	40.8     	36.3     	30.6     	37.4     	31.9     	34.9     	29.5     	32.1     	25.9     	27.6     	24.5     	22.7     	29.1     	21.5     	17.0     	17.8     	18.2     	17.8     	18.0     	18.1     	14.7     	15.9     	16.6     	18.1     	16.8     	17.6     	18.9     	19.4     	20.4     	21.3     	22.3     	23.5     	24.5     	25.9     	26.9     	29.1     
	2026-04-14  	13:15:52  	00:00:08  	         	45.9     	39.7     	32.9     	32.4     	33.9     	31.9     	32.6     	29.9     	22.9     	25.4     	27.1     	24.8     	29.6     	20.8     	18.4     	17.9     	16.6     	18.8     	18.3     	18.2     	15.1     	15.9     	16.3     	17.9     	17.3     	17.3     	18.1     	19.6     	20.4     	21.2     	22.4     	23.5     	24.4     	25.9     	26.9     	29.1     
