XL2 Broadband Logging:		KU100\2026-04-15_SLM_005_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 10:14:48
	End:            	2026-04-15, 10:15:00

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-15  	10:14:49  	00:00:01  	63.4     	63.3     	63.6     	63.1     	63.3    	63.3    	-.-      	63.3    	-.-      	63.3    	-.-       	63.3    	-.-       	63.3    	-.-       	75.0      	64.9     	64.7     	65.2     	64.5     	64.7    	64.7    	-.-      	64.7    	-.-      	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.5      	65.4     	65.2     	65.7     	64.9     	65.2    	65.2    	-.-      	77.4      	---/---     	        	        
	2026-04-15  	10:14:50  	00:00:02  	63.4     	63.3     	63.5     	63.0     	63.3    	63.3    	-.-      	63.3    	-.-      	63.3    	-.-       	63.3    	-.-       	63.3    	-.-       	77.4      	64.9     	64.7     	65.2     	64.2     	64.9    	64.8    	-.-      	64.8    	-.-      	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	77.8      	65.3     	65.1     	65.7     	64.8     	65.3    	65.3    	-.-      	78.0      	---/---     	        	        
	2026-04-15  	10:14:51  	00:00:03  	63.4     	63.3     	63.6     	63.1     	63.3    	63.3    	-.-      	63.3    	-.-      	63.3    	-.-       	63.3    	-.-       	63.3    	-.-       	75.3      	64.8     	64.7     	65.2     	64.4     	64.8    	64.8    	-.-      	64.8    	-.-      	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	78.0      	65.3     	65.2     	65.6     	64.9     	65.2    	65.3    	-.-      	78.2      	---/---     	        	        
	2026-04-15  	10:14:52  	00:00:04  	63.4     	63.3     	63.7     	63.0     	63.4    	63.4    	-.-      	63.4    	-.-      	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	76.5      	64.9     	64.7     	65.3     	64.4     	64.9    	64.8    	-.-      	64.8    	-.-      	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	76.7      	65.4     	65.2     	65.7     	64.9     	65.3    	65.3    	-.-      	77.4      	---/---     	        	        
	2026-04-15  	10:14:53  	00:00:05  	63.4     	63.3     	63.6     	63.1     	63.3    	63.4    	-.-      	63.4    	63.4     	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	76.2      	65.0     	64.8     	65.6     	64.7     	65.0    	64.9    	-.-      	64.9    	64.9     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	77.1      	65.5     	65.3     	66.0     	65.1     	65.5    	65.3    	-.-      	77.9      	---/---     	        	        
	2026-04-15  	10:14:54  	00:00:06  	63.5     	63.4     	63.8     	63.1     	63.4    	63.4    	-.-      	63.4    	63.4     	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	75.6      	65.1     	65.0     	65.6     	64.6     	65.0    	64.9    	-.-      	64.9    	64.9     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	76.8      	65.6     	65.4     	66.0     	65.1     	65.5    	65.3    	-.-      	77.6      	---/---     	        	        
	2026-04-15  	10:14:55  	00:00:07  	63.5     	63.4     	63.8     	63.1     	63.4    	63.4    	-.-      	63.4    	63.4     	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	75.7      	65.1     	64.9     	65.5     	64.5     	64.9    	64.9    	-.-      	64.9    	64.9     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	77.0      	65.5     	65.3     	65.9     	65.0     	65.3    	65.3    	-.-      	77.5      	---/---     	        	        
	2026-04-15  	10:14:56  	00:00:08  	63.4     	63.3     	63.8     	63.0     	63.3    	63.4    	-.-      	63.4    	63.4     	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	78.3      	64.9     	64.8     	65.3     	64.2     	64.7    	64.9    	-.-      	64.9    	64.9     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	78.2      	65.4     	65.2     	65.7     	64.7     	65.2    	65.3    	-.-      	78.4      	---/---     	        	        
	2026-04-15  	10:14:57  	00:00:09  	63.5     	63.3     	63.9     	63.1     	63.5    	63.4    	-.-      	63.4    	63.4     	63.4    	-.-       	63.4    	-.-       	63.4    	-.-       	75.9      	65.0     	64.7     	65.5     	64.3     	65.0    	64.9    	-.-      	64.9    	64.9     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	77.2      	65.4     	65.2     	66.0     	64.8     	65.5    	65.3    	-.-      	78.6      	---/---     	        	        
