XL2 RTA Spectrum Logging:		KU100\2026-04-15_SLM_005_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 10:14:48
	End:            	2026-04-15, 10:15:00

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-15  	10:14:49  	00:00:01  	         	37.5     	43.3     	36.8     	40.4     	37.1     	36.5     	32.2     	36.9     	38.4     	42.6     	45.3     	44.4     	45.8     	46.1     	49.9     	48.4     	51.7     	51.5     	55.7     	56.1     	56.6     	54.2     	51.1     	49.6     	47.4     	46.3     	43.7     	45.1     	52.0     	55.5     	53.9     	45.6     	45.0     	42.1     	38.3     	32.6     
	2026-04-15  	10:14:50  	00:00:02  	         	36.2     	41.0     	32.6     	39.7     	39.1     	32.5     	34.3     	36.4     	38.8     	42.3     	42.5     	47.5     	48.1     	46.6     	49.5     	50.5     	51.3     	52.0     	56.2     	55.9     	56.3     	53.9     	50.3     	49.6     	47.9     	46.5     	43.9     	45.0     	51.9     	55.8     	53.8     	45.4     	44.9     	42.3     	38.4     	32.6     
	2026-04-15  	10:14:51  	00:00:03  	         	41.3     	38.4     	29.9     	37.4     	36.5     	33.3     	34.5     	34.8     	40.8     	41.3     	43.5     	45.2     	45.5     	47.7     	50.4     	51.0     	51.6     	50.7     	55.5     	55.7     	57.0     	53.7     	50.3     	49.4     	47.7     	46.6     	43.7     	45.0     	51.9     	55.8     	53.9     	45.4     	44.9     	42.2     	38.3     	32.7     
	2026-04-15  	10:14:52  	00:00:04  	         	44.2     	34.8     	29.5     	31.5     	29.2     	32.7     	39.0     	35.9     	38.4     	39.8     	42.7     	45.5     	46.7     	47.5     	50.1     	48.6     	52.1     	52.6     	56.0     	55.6     	57.1     	54.0     	50.6     	49.5     	47.3     	46.6     	44.2     	45.0     	51.8     	55.7     	53.8     	45.4     	44.8     	42.2     	38.2     	32.6     
	2026-04-15  	10:14:53  	00:00:05  	         	45.0     	33.7     	34.7     	32.3     	34.5     	34.0     	32.6     	37.7     	38.2     	41.3     	45.2     	48.5     	47.4     	46.6     	50.4     	49.6     	52.9     	54.0     	55.9     	55.9     	56.5     	54.0     	50.1     	49.2     	48.0     	46.5     	43.9     	45.2     	51.9     	55.4     	53.9     	45.5     	45.0     	42.4     	38.3     	32.5     
	2026-04-15  	10:14:54  	00:00:06  	         	45.1     	31.7     	30.6     	33.0     	32.7     	30.7     	31.1     	37.5     	38.8     	43.4     	44.6     	46.5     	48.2     	47.4     	50.3     	50.9     	52.4     	51.5     	56.3     	55.8     	57.0     	53.9     	49.8     	49.5     	47.5     	46.5     	43.8     	44.8     	52.1     	55.7     	54.1     	45.4     	44.9     	42.4     	38.2     	32.6     
	2026-04-15  	10:14:55  	00:00:07  	         	47.2     	33.7     	31.3     	36.6     	32.1     	32.6     	31.0     	34.8     	40.1     	43.3     	43.7     	44.7     	47.3     	47.6     	48.7     	49.3     	53.1     	51.4     	55.8     	56.0     	56.6     	54.8     	50.4     	49.2     	47.6     	46.6     	43.9     	45.1     	51.8     	55.7     	53.7     	45.3     	44.9     	42.4     	38.4     	32.6     
	2026-04-15  	10:14:56  	00:00:08  	         	39.8     	36.1     	30.8     	32.4     	29.3     	30.9     	28.9     	33.7     	36.5     	41.6     	45.1     	44.7     	45.0     	47.1     	51.0     	48.9     	51.7     	52.2     	55.7     	55.5     	56.6     	54.4     	50.0     	49.2     	47.9     	46.7     	44.2     	45.1     	51.8     	55.6     	53.9     	45.6     	45.1     	42.3     	38.4     	32.6     
