XL2 Broadband Logging:		KU100\2026-04-15_SLM_006_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 10:15:54
	End:            	2026-04-15, 10:16:11

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-15  	10:15:55  	00:00:01  	61.3     	61.3     	61.5     	61.1     	61.3    	61.3    	-.-      	61.3    	-.-      	61.3    	-.-       	61.3    	-.-       	61.3    	-.-       	73.3      	60.8     	60.8     	61.1     	60.6     	60.8    	60.8    	-.-      	60.8    	-.-      	60.8    	-.-       	60.8    	-.-       	60.8    	-.-       	73.5      	62.1     	62.0     	62.4     	61.9     	62.1    	62.1    	-.-      	74.8      	---/---     	        	        
	2026-04-15  	10:15:56  	00:00:02  	61.3     	61.1     	61.2     	60.8     	61.0    	61.2    	-.-      	61.2    	-.-      	61.2    	-.-       	61.2    	-.-       	61.2    	-.-       	72.7      	60.8     	60.7     	61.0     	60.4     	60.6    	60.7    	-.-      	60.7    	-.-      	60.7    	-.-       	60.7    	-.-       	60.7    	-.-       	72.5      	62.1     	62.0     	62.2     	61.7     	61.9    	62.0    	-.-      	73.5      	---/---     	        	        
	2026-04-15  	10:15:57  	00:00:03  	61.2     	61.1     	61.4     	60.9     	61.1    	61.1    	-.-      	61.1    	-.-      	61.1    	-.-       	61.1    	-.-       	61.1    	-.-       	73.4      	60.8     	60.7     	61.0     	60.4     	60.8    	60.7    	-.-      	60.7    	-.-      	60.7    	-.-       	60.7    	-.-       	60.7    	-.-       	73.5      	62.0     	62.0     	62.2     	61.7     	62.0    	62.0    	-.-      	74.8      	---/---     	        	        
	2026-04-15  	10:15:58  	00:00:04  	61.1     	61.0     	61.2     	60.7     	61.0    	61.1    	-.-      	61.1    	-.-      	61.1    	-.-       	61.1    	-.-       	61.1    	-.-       	72.8      	60.7     	60.6     	60.9     	60.2     	60.6    	60.7    	-.-      	60.7    	-.-      	60.7    	-.-       	60.7    	-.-       	60.7    	-.-       	72.9      	62.0     	61.9     	62.3     	61.5     	61.9    	62.0    	-.-      	73.8      	---/---     	        	        
	2026-04-15  	10:15:59  	00:00:05  	61.1     	61.0     	61.2     	60.7     	61.0    	61.1    	-.-      	61.1    	61.1     	61.1    	-.-       	61.1    	-.-       	61.1    	-.-       	73.1      	60.6     	60.4     	60.8     	60.0     	60.3    	60.6    	-.-      	60.6    	60.6     	60.6    	-.-       	60.6    	-.-       	60.6    	-.-       	73.2      	61.9     	61.7     	62.0     	61.3     	61.6    	61.9    	-.-      	74.0      	---/---     	        	        
	2026-04-15  	10:16:00  	00:00:06  	61.1     	60.9     	61.2     	60.6     	60.9    	61.1    	-.-      	61.0    	61.1     	61.1    	-.-       	61.1    	-.-       	61.1    	-.-       	72.5      	60.5     	60.3     	60.7     	60.0     	60.3    	60.6    	-.-      	60.5    	60.6     	60.6    	-.-       	60.6    	-.-       	60.6    	-.-       	72.6      	61.8     	61.7     	62.0     	61.3     	61.7    	61.9    	-.-      	73.8      	---/---     	        	        
	2026-04-15  	10:16:01  	00:00:07  	61.0     	60.9     	61.1     	60.7     	60.9    	61.0    	-.-      	61.0    	61.1     	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	73.3      	60.4     	60.3     	60.6     	60.0     	60.3    	60.5    	-.-      	60.5    	60.6     	60.5    	-.-       	60.5    	-.-       	60.5    	-.-       	72.0      	61.8     	61.7     	62.0     	61.4     	61.7    	61.8    	-.-      	73.7      	---/---     	        	        
	2026-04-15  	10:16:02  	00:00:08  	61.1     	60.9     	61.3     	60.7     	61.1    	61.0    	-.-      	61.0    	61.1     	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	73.5      	60.4     	60.3     	60.7     	59.9     	60.5    	60.5    	-.-      	60.4    	60.6     	60.5    	-.-       	60.5    	-.-       	60.5    	-.-       	72.0      	61.8     	61.7     	62.1     	61.4     	61.8    	61.8    	-.-      	73.7      	---/---     	        	        
	2026-04-15  	10:16:03  	00:00:09  	61.1     	61.0     	61.2     	60.7     	61.0    	61.0    	-.-      	61.0    	61.1     	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	73.5      	60.5     	60.3     	60.9     	60.0     	60.5    	60.5    	-.-      	60.4    	60.6     	60.5    	-.-       	60.5    	-.-       	60.5    	-.-       	73.5      	61.8     	61.7     	62.2     	61.3     	61.8    	61.8    	-.-      	74.6      	---/---     	        	        
