XL2 RTA Spectrum Logging:		KU100\2026-04-15_SLM_006_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 10:15:54
	End:            	2026-04-15, 10:16:11

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-15  	10:15:55  	00:00:01  	         	40.2     	36.9     	35.4     	33.9     	31.6     	29.4     	28.1     	35.7     	40.5     	45.2     	47.8     	46.4     	43.9     	43.7     	44.7     	42.6     	45.0     	42.3     	43.5     	42.9     	45.7     	44.4     	44.2     	44.5     	42.6     	42.6     	43.6     	46.1     	52.6     	56.2     	55.1     	47.7     	46.5     	44.2     	36.8     	31.0     
	2026-04-15  	10:15:56  	00:00:02  	         	44.4     	35.0     	37.3     	32.2     	32.2     	32.4     	31.3     	37.3     	39.6     	45.5     	48.2     	45.8     	43.1     	43.5     	45.8     	43.9     	43.2     	41.8     	44.2     	44.0     	45.6     	43.8     	43.5     	43.2     	42.4     	42.2     	42.1     	44.8     	52.2     	56.4     	54.6     	46.9     	46.5     	44.2     	37.7     	31.7     
	2026-04-15  	10:15:57  	00:00:03  	         	41.2     	39.4     	33.3     	35.2     	29.4     	29.0     	29.8     	35.8     	38.7     	44.2     	47.7     	47.1     	45.8     	45.4     	44.9     	43.9     	43.3     	41.4     	43.6     	43.4     	45.0     	44.0     	43.0     	43.2     	42.0     	42.2     	42.2     	44.8     	52.2     	56.7     	54.6     	46.8     	46.3     	44.2     	37.9     	31.7     
	2026-04-15  	10:15:58  	00:00:04  	         	42.4     	39.3     	29.5     	32.8     	31.8     	31.6     	30.9     	38.7     	37.9     	44.6     	47.9     	45.7     	43.5     	44.1     	44.9     	43.0     	44.9     	41.0     	43.6     	42.1     	43.9     	43.7     	43.0     	42.4     	41.7     	41.4     	42.0     	44.6     	51.9     	56.6     	54.8     	47.2     	46.6     	44.2     	37.7     	31.7     
	2026-04-15  	10:15:59  	00:00:05  	         	39.2     	41.1     	31.9     	33.2     	29.8     	30.3     	30.7     	37.7     	40.2     	44.3     	46.1     	45.2     	44.3     	44.9     	43.2     	41.3     	42.8     	40.0     	42.4     	42.2     	44.2     	44.0     	42.4     	42.6     	42.0     	41.6     	41.9     	44.8     	52.4     	56.4     	54.6     	47.0     	46.6     	44.3     	37.7     	31.7     
	2026-04-15  	10:16:00  	00:00:06  	         	44.5     	36.8     	36.0     	34.8     	31.3     	32.5     	32.8     	35.3     	40.8     	44.4     	46.1     	46.4     	42.5     	42.8     	43.9     	42.4     	42.0     	40.4     	42.5     	41.9     	43.9     	43.5     	42.8     	42.4     	41.9     	41.7     	41.8     	44.7     	52.3     	56.3     	54.7     	47.0     	46.5     	44.2     	37.7     	31.6     
	2026-04-15  	10:16:01  	00:00:07  	         	42.5     	37.4     	34.7     	32.0     	29.7     	32.5     	28.2     	35.2     	39.3     	46.0     	45.2     	46.2     	43.2     	44.2     	43.9     	40.8     	43.1     	40.1     	41.7     	42.5     	44.0     	43.5     	42.1     	42.4     	42.2     	41.8     	41.9     	44.8     	51.9     	56.4     	54.8     	47.2     	46.4     	44.3     	37.6     	31.7     
	2026-04-15  	10:16:02  	00:00:08  	         	46.0     	37.7     	35.2     	31.6     	32.0     	30.1     	29.7     	38.5     	40.6     	41.9     	46.3     	46.5     	42.2     	44.7     	44.0     	42.0     	42.8     	41.1     	42.4     	42.3     	44.1     	43.2     	42.1     	42.3     	41.5     	41.4     	41.9     	44.8     	52.3     	56.6     	55.0     	47.0     	46.6     	44.3     	37.7     	31.7     
