XL2 Broadband Logging:		KU100\2026-04-14_SLM_001_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:17:30
	End:            	2026-04-14, 13:17:42

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:17:31  	00:00:01  	74.9     	74.9     	75.0     	74.8     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	-.-      	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.3      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	88.8      	---/---     	        	        
	2026-04-14  	13:17:32  	00:00:02  	74.9     	74.9     	75.0     	74.8     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.7      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	-.-      	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.4      	76.6     	76.6     	76.7     	76.5     	76.6    	76.6    	-.-      	90.3      	---/---     	        	        
	2026-04-14  	13:17:33  	00:00:03  	74.9     	74.9     	75.0     	74.8     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.4      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	-.-      	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.1      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	90.3      	---/---     	        	        
	2026-04-14  	13:17:34  	00:00:04  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	-.-      	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	-.-      	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.9      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	88.9      	---/---     	        	        
	2026-04-14  	13:17:35  	00:00:05  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.0      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.6      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	90.2      	---/---     	        	        
	2026-04-14  	13:17:36  	00:00:06  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.7      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.7      	76.6     	76.6     	76.7     	76.5     	76.6    	76.6    	-.-      	90.3      	---/---     	        	        
	2026-04-14  	13:17:37  	00:00:07  	74.9     	74.9     	75.0     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.2      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	90.1      	---/---     	        	        
	2026-04-14  	13:17:38  	00:00:08  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.4      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	88.9      	---/---     	        	        
	2026-04-14  	13:17:39  	00:00:09  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.2      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.4      	76.6     	76.6     	76.7     	76.5     	76.6    	76.6    	-.-      	89.7      	---/---     	        	        
	2026-04-14  	13:17:40  	00:00:10  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.5      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.6      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	89.4      	---/---     	        	        
	2026-04-14  	13:17:41  	00:00:11  	74.9     	74.9     	75.0     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.8      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	89.0      	---/---     	        	        
	2026-04-14  	13:17:42  	00:00:12  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	86.9      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	85.0      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	88.7      	---/---     	        	        

# Broadband LOG Results over whole log period
	2026-04-14  	13:17:42  	00:00:12  	74.9     	74.9     	75.1     	74.8     	74.9    	74.9    	-.-      	74.9    	74.9     	74.9    	-.-       	74.9    	-.-       	74.9    	-.-       	87.8      	73.4     	73.4     	73.5     	73.3     	73.4    	73.4    	-.-      	73.4    	73.4     	73.4    	-.-       	73.4    	-.-       	73.4    	-.-       	86.8      	76.6     	76.6     	76.7     	76.4     	76.6    	76.6    	-.-      	90.3      	---/---     	        	        

#CheckSum
	F041E3FC6CC9E14889DFBF0183ADC979
