XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_001_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:17:30
	End:            	2026-04-14, 13:17:42

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:17:31  	00:00:01  	         	39.2     	36.9     	36.2     	37.7     	31.2     	35.7     	36.8     	35.1     	39.5     	41.9     	42.0     	44.5     	46.6     	46.5     	49.1     	48.8     	50.6     	49.7     	53.4     	53.6     	56.1     	56.4     	55.8     	57.6     	58.3     	58.5     	56.7     	56.2     	61.6     	66.7     	66.9     	64.6     	71.9     	69.7     	60.7     	61.8     
	2026-04-14  	13:17:32  	00:00:02  	         	45.2     	39.5     	33.9     	37.0     	30.8     	36.3     	32.2     	33.8     	37.5     	42.4     	44.7     	46.1     	45.5     	46.9     	48.7     	48.4     	50.3     	50.0     	53.0     	53.9     	56.5     	56.4     	56.2     	57.5     	58.5     	58.7     	56.8     	56.2     	61.7     	66.5     	66.7     	64.4     	71.9     	69.7     	60.7     	61.7     
	2026-04-14  	13:17:33  	00:00:03  	         	44.1     	40.5     	31.6     	33.5     	28.9     	35.2     	34.0     	33.7     	39.1     	41.8     	45.2     	46.1     	46.1     	46.6     	49.5     	48.8     	50.2     	50.5     	53.3     	53.9     	56.1     	56.5     	55.7     	57.4     	58.2     	58.5     	56.9     	56.5     	61.7     	66.6     	66.9     	64.5     	71.9     	69.7     	60.8     	61.7     
	2026-04-14  	13:17:34  	00:00:04  	         	45.3     	33.9     	34.0     	32.8     	28.8     	36.0     	32.4     	35.4     	37.8     	43.0     	45.3     	45.5     	47.0     	46.6     	49.0     	48.2     	50.6     	50.3     	53.4     	54.0     	56.4     	56.3     	55.7     	57.3     	58.2     	58.5     	56.8     	56.4     	61.6     	66.7     	66.8     	64.5     	71.9     	69.8     	60.7     	61.7     
	2026-04-14  	13:17:35  	00:00:05  	         	41.1     	40.5     	37.2     	35.3     	30.7     	32.5     	33.4     	33.9     	38.9     	42.2     	42.7     	45.3     	46.7     	46.3     	49.2     	48.8     	50.6     	49.7     	53.4     	53.5     	56.1     	56.6     	56.0     	57.6     	58.4     	58.7     	56.8     	56.3     	61.6     	66.6     	66.9     	64.6     	71.9     	69.7     	60.8     	61.8     
	2026-04-14  	13:17:36  	00:00:06  	         	42.0     	32.2     	36.7     	34.5     	33.6     	33.2     	32.5     	35.8     	38.6     	42.0     	44.7     	46.1     	44.7     	47.0     	48.3     	48.2     	50.4     	50.2     	53.0     	53.9     	56.4     	56.4     	56.0     	57.4     	58.5     	58.6     	56.9     	56.2     	61.7     	66.5     	66.8     	64.4     	71.9     	69.7     	60.6     	61.7     
	2026-04-14  	13:17:37  	00:00:07  	         	42.9     	42.8     	35.3     	35.0     	33.2     	33.4     	30.6     	35.9     	39.4     	41.8     	45.1     	45.7     	46.0     	46.5     	49.4     	48.7     	50.1     	50.4     	53.4     	53.9     	56.3     	56.5     	55.6     	57.5     	58.1     	58.4     	56.9     	56.4     	61.6     	66.6     	66.8     	64.5     	71.9     	69.7     	60.7     	61.7     
	2026-04-14  	13:17:38  	00:00:08  	         	40.8     	34.6     	37.8     	41.0     	28.6     	27.1     	30.1     	35.6     	37.9     	43.0     	45.1     	45.0     	47.4     	46.8     	49.2     	48.5     	50.6     	50.0     	53.2     	53.7     	56.2     	56.2     	56.1     	57.3     	58.2     	58.6     	56.7     	56.4     	61.7     	66.8     	66.9     	64.6     	71.9     	69.7     	60.7     	61.8     
