XL2 Broadband Logging:		KU100\2026-04-14_SLM_002_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:20:30
	End:            	2026-04-14, 13:20:42

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:20:31  	00:00:01  	64.9     	64.8     	65.3     	64.6     	64.9    	64.9    	-.-      	64.9    	-.-      	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	77.7      	65.9     	65.9     	66.3     	65.6     	66.0    	66.0    	-.-      	66.0    	-.-      	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	79.2      	66.6     	66.5     	66.9     	66.3     	66.6    	66.6    	-.-      	80.1      	---/---     	        	        
	2026-04-14  	13:20:32  	00:00:02  	64.9     	64.8     	65.3     	64.7     	65.0    	65.0    	-.-      	65.0    	-.-      	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	77.8      	66.0     	65.9     	66.3     	65.7     	66.0    	66.0    	-.-      	66.0    	-.-      	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	79.2      	66.7     	66.6     	67.0     	66.4     	66.7    	66.7    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:20:33  	00:00:03  	65.0     	64.9     	65.4     	64.7     	65.0    	65.0    	-.-      	65.0    	-.-      	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	76.8      	66.0     	65.9     	66.4     	65.7     	66.0    	66.0    	-.-      	66.0    	-.-      	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	77.5      	66.8     	66.7     	67.0     	66.5     	66.7    	66.7    	-.-      	79.0      	---/---     	        	        
	2026-04-14  	13:20:34  	00:00:04  	65.0     	65.0     	65.3     	64.7     	65.0    	65.0    	-.-      	65.0    	-.-      	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	77.9      	66.1     	66.0     	66.4     	65.7     	66.0    	66.0    	-.-      	66.0    	-.-      	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	79.3      	66.8     	66.7     	67.0     	66.5     	66.7    	66.7    	-.-      	80.0      	---/---     	        	        
	2026-04-14  	13:20:35  	00:00:05  	65.1     	65.0     	65.5     	64.8     	65.1    	65.0    	-.-      	65.0    	65.0     	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	78.0      	66.1     	66.0     	66.4     	65.8     	66.1    	66.0    	-.-      	66.0    	66.0     	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	79.4      	66.8     	66.7     	67.1     	66.5     	66.8    	66.7    	-.-      	80.1      	---/---     	        	        
	2026-04-14  	13:20:36  	00:00:06  	65.1     	65.0     	65.5     	64.8     	65.2    	65.0    	-.-      	65.0    	65.0     	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	77.1      	66.1     	66.0     	66.5     	65.7     	66.1    	66.0    	-.-      	66.1    	66.1     	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	79.5      	66.9     	66.7     	67.2     	66.5     	66.9    	66.7    	-.-      	80.3      	---/---     	        	        
	2026-04-14  	13:20:37  	00:00:07  	65.2     	65.1     	65.6     	64.8     	65.1    	65.0    	-.-      	65.1    	65.1     	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	78.0      	66.2     	66.1     	66.5     	65.8     	66.1    	66.1    	-.-      	66.1    	66.1     	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	77.9      	66.9     	66.8     	67.1     	66.6     	66.8    	66.8    	-.-      	78.8      	---/---     	        	        
	2026-04-14  	13:20:38  	00:00:08  	65.2     	65.1     	65.4     	64.9     	65.2    	65.1    	-.-      	65.1    	65.1     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	78.1      	66.2     	66.1     	66.5     	65.8     	66.2    	66.1    	-.-      	66.1    	66.1     	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	79.7      	66.9     	66.8     	67.1     	66.6     	66.9    	66.8    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:20:39  	00:00:09  	65.2     	65.2     	65.6     	65.0     	65.2    	65.1    	-.-      	65.2    	65.2     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	78.1      	66.2     	66.1     	66.5     	65.9     	66.2    	66.1    	-.-      	66.1    	66.1     	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	79.6      	66.9     	66.9     	67.2     	66.7     	66.9    	66.8    	-.-      	80.2      	---/---     	        	        
	2026-04-14  	13:20:40  	00:00:10  	65.3     	65.2     	65.7     	64.9     	65.3    	65.1    	-.-      	65.2    	65.2     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.0      	66.3     	66.1     	66.6     	65.9     	66.2    	66.1    	-.-      	66.2    	66.2     	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	79.8      	67.0     	66.9     	67.2     	66.6     	67.0    	66.8    	-.-      	80.4      	---/---     	        	        
	2026-04-14  	13:20:41  	00:00:11  	65.3     	65.2     	65.6     	65.0     	65.3    	65.1    	-.-      	65.2    	65.2     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	78.0      	66.3     	66.2     	66.6     	65.9     	66.3    	66.1    	-.-      	66.2    	66.2     	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	78.1      	67.0     	66.9     	67.3     	66.6     	67.0    	66.8    	-.-      	79.3      	---/---     	        	        
