XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_002_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:20:30
	End:            	2026-04-14, 13:20:42

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:20:31  	00:00:01  	         	37.5     	41.2     	36.5     	33.2     	32.3     	36.0     	38.2     	34.3     	39.3     	41.6     	42.9     	44.8     	47.2     	46.7     	49.8     	49.0     	51.2     	50.8     	54.9     	55.6     	58.6     	58.2     	54.4     	52.8     	49.8     	48.1     	43.9     	43.6     	50.1     	56.5     	53.8     	47.9     	48.4     	46.2     	55.2     	43.2     
	2026-04-14  	13:20:32  	00:00:02  	         	42.4     	30.8     	37.8     	35.2     	37.1     	36.7     	33.8     	36.0     	37.8     	42.8     	44.3     	45.8     	45.1     	47.3     	49.4     	48.6     	50.8     	50.7     	54.7     	56.0     	58.8     	58.2     	54.7     	52.9     	50.0     	48.3     	44.2     	43.7     	50.2     	56.4     	53.8     	47.9     	48.5     	46.3     	55.3     	43.2     
	2026-04-14  	13:20:33  	00:00:03  	         	46.1     	45.2     	32.9     	35.4     	34.8     	32.5     	32.3     	36.0     	39.3     	42.2     	45.1     	46.0     	46.8     	47.2     	49.9     	49.0     	50.9     	51.3     	54.7     	56.1     	58.6     	58.4     	54.3     	52.8     	49.8     	48.1     	44.2     	44.0     	50.3     	56.5     	53.8     	47.9     	48.6     	46.3     	55.4     	43.4     
	2026-04-14  	13:20:34  	00:00:04  	         	38.8     	36.1     	33.3     	35.8     	33.8     	32.7     	30.5     	33.6     	38.3     	43.1     	45.6     	46.5     	47.3     	47.0     	49.7     	48.6     	51.2     	51.1     	55.0     	56.0     	58.9     	58.2     	54.5     	52.7     	49.9     	48.3     	44.3     	44.0     	50.3     	56.7     	53.9     	48.0     	48.5     	46.4     	55.4     	43.4     
	2026-04-14  	13:20:35  	00:00:05  	         	36.5     	33.3     	36.5     	40.1     	33.7     	35.5     	34.2     	35.7     	38.9     	42.2     	42.4     	44.9     	46.7     	47.0     	49.7     	49.1     	51.2     	50.6     	55.1     	55.6     	58.6     	58.6     	54.7     	53.2     	50.1     	48.4     	44.2     	43.8     	50.3     	56.7     	54.0     	48.0     	48.6     	46.4     	55.5     	43.5     
	2026-04-14  	13:20:36  	00:00:06  	         	43.3     	37.0     	34.2     	34.6     	29.9     	37.0     	35.0     	35.4     	38.1     	42.6     	44.5     	46.3     	45.7     	47.3     	49.1     	48.6     	50.9     	51.0     	54.4     	56.1     	58.9     	58.4     	54.9     	53.0     	50.1     	48.5     	44.4     	44.0     	50.5     	56.6     	54.0     	48.0     	48.7     	46.5     	55.5     	43.5     
	2026-04-14  	13:20:37  	00:00:07  	         	43.7     	33.5     	31.8     	31.5     	32.6     	35.9     	36.2     	36.3     	39.4     	41.5     	45.3     	45.9     	46.4     	47.1     	49.9     	49.1     	50.7     	51.3     	54.8     	56.0     	58.8     	58.6     	54.5     	53.2     	50.1     	48.4     	44.4     	44.2     	50.4     	56.7     	54.1     	48.0     	48.7     	46.5     	55.6     	43.6     
	2026-04-14  	13:20:38  	00:00:08  	         	41.0     	39.3     	32.3     	36.9     	31.2     	38.8     	35.6     	33.8     	38.3     	42.5     	45.4     	45.3     	47.6     	47.3     	49.6     	48.6     	51.3     	50.9     	54.9     	56.0     	58.8     	58.4     	54.9     	53.0     	50.0     	48.5     	44.3     	44.1     	50.5     	56.9     	54.1     	48.1     	48.7     	46.6     	55.7     	43.7     
