XL2 Broadband Logging:		KU100\2026-04-14_SLM_004_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:24:16
	End:            	2026-04-14, 13:24:28

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:24:17  	00:00:01  	66.1     	65.9     	67.0     	65.6     	66.2    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	79.9      	67.0     	66.6     	68.5     	66.4     	67.1    	67.1    	-.-      	67.1    	-.-      	67.1    	-.-       	67.1    	-.-       	67.1    	-.-       	81.3      	67.7     	67.3     	68.9     	67.1     	67.7    	67.7    	-.-      	82.2      	---/---     	        	        
	2026-04-14  	13:24:18  	00:00:02  	66.1     	66.0     	66.5     	65.8     	66.1    	66.1    	-.-      	66.1    	-.-      	66.1    	-.-       	66.1    	-.-       	66.1    	-.-       	78.3      	66.9     	66.8     	67.2     	66.5     	66.8    	66.9    	-.-      	66.9    	-.-      	66.9    	-.-       	66.9    	-.-       	66.9    	-.-       	79.1      	67.6     	67.5     	67.8     	67.2     	67.5    	67.6    	-.-      	79.8      	---/---     	        	        
	2026-04-14  	13:24:19  	00:00:03  	66.2     	66.1     	66.4     	65.9     	66.2    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.4      	66.9     	66.8     	67.2     	66.5     	66.9    	66.9    	-.-      	66.9    	-.-      	66.9    	-.-       	66.9    	-.-       	66.9    	-.-       	79.8      	67.6     	67.5     	67.8     	67.3     	67.6    	67.6    	-.-      	80.3      	---/---     	        	        
	2026-04-14  	13:24:20  	00:00:04  	66.3     	66.1     	66.6     	66.0     	66.3    	66.2    	-.-      	66.2    	-.-      	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.4      	66.9     	66.8     	67.3     	66.6     	66.9    	66.9    	-.-      	66.9    	-.-      	66.9    	-.-       	66.9    	-.-       	66.9    	-.-       	79.9      	67.6     	67.6     	67.9     	67.4     	67.6    	67.6    	-.-      	80.6      	---/---     	        	        
	2026-04-14  	13:24:21  	00:00:05  	66.3     	66.2     	66.7     	66.0     	66.4    	66.2    	-.-      	66.2    	66.2     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.1      	67.0     	66.9     	67.3     	66.6     	67.0    	66.9    	-.-      	66.9    	66.9     	66.9    	-.-       	66.9    	-.-       	66.9    	-.-       	79.9      	67.7     	67.6     	68.0     	67.4     	67.7    	67.6    	-.-      	80.6      	---/---     	        	        
	2026-04-14  	13:24:22  	00:00:06  	66.4     	66.3     	66.6     	66.0     	66.4    	66.2    	-.-      	66.3    	66.3     	66.2    	-.-       	66.2    	-.-       	66.2    	-.-       	78.4      	67.0     	66.9     	67.3     	66.7     	67.0    	66.9    	-.-      	66.9    	66.9     	66.9    	-.-       	66.9    	-.-       	66.9    	-.-       	79.3      	67.7     	67.7     	68.0     	67.5     	67.8    	67.7    	-.-      	80.1      	---/---     	        	        
	2026-04-14  	13:24:23  	00:00:07  	66.4     	66.3     	66.8     	66.1     	66.4    	66.3    	-.-      	66.3    	66.3     	66.3    	-.-       	66.3    	-.-       	66.3    	-.-       	78.5      	67.1     	67.0     	67.4     	66.7     	67.0    	67.0    	-.-      	67.0    	67.0     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	80.0      	67.8     	67.7     	68.1     	67.5     	67.8    	67.7    	-.-      	80.5      	---/---     	        	        
	2026-04-14  	13:24:24  	00:00:08  	66.5     	66.4     	66.9     	66.2     	66.6    	66.3    	-.-      	66.4    	66.4     	66.3    	-.-       	66.3    	-.-       	66.3    	-.-       	78.5      	67.1     	67.0     	67.4     	66.8     	67.1    	67.0    	-.-      	67.0    	67.0     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	80.2      	67.9     	67.8     	68.1     	67.6     	67.9    	67.7    	-.-      	80.8      	---/---     	        	        
	2026-04-14  	13:24:25  	00:00:09  	66.6     	66.4     	66.9     	66.2     	66.5    	66.3    	-.-      	66.5    	66.5     	66.3    	-.-       	66.3    	-.-       	66.3    	-.-       	78.2      	67.2     	67.0     	67.5     	66.8     	67.1    	67.0    	-.-      	67.1    	67.1     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	80.0      	67.9     	67.8     	68.2     	67.6     	67.9    	67.7    	-.-      	80.8      	---/---     	        	        
	2026-04-14  	13:24:26  	00:00:10  	66.6     	66.5     	66.8     	66.3     	66.5    	66.4    	-.-      	66.5    	66.5     	66.4    	-.-       	66.4    	-.-       	66.4    	-.-       	78.5      	67.2     	67.1     	67.4     	66.8     	67.1    	67.0    	-.-      	67.1    	67.1     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	79.4      	67.9     	67.9     	68.2     	67.7     	67.9    	67.7    	-.-      	80.6      	---/---     	        	        
	2026-04-14  	13:24:27  	00:00:11  	66.6     	66.5     	67.0     	66.3     	66.7    	66.4    	-.-      	66.5    	66.5     	66.4    	-.-       	66.4    	-.-       	66.4    	-.-       	78.6      	67.2     	67.1     	67.5     	66.8     	67.2    	67.0    	-.-      	67.1    	67.1     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	80.2      	68.0     	67.9     	68.2     	67.7     	68.0    	67.8    	-.-      	81.3      	---/---     	        	        
	2026-04-14  	13:24:28  	00:00:12  	66.7     	66.6     	67.0     	66.4     	66.7    	66.4    	-.-      	66.6    	66.6     	66.4    	-.-       	66.4    	-.-       	66.4    	-.-       	78.8      	67.2     	67.1     	67.6     	67.0     	67.3    	67.0    	-.-      	67.2    	67.2     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	80.2      	68.0     	67.9     	68.3     	67.8     	68.0    	67.8    	-.-      	80.9      	---/---     	        	        

# Broadband LOG Results over whole log period
	2026-04-14  	13:24:28  	00:00:12  	66.7     	65.9     	67.0     	65.6     	66.4    	66.4    	-.-      	66.6    	66.6     	66.4    	-.-       	66.4    	-.-       	66.4    	-.-       	79.9      	67.2     	66.6     	68.5     	66.4     	67.0    	67.0    	-.-      	67.2    	67.2     	67.0    	-.-       	67.0    	-.-       	67.0    	-.-       	81.3      	68.0     	67.3     	68.9     	67.1     	67.8    	67.8    	-.-      	82.2      	---/---     	        	        

#CheckSum
	CA4D96BF71E6525B6A4524A73A8B4E75
