XL2 Broadband Logging:		KU100\2026-04-14_SLM_005_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:25:22
	End:            	2026-04-14, 13:25:38

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	13:25:23  	00:00:01  	65.1     	65.0     	65.4     	64.9     	65.1    	65.1    	-.-      	65.1    	-.-      	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	76.8      	64.7     	64.6     	64.9     	64.4     	64.7    	64.7    	-.-      	64.7    	-.-      	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.3      	66.4     	66.3     	66.7     	66.1     	66.4    	66.4    	-.-      	78.9      	---/---     	        	        
	2026-04-14  	13:25:24  	00:00:02  	65.1     	65.1     	65.3     	64.9     	65.1    	65.1    	-.-      	65.1    	-.-      	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.1      	64.7     	64.6     	64.8     	64.4     	64.6    	64.7    	-.-      	64.7    	-.-      	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.3      	66.4     	66.3     	66.5     	66.1     	66.3    	66.4    	-.-      	79.0      	---/---     	        	        
	2026-04-14  	13:25:25  	00:00:03  	65.2     	65.1     	65.4     	64.9     	65.1    	65.1    	-.-      	65.1    	-.-      	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.1      	64.7     	64.6     	65.0     	64.4     	64.7    	64.7    	-.-      	64.7    	-.-      	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.4      	66.4     	66.3     	66.6     	66.1     	66.4    	66.4    	-.-      	78.7      	---/---     	        	        
	2026-04-14  	13:25:26  	00:00:04  	65.2     	65.1     	65.4     	65.0     	65.2    	65.1    	-.-      	65.1    	-.-      	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.0      	64.7     	64.7     	64.9     	64.5     	64.7    	64.7    	-.-      	64.7    	-.-      	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.4      	66.4     	66.3     	66.6     	66.2     	66.4    	66.4    	-.-      	78.5      	---/---     	        	        
	2026-04-14  	13:25:27  	00:00:05  	65.2     	65.1     	65.4     	64.9     	65.2    	65.1    	-.-      	65.1    	65.1     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.2      	64.7     	64.6     	65.0     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.4      	66.4     	66.3     	66.6     	66.1     	66.4    	66.4    	-.-      	78.6      	---/---     	        	        
	2026-04-14  	13:25:28  	00:00:06  	65.2     	65.1     	65.4     	64.9     	65.1    	65.1    	-.-      	65.1    	65.1     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.2      	64.7     	64.7     	64.9     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.6      	66.4     	66.3     	66.5     	66.1     	66.3    	66.4    	-.-      	78.7      	---/---     	        	        
	2026-04-14  	13:25:29  	00:00:07  	65.2     	65.1     	65.4     	64.9     	65.1    	65.1    	-.-      	65.2    	65.2     	65.1    	-.-       	65.1    	-.-       	65.1    	-.-       	77.2      	64.7     	64.7     	64.9     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	76.5      	66.4     	66.3     	66.5     	66.1     	66.4    	66.4    	-.-      	78.4      	---/---     	        	        
	2026-04-14  	13:25:30  	00:00:08  	65.2     	65.1     	65.4     	65.0     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	76.9      	64.7     	64.7     	65.0     	64.5     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.7      	66.4     	66.3     	66.6     	66.2     	66.4    	66.4    	-.-      	78.8      	---/---     	        	        
	2026-04-14  	13:25:31  	00:00:09  	65.2     	65.1     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.4      	64.7     	64.7     	65.0     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.6      	66.4     	66.3     	66.5     	66.1     	66.3    	66.4    	-.-      	78.7      	---/---     	        	        
	2026-04-14  	13:25:32  	00:00:10  	65.2     	65.1     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.3      	64.7     	64.7     	65.0     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.5      	66.4     	66.3     	66.6     	66.1     	66.4    	66.4    	-.-      	78.8      	---/---     	        	        
	2026-04-14  	13:25:33  	00:00:11  	65.2     	65.2     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	76.8      	64.8     	64.7     	65.0     	64.5     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	76.5      	66.4     	66.3     	66.6     	66.2     	66.4    	66.4    	-.-      	78.6      	---/---     	        	        
	2026-04-14  	13:25:34  	00:00:12  	65.2     	65.1     	65.4     	65.0     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.3      	64.8     	64.7     	65.0     	64.5     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.4      	66.4     	66.3     	66.6     	66.2     	66.4    	66.4    	-.-      	79.1      	---/---     	        	        
	2026-04-14  	13:25:35  	00:00:13  	65.2     	65.2     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.3      	64.8     	64.7     	64.9     	64.5     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.6      	66.4     	66.4     	66.6     	66.2     	66.4    	66.4    	-.-      	79.0      	---/---     	        	        
	2026-04-14  	13:25:36  	00:00:14  	65.2     	65.2     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.3      	64.8     	64.7     	65.0     	64.5     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.1      	66.4     	66.4     	66.6     	66.2     	66.4    	66.4    	-.-      	78.8      	---/---     	        	        
	2026-04-14  	13:25:37  	00:00:15  	65.2     	65.2     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	76.8      	64.8     	64.7     	65.0     	64.5     	64.8    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.6      	66.4     	66.4     	66.7     	66.2     	66.4    	66.4    	-.-      	79.0      	---/---     	        	        
	2026-04-14  	13:25:38  	00:00:16  	65.2     	65.2     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.3      	64.8     	64.7     	65.0     	64.5     	64.8    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.7      	66.4     	66.4     	66.6     	66.1     	66.4    	66.4    	-.-      	79.4      	---/---     	        	        

# Broadband LOG Results over whole log period
	2026-04-14  	13:25:38  	00:00:16  	65.2     	65.0     	65.4     	64.9     	65.2    	65.2    	-.-      	65.2    	65.2     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	77.4      	64.8     	64.6     	65.0     	64.4     	64.7    	64.7    	-.-      	64.7    	64.7     	64.7    	-.-       	64.7    	-.-       	64.7    	-.-       	77.7      	66.4     	66.3     	66.7     	66.1     	66.4    	66.4    	-.-      	79.4      	---/---     	        	        

#CheckSum
	F0D56E7BAC708BDECBE27283C57DC9B1
