XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_005_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:25:22
	End:            	2026-04-14, 13:25:38

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:25:23  	00:00:01  	         	42.0     	38.7     	34.5     	42.0     	32.5     	37.8     	39.8     	36.5     	39.7     	43.4     	42.9     	45.8     	47.8     	47.3     	48.7     	47.7     	49.1     	47.7     	49.6     	49.5     	51.2     	51.7     	50.6     	51.5     	49.8     	48.3     	46.6     	47.2     	53.9     	60.1     	57.5     	51.4     	51.7     	51.0     	57.8     	46.6     
	2026-04-14  	13:25:24  	00:00:02  	         	48.5     	38.4     	30.8     	39.0     	36.0     	33.9     	37.1     	38.6     	39.1     	43.0     	45.6     	47.5     	45.9     	47.5     	48.3     	47.1     	48.8     	48.2     	48.8     	49.9     	51.5     	51.5     	50.7     	51.3     	49.8     	48.3     	46.8     	47.3     	54.0     	60.0     	57.4     	51.4     	51.8     	51.1     	57.8     	46.5     
	2026-04-14  	13:25:25  	00:00:03  	         	37.8     	41.8     	36.5     	37.9     	32.2     	35.6     	36.5     	36.6     	39.4     	41.9     	46.5     	47.2     	47.7     	47.5     	49.0     	47.7     	48.6     	48.7     	49.2     	50.0     	51.4     	51.6     	50.3     	51.3     	49.7     	48.2     	46.7     	47.5     	54.0     	60.1     	57.4     	51.4     	51.8     	51.0     	57.8     	46.7     
	2026-04-14  	13:25:26  	00:00:04  	         	42.6     	36.5     	33.9     	33.4     	28.3     	35.4     	40.0     	34.4     	38.0     	43.9     	46.3     	46.4     	48.4     	47.5     	48.7     	47.2     	49.1     	48.2     	49.4     	49.9     	51.2     	51.4     	50.7     	51.1     	49.6     	48.3     	46.6     	47.4     	54.0     	60.2     	57.5     	51.4     	51.8     	51.0     	57.9     	46.7     
	2026-04-14  	13:25:27  	00:00:05  	         	42.6     	41.3     	36.0     	33.4     	31.9     	30.7     	37.8     	38.2     	40.1     	42.8     	43.2     	47.0     	47.2     	46.6     	48.6     	47.7     	49.0     	47.9     	49.2     	49.7     	51.3     	51.5     	50.7     	51.6     	49.8     	48.4     	46.6     	47.2     	53.8     	60.1     	57.5     	51.4     	51.8     	51.1     	57.8     	46.6     
	2026-04-14  	13:25:28  	00:00:06  	         	42.7     	42.1     	30.4     	35.8     	34.4     	37.5     	39.4     	35.0     	38.9     	42.7     	45.6     	47.3     	46.1     	48.0     	48.1     	47.0     	49.0     	48.4     	49.2     	50.0     	51.4     	51.7     	50.7     	51.2     	50.0     	48.2     	46.6     	47.4     	54.1     	60.1     	57.4     	51.3     	51.9     	51.1     	57.9     	46.7     
	2026-04-14  	13:25:29  	00:00:07  	         	40.1     	36.5     	31.8     	33.4     	31.9     	32.6     	36.0     	36.0     	39.3     	42.4     	46.1     	47.1     	47.4     	47.1     	48.9     	47.4     	48.7     	48.5     	49.4     	49.9     	51.3     	51.6     	50.3     	51.2     	49.5     	48.3     	46.8     	47.4     	54.0     	60.1     	57.5     	51.4     	51.8     	51.1     	57.9     	46.7     
	2026-04-14  	13:25:30  	00:00:08  	         	37.8     	34.9     	36.7     	38.7     	28.3     	35.4     	35.5     	36.6     	39.0     	43.1     	44.6     	46.0     	48.2     	47.3     	49.1     	47.7     	49.0     	48.0     	49.2     	49.6     	51.5     	51.3     	50.6     	51.4     	49.7     	48.3     	46.5     	47.4     	54.0     	60.2     	57.5     	51.4     	51.8     	51.0     	57.9     	46.7     
