XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_008_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 13:54:48
	End:            	2026-04-14, 13:54:59

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	13:54:49  	00:00:01  	         	41.7     	37.6     	30.8     	32.2     	31.5     	32.1     	35.7     	43.6     	48.0     	52.5     	55.3     	56.1     	56.8     	56.5     	59.0     	58.2     	60.2     	60.2     	63.4     	64.2     	66.6     	66.9     	67.4     	70.0     	69.6     	69.1     	67.3     	66.4     	71.2     	76.6     	76.6     	74.4     	81.6     	79.7     	70.4     	71.1     
	2026-04-14  	13:54:50  	00:00:02  	         	44.3     	35.7     	34.5     	38.5     	32.1     	31.2     	35.7     	43.2     	48.9     	52.2     	52.0     	54.2     	56.3     	56.5     	59.0     	58.7     	60.4     	59.9     	63.6     	64.0     	66.2     	67.3     	67.7     	70.4     	69.7     	69.2     	67.2     	66.2     	71.1     	76.6     	76.7     	74.5     	81.6     	79.6     	70.4     	71.1     
	2026-04-14  	13:54:51  	00:00:03  	         	37.5     	37.9     	30.8     	35.6     	27.5     	34.4     	34.5     	44.0     	47.5     	52.3     	54.3     	56.0     	55.0     	56.7     	58.6     	58.3     	60.0     	60.2     	63.0     	64.2     	66.6     	67.2     	67.8     	70.2     	69.7     	69.2     	67.4     	66.3     	71.2     	76.4     	76.6     	74.3     	81.6     	79.6     	70.3     	71.1     
	2026-04-14  	13:54:52  	00:00:04  	         	41.0     	39.0     	30.3     	37.5     	29.4     	31.8     	35.6     	45.2     	49.0     	51.6     	55.2     	55.6     	55.9     	56.5     	59.3     	58.7     	59.9     	60.5     	63.4     	64.2     	66.4     	67.1     	67.2     	70.3     	69.6     	69.1     	67.3     	66.4     	71.2     	76.5     	76.6     	74.4     	81.6     	79.6     	70.4     	71.1     
	2026-04-14  	13:54:53  	00:00:05  	         	39.9     	36.9     	32.0     	32.6     	30.3     	36.4     	41.2     	44.2     	47.7     	52.3     	55.1     	55.1     	57.1     	56.7     	58.9     	58.2     	60.3     	60.1     	63.4     	64.1     	66.4     	66.9     	67.6     	70.0     	69.5     	69.1     	67.3     	66.4     	71.2     	76.6     	76.7     	74.4     	81.6     	79.6     	70.4     	71.1     
	2026-04-14  	13:54:54  	00:00:06  	         	41.3     	39.7     	32.8     	38.6     	30.8     	32.8     	36.0     	42.8     	48.8     	52.4     	52.0     	55.6     	56.1     	56.0     	59.0     	58.8     	60.3     	59.9     	63.3     	64.0     	66.3     	67.1     	67.7     	70.4     	69.7     	69.2     	67.3     	66.2     	71.1     	76.5     	76.7     	74.5     	81.6     	79.6     	70.4     	71.2     
	2026-04-14  	13:54:55  	00:00:07  	         	42.3     	40.0     	35.7     	36.4     	31.6     	35.4     	35.1     	43.9     	48.2     	51.9     	54.5     	55.9     	54.9     	57.1     	58.4     	58.0     	60.2     	60.4     	63.2     	64.2     	66.5     	67.3     	67.7     	70.1     	69.9     	69.1     	67.2     	66.3     	71.3     	76.4     	76.6     	74.3     	81.7     	79.6     	70.4     	71.1     
	2026-04-14  	13:54:56  	00:00:08  	         	41.1     	37.0     	32.2     	34.7     	28.8     	33.1     	32.3     	43.9     	48.8     	52.0     	55.2     	55.6     	56.2     	56.3     	59.2     	58.4     	59.9     	60.3     	63.5     	64.2     	66.4     	67.1     	67.2     	70.1     	69.4     	69.1     	67.4     	66.4     	71.2     	76.5     	76.6     	74.4     	81.7     	79.6     	70.4     	71.1     
