XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_010_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 14:58:50
	End:            	2026-04-14, 14:59:01

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	14:58:51  	00:00:01  	         	45.4     	39.2     	32.5     	31.8     	31.0     	30.4     	34.5     	43.3     	49.2     	50.4     	54.6     	56.5     	56.1     	57.7     	60.0     	59.9     	61.6     	59.5     	63.3     	65.9     	67.6     	68.7     	69.9     	73.3     	71.1     	68.7     	64.0     	61.9     	65.9     	73.7     	72.1     	63.5     	69.0     	70.0     	66.3     	62.2     
	2026-04-14  	14:58:52  	00:00:02  	         	40.0     	36.1     	31.9     	35.5     	29.6     	30.9     	32.7     	46.6     	48.1     	53.5     	55.5     	55.5     	56.9     	56.1     	61.1     	60.4     	61.3     	60.8     	63.3     	65.6     	67.5     	69.2     	69.6     	72.7     	71.2     	68.8     	64.3     	61.9     	65.9     	73.5     	72.0     	63.7     	69.0     	70.2     	66.3     	62.2     
	2026-04-14  	14:58:53  	00:00:03  	         	38.3     	36.3     	33.2     	29.9     	30.8     	33.9     	33.3     	45.9     	47.9     	54.1     	53.5     	55.4     	57.5     	57.6     	59.9     	59.5     	59.7     	59.3     	63.3     	65.7     	68.2     	69.2     	70.1     	73.1     	71.0     	68.5     	64.2     	61.7     	65.7     	73.6     	72.0     	63.4     	69.1     	70.1     	66.4     	62.2     
	2026-04-14  	14:58:54  	00:00:04  	         	36.8     	40.7     	33.3     	31.1     	27.0     	29.8     	35.8     	43.2     	46.8     	51.6     	54.6     	56.2     	56.7     	56.1     	59.8     	60.0     	60.7     	59.7     	63.8     	66.2     	67.4     	68.8     	70.4     	72.6     	71.2     	68.2     	63.9     	61.8     	65.8     	73.7     	72.2     	63.4     	68.9     	70.1     	66.4     	62.4     
	2026-04-14  	14:58:55  	00:00:05  	         	37.3     	40.2     	32.2     	34.2     	30.8     	31.6     	33.6     	45.2     	46.9     	50.1     	55.4     	53.5     	57.3     	58.1     	59.6     	59.9     	60.6     	60.1     	63.1     	66.3     	67.5     	68.7     	69.4     	72.6     	71.1     	68.5     	64.0     	61.8     	66.0     	73.7     	72.2     	63.6     	69.0     	70.0     	66.4     	62.3     
	2026-04-14  	14:58:56  	00:00:06  	         	39.9     	41.0     	34.3     	34.3     	33.9     	31.7     	34.9     	45.1     	49.2     	52.3     	55.2     	56.0     	55.8     	55.3     	59.5     	59.4     	60.4     	60.1     	63.4     	66.1     	67.5     	69.1     	69.9     	72.8     	71.0     	68.7     	64.2     	62.0     	65.6     	73.8     	71.9     	63.5     	69.0     	70.0     	66.4     	62.1     
	2026-04-14  	14:58:57  	00:00:07  	         	39.9     	41.9     	36.5     	32.7     	30.7     	31.9     	33.9     	41.4     	47.3     	52.5     	55.7     	56.1     	57.5     	57.4     	60.6     	59.2     	60.7     	60.0     	64.0     	65.5     	67.1     	68.9     	69.9     	72.6     	70.9     	68.7     	64.2     	61.9     	65.7     	73.6     	72.1     	63.6     	69.2     	70.0     	66.3     	62.3     
	2026-04-14  	14:58:58  	00:00:08  	         	40.4     	36.7     	35.3     	36.1     	29.6     	30.7     	34.7     	44.8     	49.4     	51.2     	54.0     	54.2     	57.6     	56.8     	60.1     	60.3     	60.1     	59.9     	63.4     	65.5     	68.2     	69.1     	70.4     	73.1     	71.5     	68.8     	64.0     	61.9     	65.6     	73.6     	72.2     	63.6     	69.0     	70.1     	66.3     	62.2     
