XL2 RTA Spectrum Logging:		KU100\2026-04-14_SLM_013_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 15:02:30
	End:            	2026-04-14, 15:02:41

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	15:02:31  	00:00:01  	         	49.4     	41.3     	36.6     	37.2     	43.1     	51.0     	59.7     	49.2     	48.1     	55.0     	54.1     	57.1     	58.7     	57.2     	58.0     	59.2     	60.5     	57.5     	62.0     	62.9     	64.4     	64.8     	65.2     	68.0     	66.6     	65.0     	63.4     	61.7     	65.9     	74.8     	71.7     	63.3     	68.2     	67.2     	70.7     	65.7     
	2026-04-14  	15:02:32  	00:00:02  	         	40.8     	38.9     	37.0     	38.0     	44.0     	55.2     	61.7     	54.1     	49.1     	49.9     	56.1     	54.7     	58.6     	58.1     	60.5     	60.3     	60.1     	58.9     	61.5     	63.0     	64.1     	65.1     	64.9     	67.5     	66.7     	65.2     	63.4     	61.6     	65.3     	74.4     	71.6     	63.3     	68.1     	67.2     	70.6     	65.7     
	2026-04-14  	15:02:33  	00:00:03  	         	44.4     	41.8     	35.6     	37.9     	40.1     	50.6     	55.4     	44.1     	48.5     	51.1     	53.4     	55.9     	57.4     	57.3     	61.3     	60.8     	60.7     	58.7     	62.4     	62.8     	63.6     	65.4     	65.2     	67.6     	66.6     	65.4     	63.5     	61.7     	65.4     	74.6     	71.7     	63.4     	68.2     	67.1     	70.6     	65.6     
	2026-04-14  	15:02:34  	00:00:04  	         	41.9     	39.4     	36.2     	37.0     	38.6     	47.8     	53.7     	48.4     	49.2     	51.3     	54.3     	55.2     	58.5     	55.7     	59.2     	59.7     	59.6     	58.6     	62.0     	62.3     	64.0     	65.4     	65.0     	67.4     	66.0     	64.9     	63.4     	62.0     	65.6     	74.5     	71.7     	63.5     	68.2     	67.4     	70.6     	65.6     
	2026-04-14  	15:02:35  	00:00:05  	         	41.4     	36.6     	37.6     	42.4     	40.3     	55.0     	62.8     	51.2     	48.7     	53.5     	56.0     	56.4     	58.4     	57.8     	59.4     	60.1     	59.5     	58.3     	62.1     	63.1     	64.5     	64.9     	65.2     	68.0     	66.5     	65.3     	63.6     	61.8     	65.5     	74.5     	71.7     	63.4     	68.1     	67.2     	70.5     	65.6     
	2026-04-14  	15:02:36  	00:00:06  	         	40.3     	39.9     	35.1     	42.9     	40.2     	48.2     	53.0     	48.7     	51.6     	54.1     	55.8     	55.8     	55.3     	57.1     	60.1     	59.2     	60.7     	59.1     	62.0     	63.1     	64.3     	65.2     	65.0     	67.5     	66.5     	65.2     	63.0     	61.5     	65.5     	74.3     	71.6     	63.5     	68.3     	67.1     	70.4     	65.7     
	2026-04-14  	15:02:37  	00:00:07  	         	39.6     	36.8     	36.4     	38.1     	36.2     	44.3     	46.3     	45.0     	47.0     	53.1     	56.8     	56.6     	56.2     	58.6     	60.2     	59.4     	59.5     	58.0     	61.7     	63.1     	64.5     	65.0     	64.7     	67.3     	66.7     	65.5     	63.5     	61.5     	65.6     	74.6     	71.8     	63.4     	68.6     	67.1     	70.5     	65.6     
	2026-04-14  	15:02:38  	00:00:08  	         	36.9     	37.4     	32.5     	37.3     	37.0     	41.1     	46.2     	46.6     	50.9     	52.2     	52.1     	56.3     	56.3     	57.0     	60.5     	60.3     	59.8     	58.6     	62.6     	64.1     	64.7     	65.0     	64.8     	67.1     	66.7     	65.2     	63.3     	61.7     	65.3     	74.4     	71.9     	63.5     	68.3     	67.1     	70.5     	65.7     
