XL2 Broadband Logging:		KU100\2026-04-14_SLM_015_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 15:05:08
	End:            	2026-04-14, 15:05:20

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	15:05:09  	00:00:01  	79.2     	79.1     	79.4     	78.9     	79.2    	79.2    	-.-      	79.2    	-.-      	79.2    	-.-       	79.2    	-.-       	79.2    	-.-       	91.9      	78.3     	78.2     	78.5     	78.1     	78.3    	78.3    	-.-      	78.3    	-.-      	78.3    	-.-       	78.3    	-.-       	78.3    	-.-       	90.5      	79.7     	79.7     	79.9     	79.5     	79.7    	79.7    	-.-      	92.4      	---/---     	        	        
	2026-04-14  	15:05:10  	00:00:02  	79.3     	79.2     	79.6     	78.9     	79.3    	79.3    	-.-      	79.3    	-.-      	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	91.3      	78.4     	78.3     	78.7     	78.1     	78.4    	78.4    	-.-      	78.4    	-.-      	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	91.2      	79.8     	79.7     	80.1     	79.5     	79.8    	79.8    	-.-      	92.0      	---/---     	        	        
	2026-04-14  	15:05:11  	00:00:03  	79.3     	79.2     	79.6     	78.9     	79.2    	79.3    	-.-      	79.3    	-.-      	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	91.7      	78.4     	78.3     	78.7     	78.0     	78.3    	78.3    	-.-      	78.3    	-.-      	78.3    	-.-       	78.3    	-.-       	78.3    	-.-       	90.4      	79.8     	79.7     	80.1     	79.4     	79.8    	79.8    	-.-      	92.1      	---/---     	        	        
	2026-04-14  	15:05:12  	00:00:04  	79.3     	79.2     	79.6     	79.0     	79.3    	79.3    	-.-      	79.3    	-.-      	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	91.5      	78.4     	78.3     	78.7     	78.1     	78.4    	78.4    	-.-      	78.4    	-.-      	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	90.9      	79.8     	79.8     	80.1     	79.5     	79.8    	79.8    	-.-      	92.5      	---/---     	        	        
	2026-04-14  	15:05:13  	00:00:05  	79.3     	79.2     	79.6     	78.9     	79.2    	79.3    	-.-      	79.3    	79.3     	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	92.9      	78.4     	78.3     	78.7     	78.0     	78.3    	78.4    	-.-      	78.4    	78.4     	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	90.7      	79.8     	79.7     	80.1     	79.5     	79.7    	79.8    	-.-      	92.4      	---/---     	        	        
	2026-04-14  	15:05:14  	00:00:06  	79.3     	79.2     	79.6     	79.0     	79.2    	79.2    	-.-      	79.2    	79.3     	79.2    	-.-       	79.2    	-.-       	79.2    	-.-       	91.7      	78.4     	78.3     	78.7     	78.1     	78.3    	78.4    	-.-      	78.4    	78.4     	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	90.8      	79.8     	79.7     	80.1     	79.5     	79.7    	79.8    	-.-      	92.5      	---/---     	        	        
	2026-04-14  	15:05:15  	00:00:07  	79.3     	79.2     	79.6     	79.0     	79.3    	79.3    	-.-      	79.3    	79.3     	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	92.0      	78.4     	78.3     	78.6     	78.0     	78.4    	78.4    	-.-      	78.4    	78.4     	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	90.7      	79.8     	79.8     	80.0     	79.5     	79.8    	79.8    	-.-      	92.4      	---/---     	        	        
	2026-04-14  	15:05:16  	00:00:08  	79.3     	79.2     	79.5     	79.0     	79.2    	79.3    	-.-      	79.3    	79.3     	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	91.9      	78.4     	78.3     	78.6     	78.1     	78.3    	78.4    	-.-      	78.4    	78.4     	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	90.7      	79.8     	79.7     	80.0     	79.6     	79.8    	79.8    	-.-      	92.7      	---/---     	        	        
	2026-04-14  	15:05:17  	00:00:09  	79.3     	79.2     	79.5     	79.1     	79.2    	79.3    	-.-      	79.3    	79.3     	79.3    	-.-       	79.3    	-.-       	79.3    	-.-       	91.3      	78.4     	78.3     	78.6     	78.2     	78.4    	78.4    	-.-      	78.3    	78.4     	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	91.7      	79.8     	79.8     	80.0     	79.6     	79.8    	79.8    	-.-      	92.6      	---/---     	        	        
