XL2 Broadband Logging:		KU100\2026-04-13_SLM_013_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-13, 14:04:50
	End:            	2026-04-13, 14:08:00

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	14:04:51  	00:00:01  	67.2     	62.0     	71.4     	58.4     	68.1    	68.1    	-.-      	68.1    	-.-      	68.1    	-.-       	68.1    	-.-       	68.1    	-.-       	82.8      	71.9     	67.2     	75.0     	67.1     	72.9    	72.9    	-.-      	72.9    	-.-      	72.9    	-.-       	72.9    	-.-       	72.9    	-.-       	84.8      	72.0     	67.4     	75.1     	67.5     	73.0    	73.0    	-.-      	84.5      	---/---     	        	        
	2026-04-13  	14:04:52  	00:00:02  	68.8     	67.2     	70.5     	67.5     	69.4    	68.8    	-.-      	68.8    	-.-      	68.8    	-.-       	68.8    	-.-       	68.8    	-.-       	82.6      	72.9     	71.9     	75.0     	70.9     	73.3    	73.1    	-.-      	73.1    	-.-      	73.1    	-.-       	73.1    	-.-       	73.1    	-.-       	85.7      	73.0     	72.0     	75.0     	71.1     	73.4    	73.2    	-.-      	85.2      	---/---     	        	        
	2026-04-13  	14:04:53  	00:00:03  	69.2     	68.4     	70.4     	67.3     	69.2    	68.9    	-.-      	68.9    	-.-      	68.9    	-.-       	68.9    	-.-       	68.9    	-.-       	81.4      	73.2     	72.5     	74.2     	70.6     	73.0    	73.1    	-.-      	73.1    	-.-      	73.1    	-.-       	73.1    	-.-       	73.1    	-.-       	84.5      	73.2     	72.6     	74.2     	70.7     	73.0    	73.1    	-.-      	84.2      	---/---     	        	        
	2026-04-13  	14:04:54  	00:00:04  	69.6     	67.6     	71.4     	61.1     	67.1    	68.5    	-.-      	68.5    	-.-      	68.5    	-.-       	68.5    	-.-       	68.5    	-.-       	85.8      	73.5     	72.5     	75.4     	69.8     	72.5    	72.9    	-.-      	72.9    	-.-      	72.9    	-.-       	72.9    	-.-       	72.9    	-.-       	85.8      	73.6     	72.7     	75.5     	70.2     	72.6    	73.0    	-.-      	85.3      	---/---     	        	        
	2026-04-13  	14:04:55  	00:00:05  	68.3     	67.0     	70.3     	58.9     	68.4    	68.5    	-.-      	68.5    	68.5     	68.5    	-.-       	68.5    	-.-       	68.5    	-.-       	85.2      	72.8     	71.8     	74.4     	68.0     	72.6    	72.9    	-.-      	72.9    	72.9     	72.9    	-.-       	72.9    	-.-       	72.9    	-.-       	86.4      	72.9     	72.0     	74.5     	68.3     	72.7    	73.0    	-.-      	85.8      	---/---     	        	        
	2026-04-13  	14:04:56  	00:00:06  	68.6     	68.1     	70.6     	66.4     	68.5    	68.5    	-.-      	68.6    	68.6     	68.5    	-.-       	68.5    	-.-       	68.5    	-.-       	84.9      	73.0     	72.5     	74.4     	70.3     	73.1    	72.9    	-.-      	72.9    	72.9     	72.9    	-.-       	72.9    	-.-       	72.9    	-.-       	86.0      	73.3     	72.6     	74.5     	70.5     	73.4    	73.0    	-.-      	85.9      	---/---     	        	        
	2026-04-13  	14:04:57  	00:00:07  	68.8     	68.0     	70.6     	65.3     	68.1    	68.4    	-.-      	68.3    	68.6     	68.4    	-.-       	68.4    	-.-       	68.4    	-.-       	85.7      	73.2     	72.5     	74.5     	70.3     	72.6    	72.8    	-.-      	72.7    	72.9     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	85.9      	73.5     	72.7     	74.7     	70.4     	72.7    	73.0    	-.-      	85.7      	---/---     	        	        
	2026-04-13  	14:04:58  	00:00:08  	68.2     	66.7     	69.0     	59.9     	66.0    	68.2    	-.-      	67.7    	68.6     	68.2    	-.-       	68.2    	-.-       	68.2    	-.-       	85.2      	72.7     	72.1     	74.3     	68.5     	72.3    	72.8    	-.-      	72.6    	72.9     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	85.5      	73.0     	72.3     	74.5     	68.7     	72.6    	72.9    	-.-      	85.7      	---/---     	        	        
	2026-04-13  	14:04:59  	00:00:09  	68.5     	66.7     	70.4     	64.4     	69.0    	68.3    	-.-      	68.1    	68.6     	68.3    	-.-       	68.3    	-.-       	68.3    	-.-       	85.8      	73.2     	72.3     	74.6     	70.6     	73.3    	72.8    	-.-      	72.8    	72.9     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	86.3      	73.4     	72.6     	74.7     	70.7     	73.5    	73.0    	-.-      	86.2      	---/---     	        	        
