XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_014_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-13, 14:09:06
	End:            	2026-04-13, 14:12:15

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	14:09:07  	00:00:01  	         	40.2     	31.4     	35.0     	27.5     	32.8     	34.4     	40.4     	41.1     	34.9     	35.3     	40.2     	46.2     	35.5     	37.2     	43.9     	46.9     	50.0     	51.6     	48.9     	49.8     	43.3     	38.9     	36.3     	35.4     	37.2     	42.9     	40.9     	33.0     	32.6     	26.6     	28.3     	26.5     	25.0     	26.2     	27.0     	28.9     
	2026-04-13  	14:09:08  	00:00:02  	         	44.1     	33.4     	31.0     	33.5     	33.0     	35.2     	33.9     	37.5     	34.5     	33.7     	42.5     	42.9     	38.1     	46.2     	45.2     	47.7     	49.0     	53.5     	45.6     	44.2     	48.7     	38.1     	37.6     	35.8     	38.1     	46.4     	45.2     	40.1     	37.7     	31.5     	31.7     	28.5     	25.5     	26.3     	26.9     	29.0     
	2026-04-13  	14:09:09  	00:00:03  	         	41.0     	40.2     	30.3     	33.2     	32.9     	33.7     	33.0     	38.5     	34.9     	36.5     	41.0     	30.7     	38.8     	44.6     	34.7     	46.6     	49.6     	48.9     	49.6     	51.0     	49.3     	44.3     	42.6     	40.4     	40.8     	38.1     	36.9     	35.0     	31.4     	26.4     	29.4     	26.9     	25.2     	26.3     	27.0     	29.1     
	2026-04-13  	14:09:10  	00:00:04  	         	42.8     	48.3     	46.7     	47.0     	39.9     	35.4     	39.2     	43.1     	35.1     	36.6     	43.9     	45.4     	40.9     	45.7     	47.3     	45.6     	50.4     	46.6     	51.1     	47.5     	40.3     	37.6     	35.6     	34.0     	36.8     	38.6     	39.7     	39.4     	36.5     	36.2     	35.3     	32.9     	28.7     	26.5     	27.0     	29.0     
	2026-04-13  	14:09:11  	00:00:05  	         	34.8     	40.7     	37.0     	30.2     	37.4     	38.0     	36.4     	40.4     	31.2     	36.6     	43.0     	45.1     	42.7     	40.7     	45.9     	49.4     	49.8     	49.4     	45.5     	45.5     	47.1     	39.4     	40.1     	38.4     	42.5     	44.1     	40.6     	39.0     	37.0     	35.6     	35.9     	33.5     	28.9     	26.7     	27.1     	29.1     
	2026-04-13  	14:09:12  	00:00:06  	         	41.8     	38.8     	34.0     	35.8     	32.8     	38.4     	37.0     	45.8     	38.9     	41.1     	47.6     	40.3     	41.4     	45.6     	38.7     	48.2     	50.5     	50.4     	43.6     	42.8     	47.2     	41.8     	39.2     	39.5     	42.5     	42.5     	43.1     	38.6     	37.6     	35.7     	34.1     	32.6     	27.7     	26.8     	27.2     	29.0     
	2026-04-13  	14:09:13  	00:00:07  	         	40.5     	35.9     	36.1     	34.9     	34.7     	39.6     	40.3     	44.0     	32.4     	35.6     	40.8     	30.7     	39.8     	39.7     	36.4     	49.6     	50.6     	48.7     	50.3     	49.5     	44.6     	40.0     	39.7     	34.0     	37.5     	39.3     	40.5     	38.5     	37.0     	35.5     	35.3     	34.5     	29.4     	26.9     	27.5     	29.0     
	2026-04-13  	14:09:14  	00:00:08  	         	39.4     	35.0     	38.0     	40.8     	35.4     	39.8     	42.3     	45.2     	40.0     	39.8     	46.1     	45.7     	43.1     	43.6     	45.5     	47.3     	51.0     	45.1     	47.8     	47.7     	39.4     	36.6     	33.4     	36.2     	36.1     	38.1     	37.9     	34.8     	35.0     	33.3     	32.1     	31.1     	27.3     	26.8     	27.5     	29.0     
