XL2 Broadband Logging:		KU100\2026-04-13_SLM_015_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-13, 14:21:04
	End:            	2026-04-13, 14:24:12

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	14:21:05  	00:00:01  	82.8     	77.8     	87.0     	73.9     	83.6    	83.6    	-.-      	83.6    	-.-      	83.6    	-.-       	83.6    	-.-       	83.6    	-.-       	98.1      	87.4     	82.9     	90.5     	81.9     	88.3    	88.3    	-.-      	88.3    	-.-      	88.3    	-.-       	88.3    	-.-       	88.3    	-.-       	100.5     	87.5     	82.9     	90.5     	82.1     	88.3    	88.3    	-.-      	100.2     	---/---     	        	        
	2026-04-13  	14:21:06  	00:00:02  	84.2     	82.8     	86.1     	83.0     	84.8    	84.2    	-.-      	84.2    	-.-      	84.2    	-.-       	84.2    	-.-       	84.2    	-.-       	98.1      	88.4     	87.5     	90.6     	86.4     	88.8    	88.6    	-.-      	88.6    	-.-      	88.6    	-.-       	88.6    	-.-       	88.6    	-.-       	101.3     	88.5     	87.5     	90.6     	86.5     	88.9    	88.6    	-.-      	101.1     	---/---     	        	        
	2026-04-13  	14:21:07  	00:00:03  	84.9     	83.9     	86.3     	82.7     	85.0    	84.5    	-.-      	84.5    	-.-      	84.5    	-.-       	84.5    	-.-       	84.5    	-.-       	97.2      	88.8     	88.0     	90.0     	86.1     	88.8    	88.6    	-.-      	88.6    	-.-      	88.6    	-.-       	88.6    	-.-       	88.6    	-.-       	100.3     	88.9     	88.0     	90.0     	86.2     	88.8    	88.7    	-.-      	100.2     	---/---     	        	        
	2026-04-13  	14:21:08  	00:00:04  	85.2     	83.2     	87.1     	76.7     	82.8    	84.1    	-.-      	84.1    	-.-      	84.1    	-.-       	84.1    	-.-       	84.1    	-.-       	100.8     	89.3     	88.0     	91.3     	84.6     	87.9    	88.5    	-.-      	88.5    	-.-      	88.5    	-.-       	88.5    	-.-       	88.5    	-.-       	102.0     	89.3     	88.1     	91.3     	84.9     	88.0    	88.5    	-.-      	101.7     	---/---     	        	        
	2026-04-13  	14:21:09  	00:00:05  	83.8     	82.6     	85.6     	74.5     	83.8    	84.1    	-.-      	84.1    	84.1     	84.1    	-.-       	84.1    	-.-       	84.1    	-.-       	100.7     	88.1     	87.3     	89.8     	82.7     	87.9    	88.4    	-.-      	88.4    	88.4     	88.4    	-.-       	88.4    	-.-       	88.4    	-.-       	102.1     	88.2     	87.4     	89.9     	83.0     	88.0    	88.4    	-.-      	101.9     	---/---     	        	        
	2026-04-13  	14:21:10  	00:00:06  	84.1     	83.5     	85.9     	81.6     	83.8    	84.0    	-.-      	84.1    	84.1     	84.0    	-.-       	84.0    	-.-       	84.0    	-.-       	100.2     	88.3     	87.7     	89.7     	85.7     	88.1    	88.3    	-.-      	88.3    	88.4     	88.3    	-.-       	88.3    	-.-       	88.3    	-.-       	101.6     	88.4     	87.9     	89.8     	85.8     	88.3    	88.4    	-.-      	101.2     	---/---     	        	        
	2026-04-13  	14:21:11  	00:00:07  	84.3     	83.6     	86.3     	81.2     	83.9    	84.0    	-.-      	83.9    	84.1     	84.0    	-.-       	84.0    	-.-       	84.0    	-.-       	100.9     	88.6     	88.1     	90.2     	86.0     	88.4    	88.3    	-.-      	88.2    	88.4     	88.3    	-.-       	88.3    	-.-       	88.3    	-.-       	101.5     	88.7     	88.2     	90.3     	86.1     	88.5    	88.4    	-.-      	101.3     	---/---     	        	        
	2026-04-13  	14:21:12  	00:00:08  	83.8     	82.3     	84.9     	75.4     	81.6    	83.8    	-.-      	83.3    	84.1     	83.8    	-.-       	83.8    	-.-       	83.8    	-.-       	100.7     	88.3     	87.4     	89.7     	83.8     	87.4    	88.2    	-.-      	88.0    	88.4     	88.2    	-.-       	88.2    	-.-       	88.2    	-.-       	101.1     	88.4     	87.5     	89.8     	84.1     	87.6    	88.3    	-.-      	101.1     	---/---     	        	        
	2026-04-13  	14:21:13  	00:00:09  	84.1     	82.3     	85.9     	79.7     	84.5    	83.9    	-.-      	83.7    	84.1     	83.9    	-.-       	83.9    	-.-       	83.9    	-.-       	100.9     	88.7     	87.6     	90.0     	86.2     	88.8    	88.3    	-.-      	88.1    	88.4     	88.3    	-.-       	88.3    	-.-       	88.3    	-.-       	102.1     	88.7     	87.7     	90.1     	86.3     	88.9    	88.4    	-.-      	101.8     	---/---     	        	        
