XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_017_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-13, 14:30:58
	End:            	2026-04-13, 14:34:06

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	14:30:59  	00:00:01  	         	48.2     	41.9     	50.6     	51.1     	56.1     	63.4     	77.0     	78.5     	72.9     	72.0     	76.7     	82.6     	68.8     	69.9     	77.2     	78.7     	81.2     	83.4     	79.9     	80.4     	74.6     	69.3     	68.8     	66.2     	67.8     	73.5     	71.5     	63.3     	63.2     	55.6     	57.6     	54.0     	46.0     	42.2     	31.6     	29.5     
	2026-04-13  	14:31:00  	00:00:02  	         	38.0     	38.3     	43.0     	40.3     	41.5     	56.7     	56.8     	57.1     	61.3     	67.6     	79.9     	79.2     	72.9     	80.2     	78.3     	79.5     	80.6     	84.4     	76.6     	74.9     	79.2     	68.7     	66.4     	66.7     	68.9     	77.3     	75.9     	70.7     	68.2     	61.8     	61.4     	57.0     	49.0     	42.8     	34.1     	29.6     
	2026-04-13  	14:31:01  	00:00:03  	         	41.3     	40.2     	41.1     	36.5     	42.7     	56.3     	56.3     	55.5     	60.0     	72.2     	78.0     	66.4     	74.5     	78.6     	67.2     	78.6     	81.0     	80.1     	81.2     	82.0     	79.9     	74.9     	73.6     	71.4     	71.6     	68.0     	67.3     	65.3     	61.7     	55.7     	59.3     	54.6     	46.5     	43.6     	30.9     	29.2     
	2026-04-13  	14:31:02  	00:00:04  	         	40.7     	41.9     	44.1     	56.3     	54.0     	60.7     	74.3     	78.1     	68.8     	74.8     	80.7     	81.6     	75.6     	79.2     	80.4     	76.9     	81.8     	77.6     	81.8     	78.1     	70.7     	68.1     	66.6     	65.0     	67.7     	69.3     	70.2     	69.8     	66.7     	66.8     	65.5     	62.5     	56.7     	46.4     	40.7     	35.5     
	2026-04-13  	14:31:03  	00:00:05  	         	46.0     	42.6     	47.9     	51.2     	52.3     	63.8     	72.6     	72.4     	68.0     	73.5     	79.9     	81.3     	77.6     	74.7     	79.0     	81.3     	81.3     	80.8     	76.6     	76.4     	78.0     	70.2     	71.0     	69.5     	73.5     	75.0     	71.7     	69.7     	67.7     	66.3     	66.2     	63.5     	57.5     	47.8     	41.9     	35.9     
	2026-04-13  	14:31:04  	00:00:06  	         	40.4     	44.2     	52.5     	59.1     	54.5     	62.0     	67.6     	86.2     	77.0     	78.3     	84.5     	75.5     	76.0     	79.4     	71.5     	81.0     	82.2     	81.8     	75.3     	74.7     	78.0     	72.9     	72.0     	70.5     	73.3     	72.9     	73.4     	68.9     	67.7     	65.8     	64.0     	62.1     	54.9     	47.8     	43.4     	35.8     
	2026-04-13  	14:31:05  	00:00:07  	         	43.9     	43.8     	46.5     	50.1     	48.8     	56.0     	61.5     	81.6     	63.9     	71.1     	77.4     	65.7     	74.8     	74.4     	68.6     	81.0     	82.3     	80.1     	81.4     	80.4     	75.0     	69.8     	67.8     	64.3     	68.2     	69.9     	70.9     	68.9     	67.3     	66.0     	65.4     	64.5     	57.9     	48.8     	47.2     	39.6     
	2026-04-13  	14:31:06  	00:00:08  	         	42.9     	40.9     	47.2     	57.8     	55.9     	59.6     	73.3     	79.5     	73.9     	76.9     	83.4     	81.7     	77.8     	77.5     	78.2     	79.2     	82.6     	76.4     	79.0     	78.6     	69.8     	66.9     	64.1     	67.0     	66.8     	68.7     	68.5     	65.5     	65.6     	63.9     	62.0     	60.5     	54.3     	48.8     	47.8     	39.6     
