XL2 Broadband Logging:		KU100\2026-04-15_SLM_023_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 11:21:56
	End:            	2026-04-15, 11:25:01

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-15  	11:21:57  	00:00:01  	83.8     	78.7     	87.7     	75.6     	84.6    	84.6    	-.-      	84.6    	-.-      	84.6    	-.-       	84.6    	-.-       	84.6    	-.-       	99.2      	89.5     	84.3     	92.5     	85.6     	90.5    	90.5    	-.-      	90.5    	-.-      	90.5    	-.-       	90.5    	-.-       	90.5    	-.-       	102.1     	89.6     	84.5     	92.6     	86.1     	90.7    	90.7    	-.-      	101.7     	---/---     	        	        
	2026-04-15  	11:21:58  	00:00:02  	85.2     	83.8     	87.2     	84.2     	85.8    	85.3    	-.-      	85.3    	-.-      	85.3    	-.-       	85.3    	-.-       	85.3    	-.-       	98.9      	90.6     	89.5     	92.6     	88.1     	91.0    	90.8    	-.-      	90.8    	-.-      	90.8    	-.-       	90.8    	-.-       	90.8    	-.-       	102.8     	90.7     	89.6     	92.6     	88.2     	91.1    	90.9    	-.-      	102.4     	---/---     	        	        
	2026-04-15  	11:21:59  	00:00:03  	85.7     	84.9     	87.0     	83.6     	85.8    	85.4    	-.-      	85.4    	-.-      	85.4    	-.-       	85.4    	-.-       	85.4    	-.-       	97.6      	90.6     	90.0     	91.5     	87.9     	90.4    	90.6    	-.-      	90.6    	-.-      	90.6    	-.-       	90.6    	-.-       	90.6    	-.-       	101.4     	90.7     	90.1     	91.6     	88.0     	90.4    	90.8    	-.-      	101.2     	---/---     	        	        
	2026-04-15  	11:22:00  	00:00:04  	86.2     	84.3     	88.1     	78.4     	84.0    	85.1    	-.-      	85.1    	-.-      	85.1    	-.-       	85.1    	-.-       	85.1    	-.-       	101.3     	91.0     	90.2     	92.8     	88.3     	90.6    	90.6    	-.-      	90.6    	-.-      	90.6    	-.-       	90.6    	-.-       	90.6    	-.-       	102.5     	91.1     	90.3     	92.9     	88.4     	90.9    	90.8    	-.-      	102.5     	---/---     	        	        
	2026-04-15  	11:22:01  	00:00:05  	84.8     	83.6     	86.5     	76.0     	84.7    	85.0    	-.-      	85.0    	85.0     	85.0    	-.-       	85.0    	-.-       	85.0    	-.-       	101.3     	90.6     	89.7     	92.1     	85.7     	90.3    	90.6    	-.-      	90.6    	90.6     	90.6    	-.-       	90.6    	-.-       	90.6    	-.-       	102.8     	90.8     	90.0     	92.2     	86.0     	90.5    	90.7    	-.-      	102.4     	---/---     	        	        
	2026-04-15  	11:22:02  	00:00:06  	85.1     	84.5     	86.9     	82.8     	84.8    	85.0    	-.-      	85.1    	85.1     	85.0    	-.-       	85.0    	-.-       	85.0    	-.-       	100.7     	91.1     	90.2     	92.2     	87.9     	91.3    	90.7    	-.-      	90.7    	90.7     	90.7    	-.-       	90.7    	-.-       	90.7    	-.-       	103.2     	91.7     	90.4     	93.1     	88.0     	91.9    	91.0    	-.-      	102.7     	---/---     	        	        
	2026-04-15  	11:22:03  	00:00:07  	85.2     	84.6     	87.1     	82.3     	85.0    	85.0    	-.-      	84.9    	85.1     	85.0    	-.-       	85.0    	-.-       	85.0    	-.-       	101.7     	91.3     	90.5     	92.3     	88.0     	90.4    	90.7    	-.-      	90.6    	90.7     	90.7    	-.-       	90.7    	-.-       	90.7    	-.-       	102.9     	91.8     	90.8     	92.8     	88.1     	90.6    	90.9    	-.-      	102.7     	---/---     	        	        
	2026-04-15  	11:22:04  	00:00:08  	84.8     	83.4     	85.9     	77.1     	82.8    	84.8    	-.-      	84.3    	85.1     	84.8    	-.-       	84.8    	-.-       	84.8    	-.-       	101.6     	90.8     	90.0     	92.3     	86.3     	90.6    	90.6    	-.-      	90.7    	90.7     	90.6    	-.-       	90.6    	-.-       	90.6    	-.-       	103.1     	91.3     	90.3     	93.1     	86.4     	91.0    	90.9    	-.-      	103.0     	---/---     	        	        
	2026-04-15  	11:22:05  	00:00:09  	85.0     	83.4     	86.7     	80.9     	85.4    	84.8    	-.-      	84.6    	85.1     	84.8    	-.-       	84.8    	-.-       	84.8    	-.-       	101.5     	91.2     	90.6     	92.3     	87.9     	90.9    	90.7    	-.-      	90.7    	90.7     	90.7    	-.-       	90.7    	-.-       	90.7    	-.-       	102.9     	91.4     	90.9     	92.4     	88.1     	91.1    	90.9    	-.-      	103.0     	---/---     	        	        
