XL2 Broadband Logging:		KU100\2026-04-15_SLM_024_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 11:27:24
	End:            	2026-04-15, 11:30:30

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-15  	11:27:25  	00:00:01  	68.7     	64.1     	72.6     	60.0     	69.5    	69.5    	-.-      	69.5    	-.-      	69.5    	-.-       	69.5    	-.-       	69.5    	-.-       	83.8      	73.7     	69.2     	76.6     	68.0     	74.5    	74.5    	-.-      	74.5    	-.-      	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	86.4      	73.7     	69.3     	76.6     	68.2     	74.6    	74.6    	-.-      	86.2      	---/---     	        	        
	2026-04-15  	11:27:26  	00:00:02  	69.7     	68.7     	71.7     	68.6     	70.1    	69.8    	-.-      	69.8    	-.-      	69.8    	-.-       	69.8    	-.-       	69.8    	-.-       	83.3      	74.4     	73.6     	76.6     	72.2     	74.6    	74.6    	-.-      	74.6    	-.-      	74.6    	-.-       	74.6    	-.-       	74.6    	-.-       	86.9      	74.4     	73.6     	76.6     	72.2     	74.7    	74.6    	-.-      	86.8      	---/---     	        	        
	2026-04-15  	11:27:27  	00:00:03  	70.2     	69.4     	71.5     	68.0     	70.2    	69.9    	-.-      	69.9    	-.-      	69.9    	-.-       	69.9    	-.-       	69.9    	-.-       	82.3      	74.6     	73.9     	75.7     	71.9     	74.4    	74.5    	-.-      	74.5    	-.-      	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	85.8      	74.6     	73.9     	75.7     	71.9     	74.4    	74.5    	-.-      	85.9      	---/---     	        	        
	2026-04-15  	11:27:28  	00:00:04  	70.6     	68.5     	72.6     	61.6     	68.1    	69.5    	-.-      	69.5    	-.-      	69.5    	-.-       	69.5    	-.-       	69.5    	-.-       	85.6      	75.1     	73.7     	77.1     	69.9     	73.6    	74.3    	-.-      	74.3    	-.-      	74.3    	-.-       	74.3    	-.-       	74.3    	-.-       	87.6      	75.1     	73.8     	77.2     	70.2     	73.7    	74.4    	-.-      	87.2      	---/---     	        	        
	2026-04-15  	11:27:29  	00:00:05  	69.3     	68.0     	70.9     	60.2     	69.4    	69.5    	-.-      	69.5    	69.5     	69.5    	-.-       	69.5    	-.-       	69.5    	-.-       	85.5      	74.1     	73.1     	75.7     	68.8     	74.1    	74.3    	-.-      	74.3    	74.3     	74.3    	-.-       	74.3    	-.-       	74.3    	-.-       	87.7      	74.2     	73.2     	75.8     	69.0     	74.2    	74.3    	-.-      	87.3      	---/---     	        	        
	2026-04-15  	11:27:30  	00:00:06  	69.4     	68.8     	71.2     	67.0     	69.1    	69.4    	-.-      	69.4    	69.5     	69.4    	-.-       	69.4    	-.-       	69.4    	-.-       	83.7      	74.1     	73.6     	75.7     	71.7     	73.9    	74.2    	-.-      	74.1    	74.3     	74.2    	-.-       	74.2    	-.-       	74.2    	-.-       	86.7      	74.2     	73.8     	75.7     	71.8     	74.1    	74.3    	-.-      	86.8      	---/---     	        	        
	2026-04-15  	11:27:31  	00:00:07  	69.5     	68.9     	71.4     	66.7     	68.9    	69.4    	-.-      	69.2    	69.5     	69.4    	-.-       	69.4    	-.-       	69.4    	-.-       	86.0      	74.3     	73.8     	75.7     	71.7     	73.8    	74.1    	-.-      	74.0    	74.3     	74.1    	-.-       	74.1    	-.-       	74.1    	-.-       	87.0      	74.4     	73.9     	75.8     	71.8     	73.9    	74.2    	-.-      	87.0      	---/---     	        	        
	2026-04-15  	11:27:32  	00:00:08  	69.2     	67.7     	70.5     	61.1     	67.2    	69.1    	-.-      	68.6    	69.5     	69.1    	-.-       	69.1    	-.-       	69.1    	-.-       	85.9      	74.1     	73.2     	75.7     	69.8     	73.4    	74.1    	-.-      	73.8    	74.3     	74.1    	-.-       	74.1    	-.-       	74.1    	-.-       	86.9      	74.2     	73.4     	75.8     	69.9     	73.6    	74.1    	-.-      	87.1      	---/---     	        	        
	2026-04-15  	11:27:33  	00:00:09  	69.4     	67.7     	71.1     	65.2     	70.0    	69.3    	-.-      	69.0    	69.5     	69.3    	-.-       	69.3    	-.-       	69.3    	-.-       	85.9      	74.5     	73.5     	75.9     	71.9     	74.8    	74.2    	-.-      	74.0    	74.3     	74.2    	-.-       	74.2    	-.-       	74.2    	-.-       	87.5      	74.6     	73.6     	75.9     	72.0     	74.9    	74.2    	-.-      	87.0      	---/---     	        	        
