XL2 RTA Spectrum Logging:		KU100\2026-04-15_SLM_024_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 11:27:24
	End:            	2026-04-15, 11:30:30

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-15  	11:27:25  	00:00:01  	         	47.3     	39.7     	36.6     	34.1     	35.3     	37.9     	48.8     	51.6     	46.5     	47.5     	53.3     	60.2     	48.1     	51.4     	59.7     	63.4     	66.5     	69.3     	66.1     	66.5     	59.9     	54.1     	52.6     	50.1     	51.8     	57.7     	55.9     	47.9     	47.5     	39.1     	40.5     	36.3     	29.4     	28.8     	27.2     	29.1     
	2026-04-15  	11:27:26  	00:00:02  	         	44.9     	36.7     	32.8     	35.7     	34.3     	34.1     	31.4     	33.9     	36.1     	43.5     	56.7     	56.7     	52.7     	61.7     	60.7     	63.8     	66.0     	70.3     	62.7     	60.6     	64.6     	53.1     	50.8     	50.3     	52.6     	61.3     	60.1     	55.2     	52.5     	45.4     	44.3     	39.3     	31.8     	29.1     	27.5     	29.1     
	2026-04-15  	11:27:27  	00:00:03  	         	41.2     	35.0     	28.8     	37.1     	33.7     	34.0     	34.6     	32.1     	34.4     	47.8     	54.5     	44.1     	53.8     	59.6     	50.3     	63.1     	66.1     	65.7     	67.0     	67.7     	65.2     	59.4     	57.3     	55.0     	55.3     	52.0     	51.5     	49.7     	45.8     	39.3     	42.1     	37.2     	29.9     	29.7     	27.1     	29.1     
	2026-04-15  	11:27:28  	00:00:04  	         	41.2     	28.2     	32.0     	37.5     	34.0     	36.9     	47.8     	51.4     	43.2     	50.2     	57.5     	59.8     	55.2     	60.7     	63.1     	61.4     	67.0     	63.4     	67.7     	63.9     	55.9     	52.5     	50.3     	48.6     	51.3     	53.4     	54.5     	54.2     	50.9     	50.3     	48.4     	44.7     	38.5     	31.3     	29.2     	29.4     
	2026-04-15  	11:27:29  	00:00:05  	         	42.7     	36.1     	34.4     	36.2     	33.6     	39.7     	45.2     	45.8     	42.1     	49.1     	56.7     	58.9     	57.6     	56.0     	61.3     	65.8     	66.3     	66.5     	62.5     	62.0     	63.3     	54.7     	54.9     	53.2     	57.2     	59.2     	55.9     	54.2     	51.8     	49.9     	49.1     	45.4     	39.0     	32.3     	29.7     	29.4     
	2026-04-15  	11:27:30  	00:00:06  	         	45.3     	35.3     	30.6     	34.3     	33.9     	33.9     	41.2     	59.9     	51.6     	54.1     	61.5     	53.7     	55.9     	60.9     	54.3     	65.2     	67.4     	67.6     	61.1     	60.2     	63.3     	57.4     	55.8     	54.1     	56.9     	56.9     	57.7     	53.4     	51.9     	49.4     	46.9     	44.2     	36.7     	32.4     	30.6     	29.3     
	2026-04-15  	11:27:31  	00:00:07  	         	44.3     	43.2     	27.9     	28.7     	28.7     	33.1     	34.3     	55.1     	37.7     	47.3     	54.1     	43.6     	54.4     	55.4     	51.6     	65.3     	67.2     	65.5     	67.2     	66.1     	60.4     	54.4     	51.7     	48.1     	52.1     	54.0     	55.3     	53.5     	51.4     	49.6     	48.3     	46.4     	39.4     	33.0     	33.0     	29.8     
	2026-04-15  	11:27:32  	00:00:08  	         	39.6     	31.5     	34.3     	40.0     	33.7     	37.4     	47.9     	53.6     	48.7     	52.9     	60.4     	60.3     	58.1     	58.8     	61.2     	63.6     	67.8     	62.2     	64.9     	64.5     	55.1     	51.7     	48.1     	50.8     	50.7     	52.9     	52.8     	50.1     	49.7     	47.4     	45.0     	42.7     	36.1     	33.0     	33.4     	29.9     
