XL2 RTA Spectrum Logging:		KU100\2026-04-15_SLM_025_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-15, 11:31:16
	End:            	2026-04-15, 11:34:21

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-15  	11:31:17  	00:00:01  	         	46.4     	39.5     	38.5     	44.0     	46.9     	53.3     	67.4     	69.1     	62.0     	63.4     	69.5     	76.7     	63.5     	67.2     	75.7     	79.1     	81.8     	85.1     	81.5     	81.9     	77.3     	69.5     	69.3     	67.5     	67.1     	72.9     	71.0     	63.2     	63.2     	54.3     	55.9     	52.3     	44.0     	41.2     	30.9     	29.2     
	2026-04-15  	11:31:18  	00:00:02  	         	47.0     	38.8     	32.4     	34.4     	35.4     	48.2     	47.7     	48.6     	53.0     	60.4     	73.9     	72.7     	68.7     	77.5     	75.6     	78.9     	81.5     	85.6     	78.1     	75.4     	78.9     	67.9     	63.2     	62.0     	68.4     	76.6     	75.3     	70.4     	67.3     	60.5     	59.4     	54.5     	46.7     	41.2     	32.8     	29.3     
	2026-04-15  	11:31:19  	00:00:03  	         	36.3     	37.6     	35.5     	36.0     	33.6     	46.8     	46.5     	46.6     	52.4     	65.3     	71.3     	60.9     	70.4     	75.6     	65.8     	78.8     	81.6     	81.4     	82.8     	83.1     	80.3     	74.7     	72.7     	70.4     	70.3     	67.1     	66.6     	65.1     	61.5     	55.5     	58.5     	53.5     	44.8     	42.4     	30.3     	29.3     
	2026-04-15  	11:31:20  	00:00:04  	         	37.8     	39.7     	32.7     	46.9     	43.8     	52.2     	66.0     	70.1     	61.0     	67.9     	74.2     	76.8     	71.2     	76.3     	78.7     	76.3     	82.5     	78.6     	83.1     	79.1     	70.9     	67.9     	65.8     	64.0     	66.7     	68.4     	69.6     	69.2     	65.7     	65.2     	63.3     	60.2     	54.2     	44.8     	39.1     	33.2     
	2026-04-15  	11:31:21  	00:00:05  	         	42.2     	35.8     	39.4     	41.6     	43.7     	53.7     	62.1     	62.1     	59.6     	66.5     	73.7     	75.4     	73.7     	71.9     	77.0     	81.6     	83.2     	82.4     	78.3     	77.5     	78.9     	70.5     	70.5     	68.8     	72.7     	75.0     	72.2     	70.0     	67.7     	65.8     	64.6     	61.7     	55.4     	46.5     	40.5     	33.7     
	2026-04-15  	11:31:22  	00:00:06  	         	43.5     	33.5     	44.7     	49.4     	45.1     	52.8     	58.9     	78.3     	69.3     	71.3     	78.2     	69.1     	72.0     	76.5     	69.4     	80.6     	81.5     	83.0     	77.3     	78.7     	78.6     	72.9     	71.8     	69.5     	72.2     	71.1     	72.0     	67.7     	66.0     	63.3     	61.4     	59.0     	51.7     	46.3     	41.9     	33.7     
	2026-04-15  	11:31:23  	00:00:07  	         	44.8     	38.5     	39.4     	45.6     	38.8     	45.8     	51.6     	72.2     	54.8     	64.2     	71.5     	60.2     	70.8     	71.6     	66.6     	80.8     	82.8     	81.2     	82.6     	80.2     	74.9     	68.9     	66.0     	63.4     	67.4     	69.3     	70.4     	68.5     	66.5     	64.6     	63.5     	62.2     	55.4     	47.2     	45.5     	37.0     
	2026-04-15  	11:31:24  	00:00:08  	         	43.6     	35.4     	39.1     	48.0     	47.7     	53.4     	65.4     	71.6     	66.6     	70.5     	78.3     	76.9     	74.1     	74.6     	77.1     	79.5     	83.4     	78.2     	80.5     	80.0     	72.0     	67.7     	63.9     	66.3     	66.0     	69.4     	68.8     	65.5     	64.8     	62.6     	60.2     	58.5     	52.0     	47.3     	46.1     	37.0     
