XL2 Broadband Logging:		WFS\2026-04-02_SLM_004_123_Log.txt                                             
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-02, 16:01:50
	End:            	2026-04-02, 16:05:46

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-02  	16:01:51  	00:00:01  	52.0     	47.3     	54.5     	48.8     	53.2    	53.2    	-.-      	53.2    	-.-      	53.2    	-.-       	53.2    	-.-       	53.2    	-.-       	66.8      	72.5     	66.7     	75.1     	72.1     	73.8    	73.8    	-.-      	73.8    	-.-      	73.8    	-.-       	73.8    	-.-       	73.8    	-.-       	83.8      	73.7     	68.2     	76.4     	73.4     	75.1    	75.1    	-.-      	84.9      	---/---     	        	        
	2026-04-02  	16:01:52  	00:00:02  	53.0     	52.0     	54.3     	53.0     	53.5    	53.4    	-.-      	53.4    	-.-      	53.4    	-.-       	53.4    	-.-       	53.4    	-.-       	65.1      	73.8     	72.4     	76.0     	73.2     	74.3    	74.1    	-.-      	74.1    	-.-      	74.1    	-.-       	74.1    	-.-       	74.1    	-.-       	85.6      	75.0     	73.6     	77.3     	74.3     	75.6    	75.3    	-.-      	86.2      	---/---     	        	        
	2026-04-02  	16:01:53  	00:00:03  	60.0     	53.0     	64.9     	53.0     	61.8    	58.1    	-.-      	58.1    	-.-      	58.1    	-.-       	58.1    	-.-       	58.1    	-.-       	74.5      	73.8     	73.2     	74.8     	72.0     	73.0    	73.7    	-.-      	73.7    	-.-      	73.7    	-.-       	73.7    	-.-       	73.7    	-.-       	82.9      	75.1     	74.3     	76.0     	72.9     	74.1    	74.9    	-.-      	83.7      	---/---     	        	        
	2026-04-02  	16:01:54  	00:00:04  	61.7     	59.8     	64.5     	56.9     	62.0    	59.4    	-.-      	59.4    	-.-      	59.4    	-.-       	59.4    	-.-       	59.4    	-.-       	74.5      	73.9     	73.2     	75.1     	72.5     	74.0    	73.8    	-.-      	73.8    	-.-      	73.8    	-.-       	73.8    	-.-       	73.8    	-.-       	84.1      	75.0     	74.4     	76.4     	73.6     	75.1    	75.0    	-.-      	84.9      	---/---     	        	        
	2026-04-02  	16:01:55  	00:00:05  	65.5     	60.4     	69.5     	55.6     	66.3    	61.9    	-.-      	61.9    	61.9     	61.9    	-.-       	61.9    	-.-       	61.9    	-.-       	81.4      	73.9     	73.2     	75.1     	71.5     	73.7    	73.8    	-.-      	73.8    	73.8     	73.8    	-.-       	73.8    	-.-       	73.8    	-.-       	85.1      	75.0     	74.3     	76.3     	72.5     	74.8    	75.0    	-.-      	85.7      	---/---     	        	        
	2026-04-02  	16:01:56  	00:00:06  	65.4     	62.7     	65.4     	54.6     	60.2    	61.7    	-.-      	62.4    	62.4     	61.7    	-.-       	61.7    	-.-       	61.7    	-.-       	79.7      	76.3     	73.6     	81.4     	72.0     	76.4    	74.4    	-.-      	74.5    	74.5     	74.4    	-.-       	74.4    	-.-       	74.4    	-.-       	90.9      	77.4     	74.8     	82.2     	73.2     	77.5    	75.5    	-.-      	91.5      	---/---     	        	        
	2026-04-02  	16:01:57  	00:00:07  	62.7     	59.2     	57.1     	53.3     	53.6    	61.1    	-.-      	62.4    	62.4     	61.1    	-.-       	61.1    	-.-       	61.1    	-.-       	66.5      	76.0     	74.5     	76.7     	71.8     	73.1    	74.2    	-.-      	74.3    	74.5     	74.2    	-.-       	74.2    	-.-       	74.2    	-.-       	82.7      	77.0     	75.5     	77.6     	72.9     	74.3    	75.3    	-.-      	83.5      	---/---     	        	        
	2026-04-02  	16:01:58  	00:00:08  	59.2     	57.1     	58.7     	52.1     	55.2    	60.7    	-.-      	61.8    	62.4     	60.7    	-.-       	60.7    	-.-       	60.7    	-.-       	71.9      	74.5     	73.3     	74.0     	70.8     	72.5    	74.0    	-.-      	74.2    	74.5     	74.0    	-.-       	74.0    	-.-       	74.0    	-.-       	82.5      	75.6     	74.4     	75.2     	71.9     	73.6    	75.2    	-.-      	83.9      	---/---     	        	        
	2026-04-02  	16:01:59  	00:00:09  	57.3     	55.6     	57.2     	52.4     	54.6    	60.3    	-.-      	60.9    	62.4     	60.3    	-.-       	60.3    	-.-       	60.3    	-.-       	68.8      	73.3     	72.7     	75.0     	70.2     	72.7    	73.9    	-.-      	74.0    	74.5     	73.9    	-.-       	73.9    	-.-       	73.9    	-.-       	83.7      	74.4     	73.8     	76.0     	71.2     	73.8    	75.0    	-.-      	85.0      	---/---     	        	        
	2026-04-02  	16:02:00  	00:00:10  	58.6     	55.4     	61.5     	53.3     	59.2    	60.2    	-.-      	57.4    	62.4     	60.2    	-.-       	60.2    	-.-       	60.2    	-.-       	70.1      	81.3     	73.0     	84.6     	72.2     	82.6    	76.0    	-.-      	77.5    	77.5     	76.0    	-.-       	76.0    	-.-       	76.0    	-.-       	92.3      	82.2     	74.1     	85.4     	73.3     	83.6    	77.1    	-.-      	93.0      	---/---     	        	        
