XL2 RTA Spectrum Logging:		WFS\2026-04-02_SLM_004_RTA_3rd_Log.txt                                         
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-02, 16:01:50
	End:            	2026-04-02, 16:05:46

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-02  	16:01:51  	00:00:01  	         	28.8     	27.7     	27.3     	43.5     	38.9     	42.4     	53.5     	54.2     	70.3     	70.7     	66.5     	67.0     	50.4     	49.9     	45.4     	42.0     	47.3     	49.3     	44.4     	42.9     	41.8     	43.5     	42.2     	40.5     	41.8     	42.5     	34.2     	30.4     	29.2     	29.1     	28.2     	25.8     	24.2     	23.0     	22.8     	23.6     
	2026-04-02  	16:01:52  	00:00:02  	         	34.4     	29.5     	31.8     	40.5     	39.9     	43.2     	55.7     	54.6     	70.9     	72.0     	66.6     	65.9     	54.0     	50.8     	46.5     	41.2     	45.9     	48.3     	43.1     	45.3     	42.8     	45.5     	43.2     	41.5     	41.5     	42.7     	33.8     	30.5     	25.9     	22.9     	23.1     	23.1     	23.1     	22.2     	22.4     	23.5     
	2026-04-02  	16:01:53  	00:00:03  	         	34.5     	31.6     	30.3     	35.2     	38.6     	44.3     	55.9     	54.8     	67.7     	70.5     	66.5     	65.4     	52.4     	48.9     	45.0     	41.7     	47.8     	46.0     	50.7     	54.4     	41.8     	51.3     	51.5     	58.9     	47.3     	45.0     	37.3     	34.6     	35.0     	27.3     	23.9     	24.0     	23.5     	22.4     	22.5     	23.5     
	2026-04-02  	16:01:54  	00:00:04  	         	32.6     	26.8     	33.4     	36.9     	40.0     	42.9     	53.8     	53.9     	67.4     	71.2     	68.4     	66.1     	50.7     	49.2     	44.7     	41.2     	47.5     	47.1     	51.9     	55.2     	45.0     	50.0     	50.7     	59.0     	50.2     	45.9     	39.6     	36.5     	34.8     	27.6     	23.4     	23.3     	23.0     	22.1     	22.4     	23.4     
	2026-04-02  	16:01:55  	00:00:05  	         	31.3     	33.6     	34.0     	29.4     	35.9     	40.9     	52.4     	54.8     	64.0     	71.4     	67.0     	65.4     	52.8     	50.4     	45.4     	42.8     	47.3     	47.3     	50.4     	52.8     	43.5     	49.8     	49.5     	57.3     	47.1     	44.8     	40.6     	43.4     	52.5     	64.0     	51.0     	40.2     	34.7     	26.6     	24.7     	23.6     
	2026-04-02  	16:01:56  	00:00:06  	         	29.3     	33.2     	26.3     	30.8     	38.2     	41.2     	52.9     	54.5     	70.5     	71.9     	73.3     	69.4     	51.6     	50.5     	46.4     	47.5     	50.4     	47.4     	43.5     	45.9     	43.9     	46.1     	50.2     	45.1     	44.8     	43.1     	38.7     	38.0     	47.5     	56.6     	42.3     	32.7     	28.4     	23.6     	23.0     	23.7     
	2026-04-02  	16:01:57  	00:00:07  	         	22.4     	31.1     	30.9     	37.1     	39.0     	44.2     	53.0     	55.0     	65.5     	71.7     	68.2     	63.0     	50.7     	51.0     	46.4     	44.1     	47.0     	44.4     	47.8     	47.2     	42.0     	43.0     	43.4     	41.2     	42.1     	42.5     	39.8     	37.0     	31.1     	26.8     	24.0     	23.8     	23.2     	22.2     	22.5     	23.5     
	2026-04-02  	16:01:58  	00:00:08  	         	28.3     	25.7     	32.3     	38.6     	38.7     	42.6     	52.7     	54.4     	64.4     	71.5     	66.4     	62.4     	51.2     	51.3     	45.7     	42.8     	45.9     	43.4     	44.3     	47.5     	47.3     	44.9     	44.6     	49.6     	42.1     	41.6     	36.9     	33.1     	30.5     	25.6     	23.2     	23.1     	23.1     	22.0     	22.5     	23.4     
