XL2 Broadband Logging:		WFS\2026-04-07_SLM_001_123_Log.txt                                             
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-07, 17:08:42
	End:            	2026-04-07, 17:09:04

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-07  	17:08:43  	00:00:01  	57.7     	39.0     	65.4     	33.4     	57.9    	57.9    	-.-      	57.9    	-.-      	57.9    	-.-       	57.9    	-.-       	57.9    	-.-       	76.6      	79.2     	48.7     	87.1     	46.1     	79.4    	79.4    	-.-      	79.4    	-.-      	79.4    	-.-       	79.4    	-.-       	79.4    	-.-       	96.1      	79.9     	51.4     	87.8     	48.0     	80.1    	80.1    	-.-      	97.0      	---/---     	        	        
	2026-04-07  	17:08:44  	00:00:02  	64.4     	57.7     	67.7     	64.7     	66.2    	63.8    	-.-      	63.8    	-.-      	63.8    	-.-       	63.8    	-.-       	63.8    	-.-       	78.5      	84.9     	79.2     	88.3     	84.4     	86.4    	84.2    	-.-      	84.2    	-.-      	84.2    	-.-       	84.2    	-.-       	84.2    	-.-       	95.8      	85.7     	79.9     	89.0     	85.4     	87.3    	85.0    	-.-      	96.5      	---/---     	        	        
	2026-04-07  	17:08:45  	00:00:03  	65.2     	64.3     	67.1     	64.5     	65.5    	64.4    	-.-      	64.4    	-.-      	64.4    	-.-       	64.4    	-.-       	64.4    	-.-       	77.6      	85.7     	84.6     	87.8     	83.8     	85.8    	84.8    	-.-      	84.8    	-.-      	84.8    	-.-       	84.8    	-.-       	84.8    	-.-       	96.3      	86.6     	85.5     	88.8     	84.5     	86.6    	85.6    	-.-      	96.9      	---/---     	        	        
	2026-04-07  	17:08:46  	00:00:04  	65.2     	64.8     	66.0     	63.9     	65.1    	64.6    	-.-      	64.6    	-.-      	64.6    	-.-       	64.6    	-.-       	64.6    	-.-       	76.0      	85.1     	84.5     	86.0     	82.6     	84.3    	84.7    	-.-      	84.7    	-.-      	84.7    	-.-       	84.7    	-.-       	84.7    	-.-       	93.3      	85.9     	85.3     	86.7     	83.4     	85.1    	85.5    	-.-      	93.3      	---/---     	        	        
	2026-04-07  	17:08:47  	00:00:05  	66.0     	64.9     	68.1     	64.5     	66.3    	65.0    	-.-      	65.0    	65.0     	65.0    	-.-       	65.0    	-.-       	65.0    	-.-       	79.3      	85.7     	84.3     	87.8     	83.3     	85.7    	84.9    	-.-      	84.9    	84.9     	84.9    	-.-       	84.9    	-.-       	84.9    	-.-       	97.1      	86.4     	85.0     	88.6     	84.0     	86.5    	85.7    	-.-      	97.2      	---/---     	        	        
	2026-04-07  	17:08:48  	00:00:06  	66.4     	65.8     	67.3     	65.2     	66.4    	65.3    	-.-      	65.9    	65.9     	65.3    	-.-       	65.3    	-.-       	65.3    	-.-       	78.4      	86.5     	85.6     	89.0     	84.7     	86.5    	85.2    	-.-      	85.8    	85.8     	85.2    	-.-       	85.2    	-.-       	85.2    	-.-       	96.4      	87.2     	86.3     	89.9     	85.5     	87.2    	86.0    	-.-      	97.4      	---/---     	        	        
	2026-04-07  	17:08:49  	00:00:07  	66.3     	65.7     	66.9     	64.1     	65.7    	65.3    	-.-      	65.8    	65.9     	65.3    	-.-       	65.3    	-.-       	65.3    	-.-       	78.6      	86.4     	85.2     	86.9     	83.3     	84.4    	85.1    	-.-      	85.5    	85.8     	85.1    	-.-       	85.1    	-.-       	85.1    	-.-       	94.0      	87.1     	85.8     	87.6     	84.0     	85.1    	85.9    	-.-      	95.2      	---/---     	        	        
	2026-04-07  	17:08:50  	00:00:08  	66.4     	65.9     	67.8     	65.1     	66.3    	65.5    	-.-      	66.0    	66.0     	65.5    	-.-       	65.5    	-.-       	65.5    	-.-       	77.6      	86.4     	84.9     	89.0     	83.1     	86.4    	85.3    	-.-      	85.6    	85.8     	85.3    	-.-       	85.3    	-.-       	85.3    	-.-       	97.2      	87.1     	85.5     	89.7     	83.7     	87.1    	86.0    	-.-      	97.8      	---/---     	        	        
	2026-04-07  	17:08:51  	00:00:09  	66.1     	65.6     	66.8     	64.3     	65.6    	65.5    	-.-      	66.1    	66.1     	65.5    	-.-       	65.5    	-.-       	65.5    	-.-       	76.3      	86.6     	85.3     	88.6     	83.2     	86.3    	85.4    	-.-      	86.0    	86.0     	85.4    	-.-       	85.4    	-.-       	85.4    	-.-       	97.3      	87.3     	85.9     	89.3     	83.9     	87.0    	86.2    	-.-      	98.4      	---/---     	        	        
