XL2 RTA Spectrum Logging:		WFS\2026-04-07_SLM_001_RTA_3rd_Log.txt                                         
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Type:       	NTi Audio M4261, SNo. 3302, User calibrated 2026-01-20  18:08
	Mic Sensitivity:	16.9 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-07, 17:08:42
	End:            	2026-04-07, 17:09:04

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-07  	17:08:43  	00:00:01  	         	30.4     	35.1     	32.8     	43.4     	34.7     	33.8     	41.8     	38.9     	51.5     	60.6     	70.1     	67.3     	53.4     	57.1     	55.4     	56.9     	57.6     	46.0     	44.4     	41.1     	39.7     	39.6     	35.9     	34.7     	34.0     	33.5     	26.9     	26.9     	24.5     	22.9     	21.8     	22.3     	21.8     	21.9     	22.6     	23.5     
	2026-04-07  	17:08:44  	00:00:02  	         	29.9     	32.0     	29.4     	33.9     	34.8     	48.4     	59.6     	54.4     	79.2     	76.5     	84.7     	81.8     	66.3     	69.5     	67.4     	68.8     	67.1     	61.0     	55.1     	53.2     	56.8     	52.3     	48.8     	47.4     	44.7     	45.2     	35.9     	31.1     	28.9     	26.8     	29.0     	28.3     	25.9     	27.5     	26.1     	23.7     
	2026-04-07  	17:08:45  	00:00:03  	         	27.9     	27.2     	32.0     	34.3     	37.1     	49.5     	58.7     	53.6     	77.7     	76.1     	83.7     	80.6     	67.1     	69.6     	67.3     	66.3     	66.8     	61.7     	55.9     	51.6     	53.3     	49.1     	45.9     	44.8     	43.7     	46.2     	37.7     	30.2     	26.6     	24.3     	23.2     	23.4     	22.6     	21.8     	22.4     	23.3     
	2026-04-07  	17:08:46  	00:00:04  	         	28.7     	29.8     	26.0     	35.1     	33.4     	50.0     	58.9     	55.2     	75.0     	71.7     	82.8     	77.0     	67.2     	71.4     	68.2     	67.3     	66.5     	59.5     	55.2     	49.9     	50.8     	47.2     	45.5     	44.4     	43.8     	45.6     	38.9     	31.9     	33.6     	36.4     	38.5     	37.5     	30.6     	28.9     	26.8     	23.6     
	2026-04-07  	17:08:47  	00:00:05  	         	30.8     	33.5     	30.5     	29.9     	33.7     	56.2     	66.9     	58.5     	71.9     	75.2     	83.6     	80.2     	68.9     	70.4     	67.8     	66.0     	67.1     	61.0     	54.7     	54.1     	57.8     	54.7     	50.7     	48.7     	48.8     	45.2     	37.9     	32.0     	30.3     	28.7     	32.4     	31.3     	26.6     	27.5     	26.0     	23.7     
	2026-04-07  	17:08:48  	00:00:06  	         	29.5     	31.9     	28.7     	37.1     	35.8     	48.9     	62.1     	48.9     	73.9     	75.4     	84.9     	82.6     	68.5     	71.2     	65.6     	67.0     	66.7     	61.0     	56.6     	49.7     	51.8     	50.2     	55.8     	49.4     	46.3     	45.4     	36.3     	32.5     	27.2     	23.9     	22.7     	23.0     	22.7     	21.9     	22.4     	23.5     
	2026-04-07  	17:08:49  	00:00:07  	         	30.2     	27.5     	29.6     	40.9     	35.8     	40.4     	51.3     	41.8     	64.5     	67.1     	83.5     	79.4     	68.3     	69.3     	66.9     	67.7     	66.1     	59.2     	56.1     	51.3     	55.1     	51.1     	53.7     	49.9     	49.2     	46.5     	38.0     	31.1     	27.5     	24.3     	22.6     	23.1     	22.6     	21.9     	22.4     	23.4     
	2026-04-07  	17:08:50  	00:00:08  	         	32.9     	32.2     	34.0     	36.0     	30.0     	41.3     	55.2     	47.7     	70.7     	69.2     	84.3     	82.6     	68.9     	70.4     	67.4     	68.3     	66.5     	58.7     	55.1     	50.7     	54.9     	51.6     	51.1     	50.9     	45.8     	44.9     	34.7     	29.3     	25.9     	23.2     	22.5     	23.0     	22.5     	21.7     	22.3     	23.4     
