XL2 Broadband Logging:		KU1000WFS\2026-04-14_SLM_001_123_Log.txt                                       
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 16:05:30
	End:            	2026-04-14, 16:08:44

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	16:05:31  	00:00:01  	58.1     	53.8     	63.7     	53.7     	58.5    	58.5    	-.-      	58.5    	-.-      	58.5    	-.-       	58.5    	-.-       	58.5    	-.-       	76.0      	77.2     	76.5     	79.5     	75.8     	77.5    	77.5    	-.-      	77.5    	-.-      	77.5    	-.-       	77.5    	-.-       	77.5    	-.-       	88.8      	78.4     	77.6     	80.7     	77.0     	78.6    	78.6    	-.-      	89.6      	---/---     	        	        
	2026-04-14  	16:05:32  	00:00:02  	62.1     	58.2     	65.5     	56.4     	63.0    	61.3    	-.-      	61.3    	-.-      	61.3    	-.-       	61.3    	-.-       	61.3    	-.-       	75.8      	77.3     	76.7     	78.8     	75.1     	77.3    	77.4    	-.-      	77.4    	-.-      	77.4    	-.-       	77.4    	-.-       	77.4    	-.-       	87.2      	78.3     	77.8     	79.7     	76.1     	78.2    	78.4    	-.-      	88.1      	---/---     	        	        
	2026-04-14  	16:05:33  	00:00:03  	62.6     	60.6     	65.5     	56.9     	61.5    	61.4    	-.-      	61.4    	-.-      	61.4    	-.-       	61.4    	-.-       	61.4    	-.-       	76.2      	77.7     	77.2     	79.1     	75.8     	77.3    	77.4    	-.-      	77.4    	-.-      	77.4    	-.-       	77.4    	-.-       	77.4    	-.-       	87.7      	78.7     	78.1     	80.0     	76.7     	78.3    	78.4    	-.-      	89.2      	---/---     	        	        
	2026-04-14  	16:05:34  	00:00:04  	63.1     	61.2     	66.0     	56.0     	62.0    	61.5    	-.-      	61.5    	-.-      	61.5    	-.-       	61.5    	-.-       	61.5    	-.-       	76.8      	77.3     	76.9     	78.3     	74.9     	77.3    	77.3    	-.-      	77.3    	-.-      	77.3    	-.-       	77.3    	-.-       	77.3    	-.-       	87.7      	78.4     	77.9     	79.4     	75.9     	78.3    	78.3    	-.-      	88.4      	---/---     	        	        
	2026-04-14  	16:05:35  	00:00:05  	62.9     	59.8     	67.8     	53.2     	62.0    	61.6    	-.-      	61.6    	61.6     	61.6    	-.-       	61.6    	-.-       	61.6    	-.-       	78.5      	85.1     	76.9     	91.8     	75.4     	85.8    	80.8    	-.-      	80.8    	80.8     	80.8    	-.-       	80.8    	-.-       	80.8    	-.-       	101.4     	85.9     	78.0     	92.6     	76.5     	86.7    	81.7    	-.-      	102.6     	---/---     	        	        
	2026-04-14  	16:05:36  	00:00:06  	61.8     	58.6     	57.8     	53.4     	54.0    	61.0    	-.-      	61.4    	61.6     	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	65.1      	84.2     	81.1     	81.5     	75.6     	77.0    	80.3    	-.-      	80.7    	80.8     	80.3    	-.-       	80.3    	-.-       	80.3    	-.-       	86.8      	85.1     	82.0     	82.3     	76.6     	78.0    	81.2    	-.-      	87.4      	---/---     	        	        
	2026-04-14  	16:05:37  	00:00:07  	58.6     	56.3     	55.0     	53.0     	53.9    	60.5    	-.-      	60.1    	61.6     	60.5    	-.-       	60.5    	-.-       	60.5    	-.-       	65.7      	81.1     	78.7     	77.5     	74.2     	76.3    	79.9    	-.-      	80.6    	80.8     	79.9    	-.-       	79.9    	-.-       	79.9    	-.-       	86.7      	82.0     	79.6     	78.5     	75.3     	77.2    	80.9    	-.-      	87.3      	---/---     	        	        
	2026-04-14  	16:05:38  	00:00:08  	56.3     	55.2     	56.5     	52.9     	54.8    	60.0    	-.-      	59.0    	61.6     	60.0    	-.-       	60.0    	-.-       	60.0    	-.-       	66.2      	79.0     	77.8     	81.9     	74.7     	78.6    	79.8    	-.-      	80.8    	80.8     	79.8    	-.-       	79.8    	-.-       	79.8    	-.-       	88.4      	80.1     	78.8     	83.5     	75.6     	79.7    	80.7    	-.-      	91.0      	---/---     	        	        
	2026-04-14  	16:05:39  	00:00:09  	63.4     	55.5     	67.0     	56.4     	65.1    	61.0    	-.-      	60.5    	61.6     	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	74.8      	86.4     	79.1     	89.8     	81.9     	88.2    	82.0    	-.-      	83.8    	83.8     	82.0    	-.-       	82.0    	-.-       	82.0    	-.-       	98.2      	87.2     	80.1     	90.5     	83.3     	88.9    	82.8    	-.-      	98.8      	---/---     	        	        
	2026-04-14  	16:05:40  	00:00:10  	67.0     	63.4     	69.8     	64.8     	68.1    	62.5    	-.-      	63.2    	63.2     	62.5    	-.-       	62.5    	-.-       	62.5    	-.-       	78.3      	91.3     	86.4     	95.1     	87.6     	92.2    	84.9    	-.-      	86.9    	86.9     	84.9    	-.-       	84.9    	-.-       	84.9    	-.-       	103.1     	92.4     	87.2     	96.6     	88.3     	93.2    	85.8    	-.-      	104.1     	---/---     	        	        
	2026-04-14  	16:05:41  	00:00:11  	67.1     	66.0     	68.2     	62.5     	65.8    	62.9    	-.-      	64.5    	64.5     	62.9    	-.-       	62.9    	-.-       	62.9    	-.-       	77.5      	92.3     	90.4     	95.4     	85.0     	90.8    	85.9    	-.-      	88.6    	88.6     	85.9    	-.-       	85.9    	-.-       	85.9    	-.-       	102.0     	93.5     	91.7     	96.9     	86.1     	92.1    	87.0    	-.-      	102.9     	---/---     	        	        
	2026-04-14  	16:05:42  	00:00:12  	66.2     	65.0     	67.0     	61.9     	65.2    	63.2    	-.-      	65.3    	65.3     	63.2    	-.-       	63.2    	-.-       	63.2    	-.-       	77.7      	90.8     	89.1     	92.0     	83.9     	88.1    	86.1    	-.-      	89.2    	89.2     	86.1    	-.-       	86.1    	-.-       	86.1    	-.-       	100.5     	92.0     	90.1     	93.1     	84.9     	89.0    	87.2    	-.-      	101.4     	---/---     	        	        
	2026-04-14  	16:05:43  	00:00:13  	66.8     	65.4     	68.9     	63.1     	67.0    	63.6    	-.-      	66.4    	66.4     	63.6    	-.-       	63.6    	-.-       	63.6    	-.-       	78.7      	89.4     	87.5     	92.3     	83.1     	88.8    	86.4    	-.-      	89.9    	89.9     	86.4    	-.-       	86.4    	-.-       	86.4    	-.-       	100.3     	90.2     	88.4     	93.1     	83.8     	89.6    	87.4    	-.-      	100.9     	---/---     	        	        
