XL2 RTA Spectrum Logging:		KU1000WFS\2026-04-14_SLM_006_RTA_3rd_Log.txt                                   
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 16:35:08
	End:            	2026-04-14, 16:38:19

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-14  	16:35:09  	00:00:01  	         	31.0     	30.0     	27.9     	42.4     	45.6     	46.1     	56.1     	57.8     	71.4     	73.9     	71.4     	70.3     	57.6     	56.9     	55.5     	47.3     	53.8     	52.8     	56.0     	60.8     	45.7     	53.2     	49.0     	56.9     	45.0     	39.3     	29.4     	25.8     	29.1     	23.1     	22.5     	23.5     	24.5     	26.1     	27.0     	29.0     
	2026-04-14  	16:35:10  	00:00:02  	         	31.3     	29.6     	30.4     	44.4     	42.9     	45.7     	60.3     	58.4     	67.3     	73.0     	71.4     	72.7     	55.8     	55.9     	55.3     	44.9     	53.5     	51.9     	57.6     	63.3     	46.6     	54.2     	50.9     	59.5     	47.4     	41.5     	31.8     	27.3     	30.7     	23.7     	22.4     	23.4     	24.4     	26.1     	26.9     	29.1     
	2026-04-14  	16:35:11  	00:00:03  	         	28.2     	27.5     	26.9     	44.4     	44.0     	44.6     	58.0     	58.2     	68.8     	73.5     	72.1     	70.5     	56.2     	57.3     	55.2     	45.2     	54.3     	52.8     	57.0     	62.5     	47.6     	53.4     	50.6     	58.5     	47.1     	40.9     	31.4     	28.3     	30.5     	28.6     	22.8     	23.4     	24.3     	26.1     	27.1     	29.0     
	2026-04-14  	16:35:12  	00:00:04  	         	33.1     	30.6     	28.8     	41.6     	44.0     	45.6     	58.8     	58.5     	69.4     	74.0     	71.9     	69.8     	56.2     	57.1     	54.9     	48.1     	54.7     	53.1     	56.8     	62.3     	47.9     	54.1     	50.3     	58.5     	46.8     	41.6     	35.6     	38.4     	50.1     	55.6     	41.0     	26.5     	27.4     	26.2     	27.1     	29.1     
	2026-04-14  	16:35:13  	00:00:05  	         	27.1     	31.4     	30.3     	37.7     	44.5     	45.9     	55.8     	62.4     	75.2     	78.5     	82.7     	80.6     	59.2     	57.2     	56.4     	51.7     	55.7     	55.1     	50.6     	46.8     	47.0     	47.0     	50.9     	44.6     	40.8     	34.6     	29.2     	24.4     	26.0     	28.7     	22.5     	23.7     	24.5     	26.3     	27.1     	29.0     
	2026-04-14  	16:35:14  	00:00:06  	         	29.7     	24.5     	27.8     	44.2     	43.8     	46.2     	54.4     	57.4     	67.1     	73.5     	72.7     	68.5     	56.7     	57.8     	55.7     	46.3     	53.8     	48.4     	45.6     	45.5     	44.4     	44.3     	43.0     	38.9     	32.9     	29.9     	23.7     	21.2     	20.9     	21.3     	22.3     	23.5     	24.5     	26.0     	27.0     	29.0     
	2026-04-14  	16:35:15  	00:00:07  	         	28.2     	31.2     	30.7     	45.0     	43.3     	43.8     	53.7     	56.9     	63.0     	73.7     	70.9     	70.4     	55.2     	57.7     	54.8     	47.0     	53.7     	48.1     	46.5     	47.5     	46.0     	43.7     	41.3     	39.4     	33.5     	30.3     	25.4     	22.5     	21.1     	21.5     	22.1     	23.4     	24.5     	26.1     	26.9     	29.2     
	2026-04-14  	16:35:16  	00:00:08  	         	30.7     	32.5     	26.7     	42.8     	44.0     	54.2     	54.3     	55.2     	73.4     	72.8     	73.7     	72.0     	61.5     	58.4     	56.2     	53.3     	52.6     	49.3     	45.5     	45.1     	42.2     	38.9     	37.8     	32.5     	30.7     	29.8     	22.5     	21.3     	21.0     	21.7     	22.3     	23.4     	24.3     	26.0     	27.1     	29.1     
