XL2 Broadband Logging:		KU1000WFS\2026-04-14_SLM_007_123_Log.txt                                       
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 16:39:04
	End:            	2026-04-14, 16:42:14

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	16:39:05  	00:00:01  	50.1     	45.3     	55.1     	45.2     	50.6    	50.6    	-.-      	50.6    	-.-      	50.6    	-.-       	50.6    	-.-       	50.6    	-.-       	64.8      	72.9     	72.4     	75.3     	70.9     	72.7    	72.7    	-.-      	72.7    	-.-      	72.7    	-.-       	72.7    	-.-       	72.7    	-.-       	82.2      	74.7     	74.2     	76.9     	72.5     	74.3    	74.3    	-.-      	84.0      	---/---     	        	        
	2026-04-14  	16:39:06  	00:00:02  	52.3     	49.7     	55.6     	46.9     	52.4    	51.6    	-.-      	51.6    	-.-      	51.6    	-.-       	51.6    	-.-       	51.6    	-.-       	65.4      	72.5     	71.9     	72.7     	70.1     	71.7    	72.2    	-.-      	72.2    	-.-      	72.2    	-.-       	72.2    	-.-       	72.2    	-.-       	81.0      	74.3     	73.6     	74.4     	72.0     	73.3    	73.9    	-.-      	82.8      	---/---     	        	        
	2026-04-14  	16:39:07  	00:00:03  	53.0     	50.9     	56.1     	46.7     	51.9    	51.7    	-.-      	51.7    	-.-      	51.7    	-.-       	51.7    	-.-       	51.7    	-.-       	66.1      	72.5     	71.3     	73.9     	68.4     	71.3    	72.0    	-.-      	72.0    	-.-      	72.0    	-.-       	72.0    	-.-       	72.0    	-.-       	81.5      	74.3     	73.1     	76.0     	69.9     	73.2    	73.7    	-.-      	83.1      	---/---     	        	        
	2026-04-14  	16:39:08  	00:00:04  	58.3     	51.7     	62.0     	46.8     	60.0    	55.5    	-.-      	55.5    	-.-      	55.5    	-.-       	55.5    	-.-       	55.5    	-.-       	73.9      	71.4     	71.0     	72.3     	68.6     	71.2    	71.8    	-.-      	71.8    	-.-      	71.8    	-.-       	71.8    	-.-       	71.8    	-.-       	80.8      	73.1     	72.7     	73.8     	70.1     	72.7    	73.4    	-.-      	82.3      	---/---     	        	        
	2026-04-14  	16:39:09  	00:00:05  	57.7     	54.5     	56.6     	44.8     	50.4    	54.9    	-.-      	54.9    	54.9     	54.9    	-.-       	54.9    	-.-       	54.9    	-.-       	69.3      	75.4     	70.7     	81.4     	67.8     	75.6    	72.8    	-.-      	72.8    	72.8     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	92.4      	76.7     	72.3     	82.7     	69.2     	76.8    	74.4    	-.-      	93.4      	---/---     	        	        
	2026-04-14  	16:39:10  	00:00:06  	54.5     	50.6     	45.0     	42.1     	42.7    	54.2    	-.-      	54.6    	54.9     	54.2    	-.-       	54.2    	-.-       	54.2    	-.-       	55.9      	74.1     	71.1     	69.9     	64.8     	67.4    	72.3    	-.-      	72.2    	72.8     	72.3    	-.-       	72.3    	-.-       	72.3    	-.-       	75.7      	75.4     	72.4     	71.1     	66.3     	68.8    	73.8    	-.-      	77.7      	---/---     	        	        
	2026-04-14  	16:39:11  	00:00:07  	50.6     	47.3     	43.6     	41.6     	42.6    	53.5    	-.-      	54.1    	54.9     	53.5    	-.-       	53.5    	-.-       	53.5    	-.-       	55.8      	71.1     	68.7     	67.8     	64.0     	66.4    	71.8    	-.-      	71.6    	72.8     	71.8    	-.-       	71.8    	-.-       	71.8    	-.-       	75.8      	72.4     	70.1     	69.2     	65.5     	67.9    	73.3    	-.-      	77.9      	---/---     	        	        
	2026-04-14  	16:39:12  	00:00:08  	47.3     	45.3     	47.3     	41.2     	44.0    	53.0    	-.-      	53.7    	54.9     	53.0    	-.-       	53.0    	-.-       	53.0    	-.-       	57.1      	71.5     	67.8     	76.1     	65.0     	71.4    	71.8    	-.-      	71.6    	72.8     	71.8    	-.-       	71.8    	-.-       	71.8    	-.-       	81.7      	73.2     	69.2     	77.9     	66.5     	73.2    	73.3    	-.-      	83.6      	---/---     	        	        
	2026-04-14  	16:39:13  	00:00:09  	50.5     	45.8     	53.1     	47.0     	51.9    	52.9    	-.-      	48.2    	54.9     	52.9    	-.-       	52.9    	-.-       	52.9    	-.-       	63.7      	74.8     	71.5     	78.2     	73.5     	76.3    	72.6    	-.-      	73.1    	73.1     	72.6    	-.-       	72.6    	-.-       	72.6    	-.-       	86.6      	76.4     	73.3     	79.9     	74.7     	77.7    	74.1    	-.-      	88.3      	---/---     	        	        
