XL2 Broadband Logging:		KU100\2026-04-13_SLM_000_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 10:42:06
	End:            	2026-04-13, 10:45:14

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	10:42:07  	00:00:01  	61.1     	59.8     	62.6     	60.9     	61.8    	61.8    	-.-      	61.8    	-.-      	61.8    	-.-       	61.8    	-.-       	61.8    	-.-       	75.5      	76.5     	75.3     	78.6     	76.0     	77.0    	77.0    	-.-      	77.0    	-.-      	77.0    	-.-       	77.0    	-.-       	77.0    	-.-       	88.2      	77.6     	76.4     	79.7     	77.1     	78.1    	78.1    	-.-      	89.1      	---/---     	        	        
	2026-04-13  	10:42:08  	00:00:02  	74.0     	61.1     	78.2     	61.3     	75.8    	73.0    	-.-      	73.0    	-.-      	73.0    	-.-       	73.0    	-.-       	73.0    	-.-       	88.8      	78.5     	76.2     	81.1     	75.2     	79.2    	78.3    	-.-      	78.3    	-.-      	78.3    	-.-       	78.3    	-.-       	78.3    	-.-       	92.4      	79.2     	77.3     	81.5     	76.3     	79.7    	79.0    	-.-      	91.6      	---/---     	        	        
	2026-04-13  	10:42:09  	00:00:03  	75.1     	72.6     	78.4     	66.1     	74.6    	73.6    	-.-      	73.6    	-.-      	73.6    	-.-       	73.6    	-.-       	73.6    	-.-       	89.1      	79.1     	78.2     	81.1     	76.7     	78.9    	78.5    	-.-      	78.5    	-.-      	78.5    	-.-       	78.5    	-.-       	78.5    	-.-       	91.5      	79.7     	78.9     	81.5     	77.7     	79.5    	79.2    	-.-      	92.4      	---/---     	        	        
	2026-04-13  	10:42:10  	00:00:04  	76.6     	73.5     	80.2     	66.7     	76.4    	74.5    	-.-      	74.5    	-.-      	74.5    	-.-       	74.5    	-.-       	74.5    	-.-       	92.8      	79.5     	78.1     	81.6     	75.1     	79.1    	78.7    	-.-      	78.7    	-.-      	78.7    	-.-       	78.7    	-.-       	78.7    	-.-       	93.7      	80.1     	78.8     	82.2     	76.0     	79.9    	79.4    	-.-      	94.6      	---/---     	        	        
	2026-04-13  	10:42:11  	00:00:05  	75.8     	72.7     	72.7     	62.3     	69.1    	73.8    	-.-      	73.8    	73.8     	73.8    	-.-       	73.8    	-.-       	73.8    	-.-       	91.9      	84.4     	77.9     	90.6     	75.2     	84.8    	80.8    	-.-      	80.8    	80.8     	80.8    	-.-       	80.8    	-.-       	80.8    	-.-       	100.8     	85.2     	78.8     	91.5     	76.2     	85.7    	81.6    	-.-      	102.0     	---/---     	        	        
	2026-04-13  	10:42:12  	00:00:06  	72.7     	68.8     	66.4     	59.6     	60.0    	73.1    	-.-      	73.8    	73.8     	73.1    	-.-       	73.1    	-.-       	73.1    	-.-       	72.8      	84.0     	80.8     	84.9     	75.2     	76.7    	80.3    	-.-      	80.8    	80.8     	80.3    	-.-       	80.3    	-.-       	80.3    	-.-       	86.7      	84.9     	81.7     	85.8     	76.2     	77.7    	81.1    	-.-      	87.9      	---/---     	        	        
	2026-04-13  	10:42:13  	00:00:07  	68.8     	65.6     	62.8     	60.4     	61.3    	72.5    	-.-      	72.2    	73.8     	72.5    	-.-       	72.5    	-.-       	72.5    	-.-       	73.2      	80.8     	78.4     	77.0     	73.8     	75.8    	79.9    	-.-      	80.4    	80.8     	79.9    	-.-       	79.9    	-.-       	79.9    	-.-       	85.7      	81.7     	79.3     	77.9     	74.8     	76.7    	80.7    	-.-      	86.7      	---/---     	        	        
	2026-04-13  	10:42:14  	00:00:08  	65.6     	62.5     	60.5     	57.6     	58.8    	71.9    	-.-      	70.4    	73.8     	71.9    	-.-       	71.9    	-.-       	71.9    	-.-       	71.0      	78.4     	77.1     	77.7     	73.8     	76.1    	79.6    	-.-      	80.1    	80.8     	79.6    	-.-       	79.6    	-.-       	79.6    	-.-       	85.8      	79.3     	78.0     	78.6     	74.7     	77.1    	80.4    	-.-      	87.4      	---/---     	        	        
	2026-04-13  	10:42:15  	00:00:09  	63.9     	61.8     	66.1     	58.1     	64.0    	71.5    	-.-      	64.4    	73.8     	71.5    	-.-       	71.5    	-.-       	71.5    	-.-       	75.5      	85.0     	77.1     	88.6     	76.5     	86.3    	81.1    	-.-      	82.4    	82.4     	81.1    	-.-       	81.1    	-.-       	81.1    	-.-       	96.5      	85.8     	78.1     	89.3     	77.5     	87.2    	81.9    	-.-      	97.3      	---/---     	        	        
