XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_000_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 10:42:06
	End:            	2026-04-13, 10:45:14

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	10:42:07  	00:00:01  	         	27.5     	33.1     	35.3     	40.3     	43.1     	45.3     	55.3     	57.0     	71.9     	73.7     	71.1     	69.8     	56.8     	57.1     	54.3     	48.0     	54.9     	53.0     	51.8     	54.3     	52.0     	55.9     	53.7     	53.2     	49.6     	49.3     	40.9     	35.9     	30.1     	27.3     	27.0     	27.3     	27.0     	27.0     	26.8     	28.7     
	2026-04-13  	10:42:08  	00:00:02  	         	29.5     	24.1     	32.6     	42.3     	43.2     	47.0     	58.9     	58.2     	68.0     	72.2     	71.0     	70.9     	55.0     	54.9     	53.2     	48.0     	54.7     	51.6     	61.9     	71.4     	52.3     	68.1     	63.0     	72.7     	61.7     	58.5     	45.1     	44.3     	46.6     	36.8     	30.3     	27.4     	26.8     	26.8     	26.8     	28.7     
	2026-04-13  	10:42:09  	00:00:03  	         	29.6     	31.2     	31.3     	45.8     	43.5     	45.6     	58.5     	57.5     	68.6     	73.2     	72.6     	70.6     	53.6     	55.5     	53.3     	46.4     	56.2     	52.2     	61.5     	70.6     	53.7     	67.0     	62.3     	71.4     	61.1     	57.3     	46.9     	44.6     	45.3     	35.8     	29.5     	27.3     	26.7     	26.8     	26.7     	28.7     
	2026-04-13  	10:42:10  	00:00:04  	         	26.2     	31.9     	27.2     	49.8     	46.1     	41.3     	57.8     	58.5     	65.8     	73.2     	71.8     	69.7     	55.9     	56.8     	53.1     	48.2     	55.1     	52.9     	60.0     	69.2     	53.5     	66.2     	61.1     	70.5     	60.1     	57.6     	50.9     	53.3     	62.7     	71.3     	64.2     	53.4     	44.7     	42.2     	30.8     	29.2     
	2026-04-13  	10:42:11  	00:00:05  	         	27.8     	27.1     	29.0     	46.0     	45.4     	44.7     	54.6     	62.3     	75.1     	78.1     	82.5     	79.5     	57.3     	56.1     	54.4     	52.9     	57.6     	55.9     	51.7     	52.5     	53.7     	56.6     	63.0     	57.5     	56.1     	51.1     	48.0     	46.7     	57.4     	62.2     	54.6     	45.0     	36.4     	34.4     	27.5     	28.8     
	2026-04-13  	10:42:12  	00:00:06  	         	24.4     	25.8     	32.2     	41.8     	43.8     	47.9     	55.3     	58.1     	65.2     	74.7     	73.0     	71.3     	55.3     	56.7     	53.4     	47.6     	54.9     	48.2     	47.7     	50.7     	50.8     	52.4     	52.7     	51.7     	47.2     	47.3     	38.8     	35.1     	30.1     	26.9     	26.9     	27.1     	26.6     	26.8     	26.7     	28.7     
	2026-04-13  	10:42:13  	00:00:07  	         	34.3     	22.6     	25.4     	44.6     	45.3     	44.0     	54.7     	57.1     	64.2     	73.5     	71.3     	68.8     	55.5     	58.2     	53.4     	48.1     	55.0     	48.1     	47.1     	49.6     	52.8     	54.4     	54.4     	54.9     	48.0     	46.7     	37.4     	32.8     	31.0     	27.1     	26.9     	27.0     	26.6     	26.7     	26.7     	28.8     
	2026-04-13  	10:42:14  	00:00:08  	         	27.3     	30.8     	32.5     	39.7     	43.3     	46.4     	52.2     	56.0     	66.3     	71.9     	71.5     	70.8     	56.2     	57.9     	53.8     	50.5     	54.5     	48.7     	47.7     	51.4     	49.2     	50.0     	50.3     	47.5     	47.4     	47.8     	40.5     	38.6     	30.8     	27.1     	26.7     	27.0     	26.7     	26.7     	26.7     	28.8     
