XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_010_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 12:15:46
	End:            	2026-04-13, 12:18:58

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	12:15:47  	00:00:01  	         	29.1     	24.6     	32.4     	40.5     	44.8     	46.8     	55.5     	57.4     	71.5     	74.1     	71.8     	70.5     	57.7     	56.7     	54.0     	48.2     	54.9     	53.5     	56.6     	63.6     	54.2     	62.9     	59.4     	61.7     	50.7     	43.6     	31.4     	27.5     	28.3     	23.4     	22.9     	23.4     	24.1     	25.8     	26.8     	28.9     
	2026-04-13  	12:15:48  	00:00:02  	         	26.8     	27.2     	30.4     	43.3     	42.9     	46.9     	60.8     	58.6     	66.7     	72.6     	71.6     	72.4     	55.6     	55.2     	53.7     	45.3     	54.3     	52.0     	61.2     	70.3     	54.3     	68.4     	64.1     	68.1     	56.4     	47.8     	36.1     	32.5     	33.7     	25.4     	23.3     	23.3     	24.2     	25.9     	26.7     	28.8     
	2026-04-13  	12:15:49  	00:00:03  	         	27.3     	28.8     	30.1     	43.5     	43.3     	45.7     	58.4     	58.1     	68.5     	73.5     	72.8     	70.6     	55.6     	56.3     	53.7     	47.1     	55.4     	53.3     	59.9     	68.6     	55.5     	66.3     	63.0     	66.1     	55.1     	46.5     	36.6     	32.5     	32.1     	25.1     	23.2     	23.2     	24.2     	25.8     	26.7     	28.8     
	2026-04-13  	12:15:50  	00:00:04  	         	30.3     	29.5     	29.9     	42.1     	45.3     	45.6     	57.4     	58.2     	68.2     	73.6     	72.6     	70.0     	56.0     	56.9     	53.4     	49.3     	55.8     	53.6     	59.0     	68.3     	56.1     	66.7     	62.5     	66.2     	54.8     	47.2     	40.2     	40.8     	51.8     	64.2     	55.3     	33.4     	31.5     	27.6     	34.9     	29.1     
	2026-04-13  	12:15:51  	00:00:05  	         	25.2     	27.7     	30.4     	45.1     	45.4     	44.7     	54.5     	62.7     	74.9     	78.9     	82.9     	80.5     	59.0     	56.2     	54.6     	52.6     	56.7     	56.1     	52.1     	53.4     	56.3     	57.9     	62.3     	55.3     	49.1     	41.3     	35.2     	31.9     	42.1     	49.8     	40.2     	24.6     	24.6     	25.8     	27.1     	28.8     
	2026-04-13  	12:15:52  	00:00:06  	         	29.7     	24.2     	32.5     	45.0     	44.3     	43.4     	53.1     	57.7     	66.4     	73.6     	73.2     	68.9     	56.0     	57.3     	53.7     	47.9     	54.7     	49.0     	48.5     	51.7     	53.7     	54.7     	53.5     	50.7     	41.6     	36.7     	28.5     	23.6     	22.8     	23.8     	22.9     	23.3     	24.3     	25.8     	27.0     	28.8     
	2026-04-13  	12:15:53  	00:00:07  	         	30.6     	30.5     	31.6     	45.5     	44.5     	46.0     	54.1     	57.0     	61.7     	73.8     	71.1     	70.0     	55.8     	57.8     	53.5     	47.8     	54.8     	48.5     	48.2     	52.5     	54.5     	54.3     	53.7     	52.1     	42.0     	37.5     	28.7     	23.2     	21.9     	23.1     	22.6     	23.3     	24.4     	25.8     	26.8     	28.8     
	2026-04-13  	12:15:54  	00:00:08  	         	34.3     	32.7     	33.4     	46.1     	44.8     	50.8     	53.9     	55.8     	69.4     	72.1     	73.6     	71.8     	58.3     	57.9     	54.4     	52.4     	53.9     	49.4     	48.3     	52.0     	50.7     	50.2     	49.1     	44.1     	40.1     	37.2     	27.9     	24.3     	21.8     	23.0     	22.9     	23.1     	24.1     	26.0     	26.9     	28.8     
