XL2 Broadband Logging:		KU1000WFS\2026-04-14_SLM_000_123_Log.txt                                       
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 15:54:38
	End:            	2026-04-14, 15:57:47

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	15:54:39  	00:00:01  	70.7     	60.6     	77.5     	61.1     	71.0    	71.0    	-.-      	71.0    	-.-      	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	88.9      	77.3     	75.8     	79.5     	75.4     	77.6    	77.6    	-.-      	77.6    	-.-      	77.6    	-.-       	77.6    	-.-       	77.6    	-.-       	91.1      	78.2     	77.0     	80.0     	76.5     	78.5    	78.5    	-.-      	91.0      	---/---     	        	        
	2026-04-14  	15:54:40  	00:00:02  	74.9     	70.7     	78.8     	65.6     	75.6    	73.9    	-.-      	73.9    	-.-      	73.9    	-.-       	73.9    	-.-       	73.9    	-.-       	88.8      	78.7     	77.2     	81.1     	76.0     	79.1    	78.4    	-.-      	78.4    	-.-      	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	92.3      	79.4     	78.2     	81.5     	76.9     	79.6    	79.1    	-.-      	92.2      	---/---     	        	        
	2026-04-14  	15:54:41  	00:00:03  	75.5     	73.1     	78.8     	66.9     	74.2    	74.0    	-.-      	74.0    	-.-      	74.0    	-.-       	74.0    	-.-       	74.0    	-.-       	89.5      	79.1     	78.3     	81.0     	76.2     	78.5    	78.4    	-.-      	78.4    	-.-      	78.4    	-.-       	78.4    	-.-       	78.4    	-.-       	91.6      	79.7     	79.0     	81.4     	77.0     	79.2    	79.1    	-.-      	92.6      	---/---     	        	        
	2026-04-14  	15:54:42  	00:00:04  	77.0     	73.9     	80.6     	67.1     	77.1    	75.0    	-.-      	75.0    	-.-      	75.0    	-.-       	75.0    	-.-       	75.0    	-.-       	93.4      	79.5     	78.2     	81.7     	75.1     	79.5    	78.7    	-.-      	78.7    	-.-      	78.7    	-.-       	78.7    	-.-       	78.7    	-.-       	94.2      	80.2     	78.8     	82.3     	76.0     	80.3    	79.5    	-.-      	93.7      	---/---     	        	        
	2026-04-14  	15:54:43  	00:00:05  	75.7     	72.3     	72.7     	61.9     	67.5    	74.2    	-.-      	74.2    	74.2     	74.2    	-.-       	74.2    	-.-       	74.2    	-.-       	91.8      	84.5     	78.0     	90.8     	75.1     	84.9    	80.9    	-.-      	80.9    	80.9     	80.9    	-.-       	80.9    	-.-       	80.9    	-.-       	100.7     	85.3     	78.9     	91.7     	76.2     	85.8    	81.7    	-.-      	102.1     	---/---     	        	        
	2026-04-14  	15:54:44  	00:00:06  	72.3     	68.4     	61.9     	59.4     	60.2    	73.5    	-.-      	73.8    	74.2     	73.5    	-.-       	73.5    	-.-       	73.5    	-.-       	72.8      	83.5     	80.3     	79.9     	74.3     	76.2    	80.4    	-.-      	80.7    	80.9     	80.4    	-.-       	80.4    	-.-       	80.4    	-.-       	86.1      	84.3     	81.2     	80.8     	75.3     	77.2    	81.2    	-.-      	87.0      	---/---     	        	        
	2026-04-14  	15:54:45  	00:00:07  	68.4     	65.2     	61.9     	59.8     	60.8    	72.8    	-.-      	72.3    	74.2     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	73.6      	80.3     	78.0     	77.0     	73.8     	75.9    	79.9    	-.-      	80.4    	80.9     	79.9    	-.-       	79.9    	-.-       	79.9    	-.-       	86.1      	81.2     	78.9     	78.1     	74.8     	76.8    	80.8    	-.-      	87.0      	---/---     	        	        
	2026-04-14  	15:54:46  	00:00:08  	65.2     	62.2     	61.0     	57.5     	58.6    	72.3    	-.-      	70.8    	74.2     	72.3    	-.-       	72.3    	-.-       	72.3    	-.-       	72.2      	78.5     	77.2     	81.5     	74.0     	78.1    	79.7    	-.-      	80.4    	80.9     	79.7    	-.-       	79.7    	-.-       	79.7    	-.-       	88.7      	79.6     	78.1     	82.9     	74.9     	79.3    	80.6    	-.-      	90.9      	---/---     	        	        
	2026-04-14  	15:54:47  	00:00:09  	64.1     	61.9     	66.4     	58.8     	64.9    	71.9    	-.-      	63.7    	74.2     	71.9    	-.-       	71.9    	-.-       	71.9    	-.-       	76.2      	85.5     	78.5     	88.8     	81.4     	87.2    	81.5    	-.-      	82.9    	82.9     	81.5    	-.-       	81.5    	-.-       	81.5    	-.-       	96.8      	86.3     	79.7     	89.5     	82.8     	88.0    	82.3    	-.-      	97.6      	---/---     	        	        
