XL2 Broadband Logging:		KU100\2026-04-13_SLM_003_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:06:16
	End:            	2026-04-13, 11:09:27

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:06:17  	00:00:01  	60.3     	59.1     	61.9     	60.3     	61.0    	61.0    	-.-      	61.0    	-.-      	61.0    	-.-       	61.0    	-.-       	61.0    	-.-       	73.8      	76.6     	75.6     	78.7     	75.5     	77.0    	77.0    	-.-      	77.0    	-.-      	77.0    	-.-       	77.0    	-.-       	77.0    	-.-       	88.5      	77.7     	76.7     	79.8     	76.6     	78.1    	78.1    	-.-      	89.0      	---/---     	        	        
	2026-04-13  	11:06:18  	00:00:02  	71.5     	60.3     	75.3     	60.7     	73.3    	70.5    	-.-      	70.5    	-.-      	70.5    	-.-       	70.5    	-.-       	70.5    	-.-       	85.4      	78.1     	76.4     	80.4     	75.4     	78.7    	78.0    	-.-      	78.0    	-.-      	78.0    	-.-       	78.0    	-.-       	78.0    	-.-       	90.5      	78.8     	77.5     	80.9     	76.5     	79.3    	78.7    	-.-      	90.7      	---/---     	        	        
	2026-04-13  	11:06:19  	00:00:03  	72.3     	70.0     	75.4     	64.8     	71.5    	70.9    	-.-      	70.9    	-.-      	70.9    	-.-       	70.9    	-.-       	70.9    	-.-       	85.5      	78.6     	77.9     	80.3     	76.8     	78.4    	78.1    	-.-      	78.1    	-.-      	78.1    	-.-       	78.1    	-.-       	78.1    	-.-       	90.0      	79.3     	78.7     	80.8     	77.8     	79.1    	78.9    	-.-      	91.4      	---/---     	        	        
	2026-04-13  	11:06:20  	00:00:04  	73.0     	70.7     	76.0     	64.4     	71.7    	71.1    	-.-      	71.1    	-.-      	71.1    	-.-       	71.1    	-.-       	71.1    	-.-       	86.7      	78.5     	77.7     	80.1     	74.9     	78.1    	78.1    	-.-      	78.1    	-.-      	78.1    	-.-       	78.1    	-.-       	78.1    	-.-       	90.6      	79.2     	78.4     	80.6     	75.8     	78.8    	78.8    	-.-      	91.0      	---/---     	        	        
	2026-04-13  	11:06:21  	00:00:05  	71.5     	68.8     	70.3     	59.6     	65.7    	70.4    	-.-      	70.4    	70.4     	70.4    	-.-       	70.4    	-.-       	70.4    	-.-       	89.0      	84.4     	77.3     	90.8     	75.2     	85.0    	80.6    	-.-      	80.6    	80.6     	80.6    	-.-       	80.6    	-.-       	80.6    	-.-       	100.8     	85.2     	78.2     	91.6     	76.2     	85.8    	81.4    	-.-      	102.2     	---/---     	        	        
	2026-04-13  	11:06:22  	00:00:06  	68.8     	65.2     	63.9     	58.4     	59.0    	69.7    	-.-      	70.4    	70.4     	69.7    	-.-       	69.7    	-.-       	69.7    	-.-       	71.6      	84.0     	80.8     	84.1     	75.3     	76.7    	80.1    	-.-      	80.6    	80.6     	80.1    	-.-       	80.1    	-.-       	80.1    	-.-       	86.5      	84.8     	81.7     	85.0     	76.3     	77.7    	81.0    	-.-      	87.6      	---/---     	        	        
	2026-04-13  	11:06:23  	00:00:07  	65.3     	62.6     	60.8     	59.0     	59.7    	69.1    	-.-      	68.4    	70.4     	69.1    	-.-       	69.1    	-.-       	69.1    	-.-       	71.9      	80.8     	78.3     	77.1     	73.7     	75.8    	79.7    	-.-      	80.3    	80.6     	79.7    	-.-       	79.7    	-.-       	79.7    	-.-       	85.5      	81.7     	79.2     	78.2     	74.7     	76.8    	80.6    	-.-      	86.5      	---/---     	        	        
	2026-04-13  	11:06:24  	00:00:08  	62.6     	60.2     	59.6     	56.7     	57.9    	68.6    	-.-      	66.2    	70.4     	68.6    	-.-       	68.6    	-.-       	68.6    	-.-       	69.5      	78.3     	77.2     	77.9     	74.0     	76.3    	79.4    	-.-      	80.1    	80.6     	79.4    	-.-       	79.4    	-.-       	79.4    	-.-       	85.7      	79.2     	78.1     	78.8     	74.9     	77.3    	80.3    	-.-      	87.4      	---/---     	        	        
	2026-04-13  	11:06:25  	00:00:09  	63.4     	59.9     	66.4     	57.2     	64.2    	68.3    	-.-      	62.4    	70.4     	68.3    	-.-       	68.3    	-.-       	68.3    	-.-       	75.5      	85.2     	77.2     	88.8     	76.6     	86.7    	81.1    	-.-      	82.6    	82.6     	81.1    	-.-       	81.1    	-.-       	81.1    	-.-       	96.4      	86.1     	78.2     	89.6     	77.6     	87.6    	82.0    	-.-      	97.3      	---/---     	        	        
