XL2 Broadband Logging:		KU100\2026-04-13_SLM_004_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:10:34
	End:            	2026-04-13, 11:13:54

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:10:35  	00:00:01  	55.1     	54.0     	56.6     	54.5     	55.6    	55.6    	-.-      	55.6    	-.-      	55.6    	-.-       	55.6    	-.-       	55.6    	-.-       	69.0      	77.5     	76.4     	79.5     	76.1     	77.8    	77.8    	-.-      	77.8    	-.-      	77.8    	-.-       	77.8    	-.-       	77.8    	-.-       	88.6      	78.6     	77.5     	80.7     	77.2     	78.9    	78.9    	-.-      	89.8      	---/---     	        	        
	2026-04-13  	11:10:36  	00:00:02  	65.3     	55.0     	69.0     	55.5     	67.0    	64.3    	-.-      	64.3    	-.-      	64.3    	-.-       	64.3    	-.-       	64.3    	-.-       	79.2      	77.7     	77.0     	79.5     	75.7     	77.7    	77.8    	-.-      	77.8    	-.-      	77.8    	-.-       	77.8    	-.-       	77.8    	-.-       	88.6      	78.7     	78.1     	80.4     	76.7     	78.6    	78.8    	-.-      	89.2      	---/---     	        	        
	2026-04-13  	11:10:37  	00:00:03  	65.9     	63.6     	69.1     	58.3     	64.9    	64.5    	-.-      	64.5    	-.-      	64.5    	-.-       	64.5    	-.-       	64.5    	-.-       	78.8      	78.0     	77.6     	79.2     	76.4     	77.8    	77.8    	-.-      	77.8    	-.-      	77.8    	-.-       	77.8    	-.-       	77.8    	-.-       	88.4      	78.9     	78.6     	80.1     	77.4     	78.8    	78.8    	-.-      	89.2      	---/---     	        	        
	2026-04-13  	11:10:38  	00:00:04  	68.1     	64.4     	71.8     	58.3     	68.4    	65.9    	-.-      	65.9    	-.-      	65.9    	-.-       	65.9    	-.-       	65.9    	-.-       	84.9      	77.9     	77.3     	79.1     	75.2     	77.8    	77.8    	-.-      	77.8    	-.-      	77.8    	-.-       	77.8    	-.-       	77.8    	-.-       	89.3      	78.9     	78.2     	80.2     	76.2     	78.8    	78.8    	-.-      	90.1      	---/---     	        	        
	2026-04-13  	11:10:39  	00:00:05  	67.4     	65.4     	68.2     	55.7     	63.7    	65.5    	-.-      	65.5    	65.5     	65.5    	-.-       	65.5    	-.-       	65.5    	-.-       	81.1      	85.3     	77.4     	91.9     	76.0     	86.1    	81.1    	-.-      	81.1    	81.1     	81.1    	-.-       	81.1    	-.-       	81.1    	-.-       	101.9     	86.2     	78.5     	92.7     	77.1     	86.9    	82.0    	-.-      	102.8     	---/---     	        	        
	2026-04-13  	11:10:40  	00:00:06  	65.4     	61.7     	61.4     	53.9     	54.6    	64.8    	-.-      	65.5    	65.5     	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	65.2      	84.9     	81.7     	85.0     	76.2     	77.5    	80.7    	-.-      	81.1    	81.1     	80.7    	-.-       	80.7    	-.-       	80.7    	-.-       	87.1      	85.8     	82.6     	85.9     	77.2     	78.5    	81.6    	-.-      	88.1      	---/---     	        	        
	2026-04-13  	11:10:41  	00:00:07  	61.7     	58.6     	56.0     	53.8     	54.7    	64.2    	-.-      	64.1    	65.5     	64.2    	-.-       	64.2    	-.-       	64.2    	-.-       	66.2      	81.7     	79.2     	78.1     	74.4     	76.7    	80.3    	-.-      	81.0    	81.1     	80.3    	-.-       	80.3    	-.-       	80.3    	-.-       	86.1      	82.6     	80.2     	79.1     	75.4     	77.7    	81.2    	-.-      	87.4      	---/---     	        	        
	2026-04-13  	11:10:42  	00:00:08  	58.6     	56.4     	55.3     	52.7     	54.3    	63.7    	-.-      	63.1    	65.5     	63.7    	-.-       	63.7    	-.-       	63.7    	-.-       	65.5      	79.2     	78.1     	78.9     	74.6     	77.3    	80.0    	-.-      	80.9    	81.1     	80.0    	-.-       	80.0    	-.-       	80.0    	-.-       	86.9      	80.1     	79.0     	79.8     	75.5     	78.3    	80.9    	-.-      	88.6      	---/---     	        	        
	2026-04-13  	11:10:43  	00:00:09  	62.8     	56.4     	66.3     	54.5     	64.1    	63.7    	-.-      	60.6    	65.5     	63.7    	-.-       	63.7    	-.-       	63.7    	-.-       	74.6      	86.2     	78.2     	89.8     	77.7     	87.7    	81.9    	-.-      	83.6    	83.6     	81.9    	-.-       	81.9    	-.-       	81.9    	-.-       	97.3      	87.0     	79.1     	90.6     	79.0     	88.5    	82.8    	-.-      	98.0      	---/---     	        	        
	2026-04-13  	11:10:44  	00:00:10  	66.4     	62.8     	68.7     	63.7     	67.4    	64.3    	-.-      	62.6    	65.5     	64.3    	-.-       	64.3    	-.-       	64.3    	-.-       	76.2      	90.0     	86.1     	93.5     	86.9     	90.9    	84.2    	-.-      	86.0    	86.0     	84.2    	-.-       	84.2    	-.-       	84.2    	-.-       	101.1     	91.0     	86.9     	94.8     	87.7     	91.8    	85.1    	-.-      	102.3     	---/---     	        	        
	2026-04-13  	11:10:45  	00:00:11  	66.5     	65.0     	68.3     	61.4     	64.6    	64.3    	-.-      	63.6    	65.5     	64.3    	-.-       	64.3    	-.-       	64.3    	-.-       	78.6      	91.7     	89.9     	94.8     	84.0     	90.9    	85.4    	-.-      	88.0    	88.0     	85.4    	-.-       	85.4    	-.-       	85.4    	-.-       	102.7     	93.0     	91.0     	96.3     	85.2     	92.3    	86.5    	-.-      	103.7     	---/---     	        	        
	2026-04-13  	11:10:46  	00:00:12  	65.3     	64.4     	66.6     	62.2     	65.0    	64.4    	-.-      	64.6    	65.5     	64.4    	-.-       	64.4    	-.-       	64.4    	-.-       	78.1      	90.3     	88.9     	91.9     	84.0     	88.6    	85.8    	-.-      	88.8    	88.8     	85.8    	-.-       	85.8    	-.-       	85.8    	-.-       	100.1     	91.6     	90.1     	93.1     	85.0     	89.6    	86.9    	-.-      	101.5     	---/---     	        	        
	2026-04-13  	11:10:47  	00:00:13  	66.2     	65.1     	68.3     	63.6     	66.5    	64.6    	-.-      	65.7    	65.7     	64.6    	-.-       	64.6    	-.-       	64.6    	-.-       	79.2      	89.0     	87.3     	91.8     	83.5     	88.2    	86.0    	-.-      	89.5    	89.5     	86.0    	-.-       	86.0    	-.-       	86.0    	-.-       	101.0     	90.1     	88.3     	92.5     	84.3     	88.9    	87.1    	-.-      	101.6     	---/---     	        	        
	2026-04-13  	11:10:48  	00:00:14  	67.5     	66.2     	69.2     	66.7     	67.9    	64.9    	-.-      	66.5    	66.5     	64.9    	-.-       	64.9    	-.-       	64.9    	-.-       	78.6      	90.2     	88.8     	92.7     	89.4     	90.8    	86.6    	-.-      	90.0    	90.0     	86.6    	-.-       	86.6    	-.-       	86.6    	-.-       	99.6      	91.1     	89.7     	93.5     	90.2     	91.7    	87.6    	-.-      	100.8     	---/---     	        	        
	2026-04-13  	11:10:49  	00:00:15  	69.7     	67.2     	73.4     	66.4     	70.6    	65.6    	-.-      	67.5    	67.5     	65.6    	-.-       	65.6    	-.-       	65.6    	-.-       	80.2      	93.6     	90.0     	97.9     	89.0     	94.5    	87.9    	-.-      	91.2    	91.2     	87.9    	-.-       	87.9    	-.-       	87.9    	-.-       	102.6     	94.4     	90.8     	98.7     	89.8     	95.3    	88.8    	-.-      	103.2     	---/---     	        	        
