XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_004_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:10:34
	End:            	2026-04-13, 11:13:54

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	11:10:35  	00:00:01  	         	25.0     	34.5     	35.2     	46.5     	43.7     	44.8     	57.3     	57.7     	72.6     	75.0     	72.7     	71.0     	56.4     	55.1     	52.4     	44.9     	50.5     	47.1     	45.2     	46.8     	43.8     	47.4     	44.4     	43.4     	37.6     	36.1     	28.8     	25.7     	22.6     	22.8     	22.8     	23.6     	24.3     	25.9     	26.7     	28.7     
	2026-04-13  	11:10:36  	00:00:02  	         	31.5     	32.8     	32.1     	39.6     	44.3     	43.9     	60.8     	58.7     	68.3     	73.2     	72.5     	72.7     	54.9     	53.2     	51.3     	43.8     	50.3     	46.0     	54.2     	63.7     	44.2     	59.2     	54.3     	63.4     	51.0     	46.4     	32.6     	34.2     	36.7     	28.8     	23.9     	23.6     	24.1     	25.6     	26.6     	28.7     
	2026-04-13  	11:10:37  	00:00:03  	         	29.3     	28.6     	26.7     	41.2     	45.6     	47.9     	58.8     	58.2     	69.4     	74.1     	73.8     	71.2     	53.7     	54.2     	51.1     	42.9     	51.6     	46.9     	53.6     	62.1     	45.8     	57.0     	53.0     	61.1     	49.6     	44.3     	34.6     	33.5     	34.5     	27.5     	23.4     	23.5     	24.2     	25.7     	26.6     	28.7     
	2026-04-13  	11:10:38  	00:00:04  	         	29.5     	31.3     	34.3     	43.7     	44.0     	43.1     	57.5     	58.7     	67.3     	74.3     	73.1     	70.9     	55.7     	55.3     	51.2     	45.2     	51.1     	47.3     	52.0     	61.3     	45.3     	56.9     	52.1     	60.7     	48.8     	44.8     	39.3     	43.0     	53.4     	65.0     	55.3     	35.0     	30.3     	26.6     	28.6     	28.9     
	2026-04-13  	11:10:39  	00:00:05  	         	27.4     	25.6     	29.1     	44.0     	44.3     	46.5     	54.7     	63.1     	75.9     	79.3     	83.9     	80.9     	57.6     	54.1     	52.2     	49.4     	52.8     	50.3     	45.4     	44.8     	45.8     	47.9     	53.9     	47.5     	43.7     	37.6     	35.7     	36.0     	47.9     	55.3     	44.7     	27.6     	25.7     	25.9     	26.9     	28.8     
	2026-04-13  	11:10:40  	00:00:06  	         	30.6     	25.4     	25.1     	40.4     	43.9     	46.7     	54.4     	58.4     	66.6     	75.9     	74.2     	71.2     	55.0     	55.5     	51.5     	44.8     	50.6     	42.6     	41.4     	43.3     	43.1     	43.9     	43.6     	42.9     	35.4     	33.6     	27.7     	25.4     	23.0     	22.6     	22.9     	23.3     	24.3     	25.8     	26.7     	28.7     
	2026-04-13  	11:10:41  	00:00:07  	         	28.9     	24.4     	28.7     	38.4     	43.9     	45.6     	53.8     	57.5     	64.5     	74.4     	72.7     	70.2     	54.7     	56.5     	51.0     	44.4     	50.3     	42.6     	41.0     	42.7     	44.2     	45.3     	44.8     	45.3     	35.9     	33.8     	26.2     	24.1     	23.3     	22.9     	22.7     	23.4     	24.3     	25.8     	26.8     	28.8     
	2026-04-13  	11:10:42  	00:00:08  	         	26.1     	27.0     	30.1     	42.5     	44.6     	45.9     	53.4     	56.7     	67.2     	72.9     	73.4     	72.0     	56.0     	56.4     	51.8     	47.8     	50.3     	43.9     	41.3     	44.1     	41.0     	41.3     	40.7     	38.0     	35.1     	34.4     	29.0     	28.3     	23.5     	22.9     	22.6     	23.4     	24.4     	25.7     	26.6     	28.8     
