XL2 Broadband Logging:		KU100\2026-04-13_SLM_005_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:32:14
	End:            	2026-04-13, 11:33:09

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:32:15  	00:00:01  	70.0     	61.5     	77.3     	62.1     	70.3    	70.3    	-.-      	70.3    	-.-      	70.3    	-.-       	70.3    	-.-       	70.3    	-.-       	90.0      	77.2     	75.7     	79.7     	75.3     	77.6    	77.6    	-.-      	77.6    	-.-      	77.6    	-.-       	77.6    	-.-       	77.6    	-.-       	91.9      	78.1     	76.8     	80.2     	76.4     	78.6    	78.6    	-.-      	91.9      	---/---     	        	        
	2026-04-13  	11:32:16  	00:00:02  	76.4     	70.1     	80.2     	67.0     	77.7    	75.4    	-.-      	75.4    	-.-      	75.4    	-.-       	75.4    	-.-       	75.4    	-.-       	90.7      	79.4     	77.2     	81.9     	76.2     	80.0    	79.0    	-.-      	79.0    	-.-      	79.0    	-.-       	79.0    	-.-       	79.0    	-.-       	93.3      	79.9     	78.1     	82.2     	77.0     	80.5    	79.6    	-.-      	92.9      	---/---     	        	        
	2026-04-13  	11:32:17  	00:00:03  	77.0     	74.5     	80.3     	68.2     	75.6    	75.5    	-.-      	75.5    	-.-      	75.5    	-.-       	75.5    	-.-       	75.5    	-.-       	90.9      	79.8     	78.7     	82.0     	77.0     	79.1    	79.0    	-.-      	79.0    	-.-      	79.0    	-.-       	79.0    	-.-       	79.0    	-.-       	92.6      	80.3     	79.4     	82.3     	77.6     	79.7    	79.6    	-.-      	93.5      	---/---     	        	        
	2026-04-13  	11:32:18  	00:00:04  	77.9     	75.4     	81.2     	68.4     	77.0    	75.9    	-.-      	75.9    	-.-      	75.9    	-.-       	75.9    	-.-       	75.9    	-.-       	92.7      	80.0     	78.7     	82.3     	75.3     	79.5    	79.1    	-.-      	79.1    	-.-      	79.1    	-.-       	79.1    	-.-       	79.1    	-.-       	93.3      	80.6     	79.3     	82.7     	76.1     	80.2    	79.8    	-.-      	94.2      	---/---     	        	        
	2026-04-13  	11:32:19  	00:00:05  	76.2     	73.1     	74.2     	62.6     	69.2    	75.2    	-.-      	75.2    	75.2     	75.2    	-.-       	75.2    	-.-       	75.2    	-.-       	93.1      	84.5     	78.2     	90.7     	75.2     	85.0    	81.1    	-.-      	81.1    	81.1     	81.1    	-.-       	81.1    	-.-       	81.1    	-.-       	100.9     	85.3     	79.0     	91.6     	76.2     	85.8    	81.8    	-.-      	102.1     	---/---     	        	        
	2026-04-13  	11:32:20  	00:00:06  	73.1     	69.3     	64.4     	61.0     	61.6    	74.4    	-.-      	74.9    	75.2     	74.4    	-.-       	74.4    	-.-       	74.4    	-.-       	74.0      	83.8     	80.5     	81.9     	75.2     	76.2    	80.6    	-.-      	81.0    	81.1     	80.6    	-.-       	80.6    	-.-       	80.6    	-.-       	86.4      	84.6     	81.4     	82.7     	76.2     	77.2    	81.3    	-.-      	87.1      	---/---     	        	        
	2026-04-13  	11:32:21  	00:00:07  	69.3     	66.2     	64.7     	61.3     	62.6    	73.8    	-.-      	72.9    	75.2     	73.8    	-.-       	73.8    	-.-       	73.8    	-.-       	75.8      	80.5     	78.1     	77.0     	73.7     	75.9    	80.1    	-.-      	80.5    	81.1     	80.1    	-.-       	80.1    	-.-       	80.1    	-.-       	85.9      	81.4     	79.0     	78.0     	74.7     	76.8    	80.9    	-.-      	87.1      	---/---     	        	        
	2026-04-13  	11:32:22  	00:00:08  	66.2     	63.2     	61.8     	58.4     	59.5    	73.2    	-.-      	71.0    	75.2     	73.2    	-.-       	73.2    	-.-       	73.2    	-.-       	73.2      	78.2     	77.1     	80.3     	73.9     	77.1    	79.9    	-.-      	80.3    	81.1     	79.9    	-.-       	79.9    	-.-       	79.9    	-.-       	88.7      	79.1     	78.0     	81.5     	74.8     	78.2    	80.6    	-.-      	89.8      	---/---     	        	        
	2026-04-13  	11:32:23  	00:00:09  	64.4     	62.8     	66.4     	59.3     	64.7    	72.8    	-.-      	64.9    	75.2     	72.8    	-.-       	72.8    	-.-       	72.8    	-.-       	76.5      	85.2     	77.9     	88.7     	79.9     	86.8    	81.4    	-.-      	82.7    	82.7     	81.4    	-.-       	81.4    	-.-       	81.4    	-.-       	96.4      	86.0     	78.9     	89.4     	81.2     	87.6    	82.2    	-.-      	97.2      	---/---     	        	        
	2026-04-13  	11:32:24  	00:00:10  	67.0     	64.3     	68.9     	64.6     	67.9    	72.5    	-.-      	64.2    	75.2     	72.5    	-.-       	72.5    	-.-       	72.5    	-.-       	79.5      	89.6     	85.2     	93.2     	86.4     	90.5    	83.8    	-.-      	85.4    	85.4     	83.8    	-.-       	83.8    	-.-       	83.8    	-.-       	101.0     	90.7     	86.0     	94.6     	87.1     	91.5    	84.7    	-.-      	101.6     	---/---     	        	        
	2026-04-13  	11:32:25  	00:00:11  	67.2     	66.5     	69.0     	64.5     	66.6    	72.2    	-.-      	65.2    	75.2     	72.2    	-.-       	72.2    	-.-       	72.2    	-.-       	81.6      	90.9     	89.0     	94.0     	83.6     	89.7    	84.8    	-.-      	87.2    	87.2     	84.8    	-.-       	84.8    	-.-       	84.8    	-.-       	102.3     	92.1     	90.3     	95.5     	84.7     	91.1    	85.8    	-.-      	103.1     	---/---     	        	        
	2026-04-13  	11:32:26  	00:00:12  	67.0     	66.4     	68.2     	65.5     	67.1    	71.9    	-.-      	66.0    	75.2     	71.9    	-.-       	71.9    	-.-       	71.9    	-.-       	79.7      	89.5     	88.0     	90.9     	83.4     	87.4    	85.1    	-.-      	88.0    	88.0     	85.1    	-.-       	85.1    	-.-       	85.1    	-.-       	99.1      	90.7     	89.1     	92.1     	84.3     	88.3    	86.1    	-.-      	100.5     	---/---     	        	        
	2026-04-13  	11:32:27  	00:00:13  	68.1     	67.0     	69.6     	66.3     	68.4    	71.7    	-.-      	67.1    	75.2     	71.7    	-.-       	71.7    	-.-       	71.7    	-.-       	80.8      	88.6     	86.6     	91.5     	83.1     	88.1    	85.4    	-.-      	88.7    	88.7     	85.4    	-.-       	85.4    	-.-       	85.4    	-.-       	100.1     	89.4     	87.5     	92.3     	83.7     	88.8    	86.4    	-.-      	100.7     	---/---     	        	        
	2026-04-13  	11:32:28  	00:00:14  	69.2     	68.1     	70.6     	68.1     	69.5    	71.6    	-.-      	68.0    	75.2     	71.6    	-.-       	71.6    	-.-       	71.6    	-.-       	81.7      	89.2     	88.5     	91.6     	87.9     	89.4    	85.8    	-.-      	89.2    	89.2     	85.8    	-.-       	85.8    	-.-       	85.8    	-.-       	97.0      	90.0     	89.4     	92.4     	88.7     	90.2    	86.8    	-.-      	99.0      	---/---     	        	        
	2026-04-13  	11:32:29  	00:00:15  	70.6     	68.9     	73.1     	68.4     	71.3    	71.6    	-.-      	68.9    	75.2     	71.6    	-.-       	71.6    	-.-       	71.6    	-.-       	81.6      	92.4     	88.9     	96.6     	88.2     	93.6    	87.1    	-.-      	90.2    	90.2     	87.1    	-.-       	87.1    	-.-       	87.1    	-.-       	101.6     	93.1     	89.7     	97.3     	89.0     	94.3    	88.0    	-.-      	102.1     	---/---     	        	        
	2026-04-13  	11:32:30  	00:00:16  	73.0     	70.6     	76.0     	71.9     	73.9    	71.8    	-.-      	70.7    	75.2     	71.8    	-.-       	71.8    	-.-       	71.8    	-.-       	84.0      	95.1     	92.2     	98.5     	93.2     	96.3    	88.7    	-.-      	92.3    	92.3     	88.7    	-.-       	88.7    	-.-       	88.7    	-.-       	104.3     	95.8     	93.0     	99.1     	93.9     	96.9    	89.5    	-.-      	104.9     	---/---     	        	        
	2026-04-13  	11:32:31  	00:00:17  	72.8     	69.8     	72.7     	64.2     	66.5    	71.6    	-.-      	70.7    	75.2     	71.6    	-.-       	71.6    	-.-       	71.6    	-.-       	78.5      	95.0     	91.4     	95.6     	81.0     	86.2    	88.6    	-.-      	92.3    	92.3     	88.6    	-.-       	88.6    	-.-       	88.6    	-.-       	99.5      	95.7     	92.1     	96.3     	81.8     	87.0    	89.4    	-.-      	99.7      	---/---     	        	        
	2026-04-13  	11:32:32  	00:00:18  	69.9     	68.5     	69.9     	65.4     	67.9    	71.5    	-.-      	70.6    	75.2     	71.5    	-.-       	71.5    	-.-       	71.5    	-.-       	79.8      	91.5     	89.6     	91.7     	82.2     	88.9    	88.6    	-.-      	92.3    	92.3     	88.6    	-.-       	88.6    	-.-       	88.6    	-.-       	100.3     	92.2     	90.3     	92.6     	82.8     	89.6    	89.4    	-.-      	100.3     	---/---     	        	        
	2026-04-13  	11:32:33  	00:00:19  	70.3     	67.9     	74.5     	65.8     	70.5    	71.4    	-.-      	70.8    	75.2     	71.4    	-.-       	71.4    	-.-       	71.4    	-.-       	87.6      	89.6     	87.4     	88.3     	81.4     	85.5    	88.5    	-.-      	92.1    	92.3     	88.5    	-.-       	88.5    	-.-       	88.5    	-.-       	99.5      	90.3     	88.1     	88.9     	81.9     	86.1    	89.3    	-.-      	99.2      	---/---     	        	        
	2026-04-13  	11:32:34  	00:00:20  	71.1     	70.3     	73.8     	69.7     	71.3    	71.4    	-.-      	70.8    	75.2     	71.4    	-.-       	71.4    	-.-       	71.4    	-.-       	87.5      	88.1     	87.3     	89.4     	85.8     	87.4    	88.4    	-.-      	91.0    	92.3     	88.4    	-.-       	88.4    	-.-       	88.4    	-.-       	97.6      	88.7     	87.9     	90.0     	86.3     	88.0    	89.2    	-.-      	98.3      	---/---     	        	        
	2026-04-13  	11:32:35  	00:00:21  	71.2     	70.2     	74.0     	68.7     	69.9    	71.3    	-.-      	69.5    	75.2     	71.3    	-.-       	71.3    	-.-       	71.3    	-.-       	85.5      	89.0     	86.7     	91.7     	83.6     	89.3    	88.5    	-.-      	87.7    	92.3     	88.5    	-.-       	88.5    	-.-       	88.5    	-.-       	99.6      	89.7     	87.3     	92.5     	84.1     	90.0    	89.3    	-.-      	100.2     	---/---     	        	        
	2026-04-13  	11:32:36  	00:00:22  	71.4     	70.3     	73.5     	69.6     	71.5    	71.4    	-.-      	70.4    	75.2     	71.4    	-.-       	71.4    	-.-       	71.4    	-.-       	85.0      	92.4     	88.7     	96.7     	88.4     	93.0    	88.8    	-.-      	89.6    	92.3     	88.8    	-.-       	88.8    	-.-       	88.8    	-.-       	102.5     	93.2     	89.5     	97.5     	89.2     	93.8    	89.6    	-.-      	103.1     	---/---     	        	        
	2026-04-13  	11:32:37  	00:00:23  	71.1     	70.3     	72.7     	66.9     	69.7    	71.3    	-.-      	70.6    	75.2     	71.3    	-.-       	71.3    	-.-       	71.3    	-.-       	84.3      	91.6     	89.4     	89.9     	85.3     	87.5    	88.8    	-.-      	89.4    	92.3     	88.8    	-.-       	88.8    	-.-       	88.8    	-.-       	98.1      	92.3     	90.3     	91.0     	86.1     	88.6    	89.6    	-.-      	98.7      	---/---     	        	        
	2026-04-13  	11:32:38  	00:00:24  	70.5     	68.9     	71.1     	66.0     	68.0    	71.2    	-.-      	70.3    	75.2     	71.2    	-.-       	71.2    	-.-       	71.2    	-.-       	82.4      	89.6     	88.4     	90.0     	84.5     	87.9    	88.8    	-.-      	89.6    	92.3     	88.8    	-.-       	88.8    	-.-       	88.8    	-.-       	96.6      	90.6     	89.5     	91.5     	85.6     	89.2    	89.6    	-.-      	98.9      	---/---     	        	        
	2026-04-13  	11:32:39  	00:00:25  	69.1     	67.8     	71.2     	65.4     	68.6    	71.1    	-.-      	69.7    	75.2     	71.1    	-.-       	71.1    	-.-       	71.1    	-.-       	80.9      	89.9     	86.6     	93.3     	80.8     	89.6    	88.8    	-.-      	90.0    	92.3     	88.8    	-.-       	88.8    	-.-       	88.8    	-.-       	101.7     	90.7     	87.6     	94.1     	81.5     	90.3    	89.6    	-.-      	102.6     	---/---     	        	        
	2026-04-13  	11:32:40  	00:00:26  	69.2     	68.8     	71.0     	67.9     	68.8    	71.0    	-.-      	69.5    	75.2     	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	80.3      	90.0     	89.1     	92.9     	86.7     	88.5    	88.8    	-.-      	89.8    	92.3     	88.8    	-.-       	88.8    	-.-       	88.8    	-.-       	98.0      	90.8     	89.9     	93.6     	87.3     	89.3    	89.6    	-.-      	99.4      	---/---     	        	        
	2026-04-13  	11:32:41  	00:00:27  	70.5     	68.8     	73.1     	68.3     	70.8    	71.0    	-.-      	69.3    	75.2     	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	81.9      	92.6     	88.9     	96.5     	87.5     	93.0    	89.0    	-.-      	89.8    	92.3     	89.0    	-.-       	89.0    	-.-       	89.0    	-.-       	102.8     	93.4     	89.7     	97.3     	88.3     	93.8    	89.8    	-.-      	103.5     	---/---     	        	        
	2026-04-13  	11:32:42  	00:00:28  	71.6     	70.5     	73.9     	69.0     	71.6    	71.1    	-.-      	69.8    	75.2     	71.1    	-.-       	71.1    	-.-       	71.1    	-.-       	82.6      	94.5     	92.6     	97.6     	90.2     	94.8    	89.4    	-.-      	91.6    	92.3     	89.4    	-.-       	89.4    	-.-       	89.4    	-.-       	103.8     	95.3     	93.4     	98.5     	91.2     	95.6    	90.3    	-.-      	104.8     	---/---     	        	        
	2026-04-13  	11:32:43  	00:00:29  	71.4     	70.8     	72.9     	69.5     	70.9    	71.1    	-.-      	70.3    	75.2     	71.1    	-.-       	71.1    	-.-       	71.1    	-.-       	81.3      	94.1     	93.0     	95.6     	90.5     	92.9    	89.6    	-.-      	92.3    	92.3     	89.6    	-.-       	89.6    	-.-       	89.6    	-.-       	102.4     	94.9     	93.8     	96.3     	91.2     	93.6    	90.4    	-.-      	103.4     	---/---     	        	        
	2026-04-13  	11:32:44  	00:00:30  	71.1     	70.4     	72.1     	68.1     	70.3    	71.0    	-.-      	70.6    	75.2     	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	82.2      	93.1     	91.6     	92.4     	88.1     	90.6    	89.7    	-.-      	92.5    	92.5     	89.7    	-.-       	89.7    	-.-       	89.7    	-.-       	99.7      	93.8     	92.4     	93.1     	89.1     	91.4    	90.5    	-.-      	100.6     	---/---     	        	        
	2026-04-13  	11:32:45  	00:00:31  	70.5     	69.5     	70.5     	68.3     	68.9    	71.0    	-.-      	70.6    	75.2     	71.0    	-.-       	71.0    	-.-       	71.0    	-.-       	81.8      	91.7     	90.4     	91.6     	88.8     	89.6    	89.7    	-.-      	92.6    	92.6     	89.7    	-.-       	89.7    	-.-       	89.7    	-.-       	98.0      	92.5     	91.2     	92.4     	89.5     	90.3    	90.5    	-.-      	98.5      	---/---     	        	        
