XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_005_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:32:14
	End:            	2026-04-13, 11:33:09

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	11:32:15  	00:00:01  	         	28.2     	25.1     	27.4     	39.3     	43.2     	45.1     	54.5     	57.2     	71.7     	73.8     	71.2     	69.9     	56.8     	56.5     	54.2     	48.5     	55.4     	53.9     	55.8     	61.7     	52.6     	61.2     	59.0     	66.8     	56.9     	52.9     	39.2     	34.3     	33.1     	27.0     	25.3     	24.1     	24.7     	25.9     	26.5     	28.8     
	2026-04-13  	11:32:16  	00:00:02  	         	25.5     	27.3     	28.7     	39.5     	45.3     	47.1     	60.6     	58.6     	67.0     	72.1     	71.2     	71.8     	55.2     	55.0     	53.1     	46.0     	54.8     	52.5     	61.3     	70.9     	53.1     	68.5     	65.0     	75.6     	64.1     	58.8     	43.4     	39.2     	41.4     	31.7     	27.7     	24.0     	24.8     	26.0     	26.6     	28.7     
	2026-04-13  	11:32:17  	00:00:03  	         	29.0     	23.8     	33.2     	37.9     	43.9     	45.9     	57.6     	57.9     	68.5     	73.4     	72.4     	69.9     	54.4     	56.2     	53.5     	46.4     	56.1     	53.6     	59.8     	68.8     	54.7     	66.1     	63.8     	73.2     	63.4     	57.0     	44.2     	39.5     	39.2     	30.1     	26.6     	24.0     	24.8     	25.9     	26.6     	28.7     
	2026-04-13  	11:32:18  	00:00:04  	         	26.5     	27.1     	28.4     	40.3     	41.9     	44.0     	58.1     	58.0     	67.7     	73.2     	72.1     	69.4     	55.8     	56.6     	53.5     	49.5     	55.8     	53.9     	59.1     	68.4     	54.3     	66.4     	63.1     	73.3     	62.4     	57.8     	48.6     	49.8     	58.8     	70.2     	61.7     	43.8     	43.5     	36.0     	30.5     	28.9     
	2026-04-13  	11:32:19  	00:00:05  	         	28.2     	23.8     	32.3     	42.4     	44.0     	44.9     	55.2     	62.3     	74.9     	78.4     	82.6     	79.9     	57.8     	55.9     	54.5     	52.8     	57.3     	56.1     	51.5     	52.9     	54.8     	57.6     	64.8     	59.7     	57.6     	50.8     	45.1     	42.4     	52.8     	59.9     	50.8     	34.2     	33.3     	28.6     	27.2     	28.7     
	2026-04-13  	11:32:20  	00:00:06  	         	20.6     	25.0     	32.6     	38.4     	44.3     	45.5     	54.8     	57.6     	66.1     	73.6     	72.7     	68.8     	55.2     	56.9     	53.4     	47.6     	55.2     	49.1     	48.3     	51.2     	52.2     	54.2     	54.9     	55.1     	49.4     	46.4     	36.9     	31.6     	27.7     	24.8     	24.5     	23.8     	24.7     	26.0     	26.6     	28.8     
	2026-04-13  	11:32:21  	00:00:07  	         	19.2     	28.3     	33.5     	41.2     	43.9     	40.9     	50.4     	56.8     	62.0     	73.4     	70.6     	69.2     	55.2     	58.0     	53.4     	47.9     	55.4     	49.1     	48.0     	51.6     	53.1     	55.0     	55.6     	57.4     	49.8     	47.1     	36.5     	31.5     	28.5     	24.9     	24.7     	23.8     	24.8     	26.1     	26.6     	28.7     
	2026-04-13  	11:32:22  	00:00:08  	         	24.5     	22.2     	33.1     	46.5     	44.9     	48.7     	54.1     	55.8     	67.8     	71.5     	72.7     	71.2     	57.4     	57.9     	54.0     	51.8     	54.5     	49.8     	47.9     	52.1     	49.5     	51.0     	51.5     	49.3     	48.9     	47.5     	37.5     	34.8     	28.0     	25.1     	24.6     	23.8     	24.7     	25.9     	26.7     	28.8     
