XL2 Broadband Logging:		KU100\2026-04-13_SLM_006_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:33:50
	End:            	2026-04-13, 11:34:47

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:33:51  	00:00:01  	69.1     	61.4     	76.5     	62.1     	69.4    	69.4    	-.-      	69.4    	-.-      	69.4    	-.-       	69.4    	-.-       	69.4    	-.-       	89.9      	77.0     	75.6     	79.1     	75.4     	77.5    	77.5    	-.-      	77.5    	-.-      	77.5    	-.-       	77.5    	-.-       	77.5    	-.-       	92.0      	77.9     	76.7     	79.9     	76.5     	78.5    	78.5    	-.-      	91.9      	---/---     	        	        
	2026-04-13  	11:33:52  	00:00:02  	76.0     	69.2     	80.0     	66.8     	77.4    	75.1    	-.-      	75.1    	-.-      	75.1    	-.-       	75.1    	-.-       	75.1    	-.-       	90.6      	79.2     	77.0     	81.6     	76.2     	79.9    	78.8    	-.-      	78.8    	-.-      	78.8    	-.-       	78.8    	-.-       	78.8    	-.-       	92.5      	79.8     	77.9     	82.0     	77.1     	80.3    	79.5    	-.-      	92.4      	---/---     	        	        
	2026-04-13  	11:33:53  	00:00:03  	76.8     	74.1     	80.2     	68.0     	75.5    	75.2    	-.-      	75.2    	-.-      	75.2    	-.-       	75.2    	-.-       	75.2    	-.-       	90.7      	79.6     	78.6     	81.8     	76.8     	79.1    	78.9    	-.-      	78.9    	-.-      	78.9    	-.-       	78.9    	-.-       	78.9    	-.-       	92.4      	80.2     	79.2     	82.2     	77.6     	79.7    	79.6    	-.-      	93.2      	---/---     	        	        
	2026-04-13  	11:33:54  	00:00:04  	77.8     	75.2     	81.2     	68.3     	77.0    	75.7    	-.-      	75.7    	-.-      	75.7    	-.-       	75.7    	-.-       	75.7    	-.-       	92.5      	79.9     	78.6     	82.2     	75.4     	79.4    	79.0    	-.-      	79.0    	-.-      	79.0    	-.-       	79.0    	-.-       	79.0    	-.-       	93.3      	80.5     	79.2     	82.6     	76.2     	80.1    	79.7    	-.-      	94.1      	---/---     	        	        
	2026-04-13  	11:33:55  	00:00:05  	76.2     	73.1     	74.0     	62.5     	69.2    	75.0    	-.-      	75.0    	75.0     	75.0    	-.-       	75.0    	-.-       	75.0    	-.-       	93.0      	84.5     	78.1     	90.7     	75.1     	85.0    	81.0    	-.-      	81.0    	81.0     	81.0    	-.-       	81.0    	-.-       	81.0    	-.-       	101.0     	85.3     	78.9     	91.6     	76.1     	85.8    	81.8    	-.-      	102.1     	---/---     	        	        
	2026-04-13  	11:33:56  	00:00:06  	73.0     	69.2     	64.8     	60.9     	61.5    	74.2    	-.-      	74.8    	75.0     	74.2    	-.-       	74.2    	-.-       	74.2    	-.-       	73.7      	83.8     	80.6     	82.4     	75.3     	76.3    	80.5    	-.-      	80.9    	81.0     	80.5    	-.-       	80.5    	-.-       	80.5    	-.-       	86.4      	84.6     	81.5     	83.2     	76.2     	77.3    	81.3    	-.-      	87.2      	---/---     	        	        
	2026-04-13  	11:33:57  	00:00:07  	69.2     	66.2     	64.7     	61.3     	62.6    	73.6    	-.-      	72.9    	75.0     	73.6    	-.-       	73.6    	-.-       	73.6    	-.-       	75.7      	80.6     	78.2     	77.2     	73.7     	75.8    	80.1    	-.-      	80.5    	81.0     	80.1    	-.-       	80.1    	-.-       	80.1    	-.-       	86.0      	81.5     	79.1     	78.2     	74.6     	76.8    	80.9    	-.-      	87.0      	---/---     	        	        
	2026-04-13  	11:33:58  	00:00:08  	66.2     	63.2     	61.8     	58.4     	59.6    	73.1    	-.-      	71.0    	75.0     	73.1    	-.-       	73.1    	-.-       	73.1    	-.-       	72.8      	78.3     	77.2     	80.2     	73.9     	77.1    	79.8    	-.-      	80.3    	81.0     	79.8    	-.-       	79.8    	-.-       	79.8    	-.-       	88.7      	79.2     	78.1     	81.4     	74.8     	78.2    	80.6    	-.-      	89.7      	---/---     	        	        
	2026-04-13  	11:33:59  	00:00:09  	64.4     	62.7     	66.4     	59.3     	64.6    	72.6    	-.-      	64.9    	75.0     	72.6    	-.-       	72.6    	-.-       	72.6    	-.-       	76.3      	85.1     	77.9     	88.7     	79.8     	86.7    	81.4    	-.-      	82.6    	82.6     	81.4    	-.-       	81.4    	-.-       	81.4    	-.-       	96.4      	85.9     	78.9     	89.4     	81.2     	87.5    	82.2    	-.-      	97.2      	---/---     	        	        
