XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_006_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:33:50
	End:            	2026-04-13, 11:34:47

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	11:33:51  	00:00:01  	         	30.3     	31.8     	28.9     	44.1     	44.0     	43.8     	56.2     	57.2     	71.7     	73.9     	71.3     	69.9     	56.7     	56.7     	54.4     	48.7     	55.1     	53.8     	55.4     	60.4     	52.6     	60.4     	58.2     	65.5     	56.3     	52.8     	39.3     	34.4     	32.9     	27.5     	26.0     	24.3     	25.1     	26.0     	26.7     	28.7     
	2026-04-13  	11:33:52  	00:00:02  	         	31.4     	27.4     	31.8     	45.4     	43.7     	45.1     	61.2     	58.7     	67.1     	72.2     	71.1     	71.8     	55.2     	55.1     	53.4     	46.6     	54.8     	52.7     	61.0     	70.5     	53.0     	68.1     	64.3     	75.4     	64.1     	59.2     	43.8     	39.7     	41.5     	32.2     	27.9     	24.3     	25.2     	26.1     	26.7     	28.9     
	2026-04-13  	11:33:53  	00:00:03  	         	28.0     	28.2     	26.8     	50.1     	45.4     	47.4     	58.7     	57.9     	68.6     	73.3     	72.4     	69.9     	54.0     	56.3     	53.1     	46.8     	56.2     	53.5     	59.8     	68.3     	54.6     	66.0     	63.4     	73.2     	63.4     	57.6     	44.5     	40.0     	39.7     	30.5     	26.8     	24.2     	24.9     	25.9     	26.7     	28.8     
	2026-04-13  	11:33:54  	00:00:04  	         	28.6     	27.8     	32.1     	51.2     	45.0     	43.9     	58.5     	57.9     	67.5     	73.2     	71.9     	69.5     	56.1     	56.7     	53.7     	49.1     	55.8     	53.9     	58.9     	67.8     	54.1     	66.3     	62.7     	73.2     	62.4     	58.2     	48.9     	50.2     	58.9     	70.4     	61.7     	44.1     	44.2     	36.7     	30.4     	28.9     
	2026-04-13  	11:33:55  	00:00:05  	         	32.8     	27.3     	26.8     	44.7     	44.5     	46.1     	55.1     	62.3     	75.0     	78.4     	82.5     	79.9     	57.8     	56.2     	54.5     	52.9     	57.2     	56.1     	51.4     	52.9     	54.7     	57.6     	64.7     	59.6     	57.6     	51.2     	45.3     	42.7     	52.9     	60.0     	50.8     	34.6     	34.1     	28.8     	27.2     	28.7     
	2026-04-13  	11:33:56  	00:00:06  	         	26.2     	27.7     	28.4     	50.9     	44.4     	46.2     	54.6     	57.9     	66.2     	74.1     	72.8     	68.9     	55.2     	57.1     	53.5     	47.5     	55.2     	49.1     	48.3     	51.2     	52.1     	54.1     	54.8     	54.8     	49.4     	46.6     	37.2     	32.0     	28.1     	25.0     	24.7     	24.0     	24.9     	25.9     	26.7     	28.8     
	2026-04-13  	11:33:57  	00:00:07  	         	24.3     	22.7     	30.9     	50.4     	43.6     	43.9     	52.0     	56.9     	62.6     	73.4     	70.8     	69.3     	55.2     	58.1     	53.3     	48.0     	55.1     	49.1     	47.8     	51.3     	53.1     	54.9     	55.5     	57.4     	49.8     	47.3     	36.4     	31.8     	28.8     	25.0     	24.6     	24.2     	24.9     	26.1     	26.6     	28.8     
	2026-04-13  	11:33:58  	00:00:08  	         	24.0     	20.9     	31.7     	43.9     	44.2     	48.6     	55.0     	56.1     	67.4     	71.7     	72.4     	71.0     	57.4     	57.8     	54.0     	51.4     	54.5     	49.8     	47.8     	52.2     	49.6     	51.0     	51.5     	49.3     	49.0     	47.7     	38.1     	35.3     	28.2     	25.1     	24.6     	24.0     	24.8     	26.0     	26.8     	28.8     
