XL2 Broadband Logging:		KU100\2026-04-13_SLM_007_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:42:46
	End:            	2026-04-13, 11:43:42

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:42:47  	00:00:01  	65.7     	59.3     	72.4     	60.2     	66.0    	66.0    	-.-      	66.0    	-.-      	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	84.5      	76.9     	75.9     	78.8     	75.5     	77.3    	77.3    	-.-      	77.3    	-.-      	77.3    	-.-       	77.3    	-.-       	77.3    	-.-       	89.4      	77.9     	77.0     	79.9     	76.6     	78.3    	78.3    	-.-      	89.0      	---/---     	        	        
	2026-04-13  	11:42:48  	00:00:02  	71.2     	65.7     	74.9     	63.1     	72.4    	70.3    	-.-      	70.3    	-.-      	70.3    	-.-       	70.3    	-.-       	70.3    	-.-       	85.1      	78.1     	76.9     	80.2     	76.1     	78.5    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	90.8      	78.8     	77.9     	80.7     	77.0     	79.1    	78.7    	-.-      	90.6      	---/---     	        	        
	2026-04-13  	11:42:49  	00:00:03  	71.9     	69.5     	75.0     	64.7     	70.6    	70.4    	-.-      	70.4    	-.-      	70.4    	-.-       	70.4    	-.-       	70.4    	-.-       	85.2      	78.4     	77.8     	80.0     	76.2     	77.9    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	90.0      	79.1     	78.6     	80.6     	76.9     	78.7    	78.7    	-.-      	91.3      	---/---     	        	        
	2026-04-13  	11:42:50  	00:00:04  	72.6     	70.3     	75.8     	64.1     	71.6    	70.7    	-.-      	70.7    	-.-      	70.7    	-.-       	70.7    	-.-       	70.7    	-.-       	86.7      	78.3     	77.6     	79.8     	74.9     	78.0    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	90.3      	79.0     	78.3     	80.4     	75.8     	78.8    	78.7    	-.-      	90.8      	---/---     	        	        
	2026-04-13  	11:42:51  	00:00:05  	70.9     	68.3     	70.6     	59.6     	65.7    	70.1    	-.-      	70.1    	70.1     	70.1    	-.-       	70.1    	-.-       	70.1    	-.-       	88.7      	84.5     	77.2     	90.9     	75.2     	85.1    	80.6    	-.-      	80.6    	80.6     	80.6    	-.-       	80.6    	-.-       	80.6    	-.-       	101.0     	85.3     	78.1     	91.8     	76.2     	86.0    	81.4    	-.-      	102.2     	---/---     	        	        
	2026-04-13  	11:42:52  	00:00:06  	68.3     	64.8     	61.7     	58.3     	59.1    	69.4    	-.-      	69.8    	70.1     	69.4    	-.-       	69.4    	-.-       	69.4    	-.-       	71.9      	83.7     	80.6     	81.8     	75.4     	76.3    	80.1    	-.-      	80.5    	80.6     	80.1    	-.-       	80.1    	-.-       	80.1    	-.-       	86.4      	84.6     	81.5     	82.7     	76.3     	77.3    	81.0    	-.-      	86.9      	---/---     	        	        
	2026-04-13  	11:42:53  	00:00:07  	64.8     	62.3     	60.9     	58.8     	59.7    	68.8    	-.-      	68.0    	70.1     	68.8    	-.-       	68.8    	-.-       	68.8    	-.-       	72.6      	80.6     	78.2     	77.2     	73.8     	76.0    	79.7    	-.-      	80.3    	80.6     	79.7    	-.-       	79.7    	-.-       	79.7    	-.-       	85.8      	81.4     	79.1     	78.2     	74.8     	76.9    	80.6    	-.-      	86.7      	---/---     	        	        
	2026-04-13  	11:42:54  	00:00:08  	62.3     	60.0     	59.8     	56.6     	57.8    	68.3    	-.-      	66.1    	70.1     	68.3    	-.-       	68.3    	-.-       	68.3    	-.-       	69.9      	78.3     	77.2     	80.5     	74.2     	77.4    	79.5    	-.-      	80.2    	80.6     	79.5    	-.-       	79.5    	-.-       	79.5    	-.-       	88.6      	79.2     	78.2     	81.7     	75.1     	78.4    	80.4    	-.-      	89.9      	---/---     	        	        
	2026-04-13  	11:42:55  	00:00:09  	63.5     	59.8     	66.4     	57.9     	64.6    	68.0    	-.-      	62.6    	70.1     	68.0    	-.-       	68.0    	-.-       	68.0    	-.-       	75.6      	85.4     	78.0     	88.9     	80.2     	87.0    	81.3    	-.-      	82.9    	82.9     	81.3    	-.-       	81.3    	-.-       	81.3    	-.-       	96.5      	86.2     	79.1     	89.6     	81.6     	87.8    	82.1    	-.-      	97.4      	---/---     	        	        
