XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_007_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:42:46
	End:            	2026-04-13, 11:43:42

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	11:42:47  	00:00:01  	         	27.7     	29.8     	30.8     	46.8     	43.5     	45.4     	55.0     	57.2     	71.7     	73.9     	71.5     	70.2     	57.3     	57.1     	55.2     	48.6     	55.6     	53.6     	56.8     	63.0     	53.6     	60.0     	55.8     	58.7     	47.2     	41.5     	28.6     	24.6     	25.1     	23.3     	22.7     	23.4     	24.2     	25.8     	26.7     	28.7     
	2026-04-13  	11:42:48  	00:00:02  	         	32.6     	27.2     	31.3     	48.0     	44.7     	45.8     	59.8     	58.7     	67.1     	72.3     	71.4     	72.1     	55.7     	55.7     	54.4     	46.0     	54.7     	52.4     	61.8     	71.7     	54.0     	65.8     	61.8     	67.2     	54.3     	47.1     	32.6     	28.2     	31.8     	25.5     	23.1     	23.3     	24.2     	25.9     	26.7     	28.8     
	2026-04-13  	11:42:49  	00:00:03  	         	30.2     	27.1     	27.0     	45.2     	42.8     	44.5     	58.4     	58.0     	68.7     	73.4     	72.6     	70.2     	55.0     	57.0     	54.5     	46.8     	56.3     	53.6     	60.6     	69.9     	55.6     	63.8     	60.4     	64.7     	53.3     	45.4     	33.2     	29.1     	30.0     	24.8     	22.8     	23.5     	24.1     	25.8     	26.5     	28.8     
	2026-04-13  	11:42:50  	00:00:04  	         	30.1     	27.2     	30.7     	42.5     	46.3     	44.0     	59.9     	58.2     	68.0     	73.2     	72.3     	69.7     	56.2     	57.3     	54.3     	49.3     	55.9     	54.0     	59.9     	69.7     	55.1     	64.2     	59.9     	64.8     	52.6     	46.2     	37.3     	38.9     	49.3     	63.8     	53.9     	32.4     	31.3     	27.1     	29.1     	28.8     
	2026-04-13  	11:42:51  	00:00:05  	         	25.4     	28.5     	29.1     	42.4     	42.7     	44.8     	56.5     	62.3     	75.0     	78.6     	82.8     	80.2     	58.4     	56.6     	55.3     	52.7     	57.2     	56.1     	52.4     	54.0     	55.8     	56.5     	60.9     	52.1     	46.7     	39.5     	33.8     	31.6     	43.1     	52.9     	42.6     	25.4     	25.6     	26.0     	27.0     	28.7     
	2026-04-13  	11:42:52  	00:00:06  	         	25.8     	28.2     	29.8     	40.7     	45.4     	44.0     	54.3     	57.9     	66.3     	73.7     	73.0     	68.9     	55.6     	57.7     	54.6     	47.8     	55.3     	49.2     	49.1     	52.0     	53.3     	53.3     	50.6     	48.0     	38.9     	35.0     	26.2     	22.7     	21.7     	21.8     	22.3     	23.3     	24.1     	25.8     	26.7     	28.8     
	2026-04-13  	11:42:53  	00:00:07  	         	25.4     	24.7     	32.3     	39.2     	43.9     	45.6     	54.7     	56.9     	62.3     	73.4     	70.8     	69.4     	55.7     	58.4     	54.5     	48.3     	55.6     	49.1     	48.9     	52.7     	54.1     	53.8     	51.3     	50.2     	39.5     	35.7     	26.0     	22.7     	22.1     	22.0     	22.5     	23.4     	24.1     	25.7     	26.5     	28.7     
	2026-04-13  	11:42:54  	00:00:08  	         	30.4     	26.4     	28.8     	44.7     	43.9     	48.9     	54.2     	56.3     	68.2     	71.7     	73.0     	71.5     	58.0     	58.4     	55.1     	52.2     	54.6     	49.9     	48.8     	52.8     	50.8     	49.9     	47.5     	42.2     	38.1     	36.0     	26.5     	24.6     	22.1     	22.1     	22.4     	23.1     	24.3     	25.7     	26.7     	28.8     
