XL2 Broadband Logging:		KU100\2026-04-13_SLM_008_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:44:14
	End:            	2026-04-13, 11:45:11

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-13  	11:44:15  	00:00:01  	59.4     	54.4     	65.7     	54.6     	59.7    	59.7    	-.-      	59.7    	-.-      	59.7    	-.-       	59.7    	-.-       	59.7    	-.-       	78.1      	77.6     	76.7     	79.7     	76.2     	78.0    	78.0    	-.-      	78.0    	-.-      	78.0    	-.-       	78.0    	-.-       	78.0    	-.-       	89.1      	78.7     	77.8     	80.8     	77.4     	79.1    	79.1    	-.-      	90.2      	---/---     	        	        
	2026-04-13  	11:44:16  	00:00:02  	65.4     	59.5     	69.1     	58.1     	66.6    	64.4    	-.-      	64.4    	-.-      	64.4    	-.-       	64.4    	-.-       	64.4    	-.-       	79.0      	77.8     	77.1     	79.6     	75.9     	77.8    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	88.4      	78.8     	78.2     	80.4     	76.8     	78.7    	78.9    	-.-      	89.1      	---/---     	        	        
	2026-04-13  	11:44:17  	00:00:03  	65.9     	63.6     	69.1     	58.6     	64.7    	64.5    	-.-      	64.5    	-.-      	64.5    	-.-       	64.5    	-.-       	64.5    	-.-       	78.6      	78.1     	77.7     	79.3     	76.2     	77.9    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	88.5      	79.1     	78.6     	80.2     	77.2     	78.9    	78.9    	-.-      	89.4      	---/---     	        	        
	2026-04-13  	11:44:18  	00:00:04  	68.1     	64.4     	71.9     	58.5     	68.5    	65.9    	-.-      	65.9    	-.-      	65.9    	-.-       	65.9    	-.-       	65.9    	-.-       	83.9      	78.0     	77.4     	79.0     	75.5     	78.0    	77.9    	-.-      	77.9    	-.-      	77.9    	-.-       	77.9    	-.-       	77.9    	-.-       	88.8      	79.0     	78.4     	80.1     	76.4     	79.0    	78.9    	-.-      	89.4      	---/---     	        	        
	2026-04-13  	11:44:19  	00:00:05  	67.1     	65.2     	68.5     	55.7     	63.7    	65.5    	-.-      	65.5    	65.5     	65.5    	-.-       	65.5    	-.-       	65.5    	-.-       	81.1      	85.6     	77.6     	92.1     	76.3     	86.3    	81.3    	-.-      	81.3    	81.3     	81.3    	-.-       	81.3    	-.-       	81.3    	-.-       	102.1     	86.4     	78.6     	93.0     	77.3     	87.2    	82.2    	-.-      	103.0     	---/---     	        	        
	2026-04-13  	11:44:20  	00:00:06  	65.2     	61.5     	59.7     	54.1     	54.7    	64.8    	-.-      	65.4    	65.5     	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	65.7      	84.9     	81.7     	83.4     	76.4     	77.4    	80.9    	-.-      	81.3    	81.3     	80.9    	-.-       	80.9    	-.-       	80.9    	-.-       	87.2      	85.8     	82.6     	84.3     	77.4     	78.4    	81.8    	-.-      	87.6      	---/---     	        	        
	2026-04-13  	11:44:21  	00:00:07  	61.5     	58.6     	56.4     	53.9     	55.0    	64.2    	-.-      	64.1    	65.5     	64.2    	-.-       	64.2    	-.-       	64.2    	-.-       	66.8      	81.7     	79.3     	78.1     	74.6     	77.0    	80.5    	-.-      	81.2    	81.3     	80.5    	-.-       	80.5    	-.-       	80.5    	-.-       	87.0      	82.6     	80.2     	79.2     	75.7     	78.0    	81.4    	-.-      	87.9      	---/---     	        	        
	2026-04-13  	11:44:22  	00:00:08  	58.6     	56.6     	56.7     	53.0     	54.8    	63.7    	-.-      	63.1    	65.5     	63.7    	-.-       	63.7    	-.-       	63.7    	-.-       	65.5      	79.4     	78.2     	81.5     	74.8     	78.3    	80.3    	-.-      	81.2    	81.3     	80.3    	-.-       	80.3    	-.-       	80.3    	-.-       	89.7      	80.3     	79.2     	82.7     	75.8     	79.3    	81.2    	-.-      	90.8      	---/---     	        	        
	2026-04-13  	11:44:23  	00:00:09  	63.1     	56.7     	66.6     	56.1     	64.6    	63.8    	-.-      	60.9    	65.5     	63.8    	-.-       	63.8    	-.-       	63.8    	-.-       	74.7      	86.4     	79.0     	90.1     	81.0     	88.1    	82.2    	-.-      	84.0    	84.0     	82.2    	-.-       	82.2    	-.-       	82.2    	-.-       	97.5      	87.3     	80.0     	90.9     	82.3     	88.9    	83.1    	-.-      	98.2      	---/---     	        	        
	2026-04-13  	11:44:24  	00:00:10  	66.7     	63.1     	69.1     	64.3     	67.9    	64.4    	-.-      	63.0    	65.5     	64.4    	-.-       	64.4    	-.-       	64.4    	-.-       	76.7      	90.8     	86.4     	94.2     	87.5     	91.7    	84.7    	-.-      	86.6    	86.6     	84.7    	-.-       	84.7    	-.-       	84.7    	-.-       	101.3     	91.8     	87.3     	95.6     	88.3     	92.7    	85.6    	-.-      	102.5     	---/---     	        	        
	2026-04-13  	11:44:25  	00:00:11  	66.8     	65.4     	68.4     	61.9     	64.9    	64.5    	-.-      	64.1    	65.5     	64.5    	-.-       	64.5    	-.-       	64.5    	-.-       	78.7      	91.9     	90.1     	95.0     	84.3     	90.6    	85.7    	-.-      	88.3    	88.3     	85.7    	-.-       	85.7    	-.-       	85.7    	-.-       	103.0     	93.2     	91.3     	96.4     	85.5     	92.0    	86.8    	-.-      	104.0     	---/---     	        	        
	2026-04-13  	11:44:26  	00:00:12  	65.7     	64.7     	67.1     	62.5     	65.4    	64.6    	-.-      	65.0    	65.5     	64.6    	-.-       	64.6    	-.-       	64.6    	-.-       	78.1      	90.5     	89.1     	92.0     	84.2     	88.5    	86.0    	-.-      	89.1    	89.1     	86.0    	-.-       	86.0    	-.-       	86.0    	-.-       	100.2     	91.7     	90.1     	93.2     	85.2     	89.4    	87.1    	-.-      	101.7     	---/---     	        	        
	2026-04-13  	11:44:27  	00:00:13  	66.9     	65.5     	69.2     	64.0     	67.2    	64.8    	-.-      	66.2    	66.2     	64.8    	-.-       	64.8    	-.-       	64.8    	-.-       	79.6      	89.6     	87.5     	92.7     	83.5     	89.0    	86.3    	-.-      	89.8    	89.8     	86.3    	-.-       	86.3    	-.-       	86.3    	-.-       	101.2     	90.4     	88.4     	93.5     	84.3     	89.8    	87.4    	-.-      	101.8     	---/---     	        	        
	2026-04-13  	11:44:28  	00:00:14  	67.8     	66.9     	69.4     	66.6     	68.0    	65.2    	-.-      	66.8    	66.8     	65.2    	-.-       	65.2    	-.-       	65.2    	-.-       	78.6      	90.4     	89.6     	92.9     	89.2     	90.7    	86.9    	-.-      	90.2    	90.2     	86.9    	-.-       	86.9    	-.-       	86.9    	-.-       	97.5      	91.3     	90.4     	93.7     	90.0     	91.5    	87.8    	-.-      	99.1      	---/---     	        	        
	2026-04-13  	11:44:29  	00:00:15  	70.2     	67.5     	73.6     	66.9     	71.2    	66.0    	-.-      	68.0    	68.0     	66.0    	-.-       	66.0    	-.-       	66.0    	-.-       	80.6      	93.8     	90.1     	98.1     	89.5     	95.0    	88.2    	-.-      	91.5    	91.5     	88.2    	-.-       	88.2    	-.-       	88.2    	-.-       	102.9     	94.6     	91.0     	98.9     	90.3     	95.8    	89.1    	-.-      	103.4     	---/---     	        	        
