XL2 RTA Spectrum Logging:		KU100\2026-04-13_SLM_008_RTA_3rd_Log.txt                                       
-------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.9 mV/Pa
	                	(User calibrated 2026-04-13  10:29)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	Resolution:     	1/3 Octave
	Range:          	30 - 130 dB

# Time
	Start:          	2026-04-13, 11:44:14
	End:            	2026-04-13, 11:45:11

# RTA LOG Results 
	            	          	          	         	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  	LZeq_dt  
	Date        	Time      	Timer     	Band [Hz]	6.3      	8.0      	10.0     	12.5     	16.0     	20.0     	25.0     	31.5     	40.0     	50.0     	63.0     	80.0     	100.0    	125.0    	160.0    	200.0    	250.0    	315.0    	400.0    	500.0    	630.0    	800.0    	1000.0   	1250.0   	1600.0   	2000.0   	2500.0   	3150.0   	4000.0   	5000.0   	6300.0   	8000.0   	10000.0  	12500.0  	16000.0  	20000.0  
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	         	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     	[dB]     
	2026-04-13  	11:44:15  	00:00:01  	         	29.0     	25.0     	26.1     	37.2     	44.5     	47.9     	56.7     	57.8     	72.5     	74.9     	72.9     	71.3     	57.1     	56.0     	53.4     	45.7     	51.1     	47.5     	48.2     	53.8     	43.9     	50.8     	48.0     	54.5     	43.1     	37.8     	27.1     	26.1     	27.4     	24.3     	23.2     	23.8     	24.3     	25.9     	26.7     	28.9     
	2026-04-13  	11:44:16  	00:00:02  	         	33.7     	31.2     	30.7     	41.6     	45.8     	46.3     	60.6     	59.1     	68.0     	73.2     	72.8     	73.2     	55.6     	54.3     	52.4     	42.9     	50.3     	46.3     	53.5     	63.5     	44.1     	57.6     	54.0     	63.5     	50.9     	43.8     	30.9     	29.8     	35.1     	26.9     	23.7     	23.6     	24.3     	25.8     	26.8     	28.9     
	2026-04-13  	11:44:17  	00:00:03  	         	31.6     	27.6     	32.5     	44.1     	44.9     	47.9     	58.9     	58.3     	69.3     	74.5     	74.0     	71.2     	54.7     	55.5     	52.6     	43.8     	51.9     	47.4     	52.4     	61.5     	46.1     	55.2     	52.9     	61.1     	50.0     	42.1     	32.1     	30.7     	33.0     	25.8     	23.1     	23.5     	24.2     	25.9     	26.6     	28.9     
	2026-04-13  	11:44:18  	00:00:04  	         	28.3     	25.7     	33.6     	42.6     	43.7     	44.8     	58.6     	58.5     	68.4     	74.3     	73.6     	70.8     	56.1     	56.0     	52.6     	46.1     	51.7     	47.7     	51.5     	61.1     	45.6     	55.6     	52.1     	61.1     	49.2     	42.8     	36.3     	41.6     	52.4     	65.1     	54.9     	34.4     	31.9     	27.2     	29.7     	28.9     
	2026-04-13  	11:44:19  	00:00:05  	         	33.2     	25.1     	34.8     	47.6     	46.4     	46.3     	55.2     	62.7     	75.8     	79.6     	84.1     	81.5     	58.4     	55.3     	53.2     	49.9     	53.0     	50.1     	45.0     	44.9     	46.1     	47.5     	54.2     	47.7     	43.2     	36.4     	32.8     	33.9     	46.2     	54.3     	43.7     	26.7     	26.0     	25.8     	27.1     	28.9     
	2026-04-13  	11:44:20  	00:00:06  	         	33.0     	33.1     	32.8     	46.6     	44.4     	43.3     	53.5     	58.5     	67.2     	75.0     	74.4     	70.3     	55.4     	56.2     	52.8     	44.7     	50.8     	43.0     	41.8     	43.2     	43.4     	44.2     	43.5     	43.1     	35.3     	31.4     	25.7     	24.1     	23.6     	22.7     	22.6     	23.4     	24.1     	25.8     	26.6     	28.7     
	2026-04-13  	11:44:21  	00:00:07  	         	20.2     	30.1     	31.5     	39.9     	44.8     	43.2     	52.4     	57.6     	62.9     	74.6     	72.4     	70.6     	55.6     	57.3     	52.8     	45.2     	51.3     	43.0     	41.5     	43.7     	44.2     	44.9     	44.3     	45.6     	35.8     	32.1     	25.4     	24.1     	24.0     	22.7     	22.6     	23.6     	24.3     	25.8     	26.6     	28.8     
	2026-04-13  	11:44:22  	00:00:08  	         	30.1     	27.3     	30.0     	48.2     	45.3     	48.4     	52.7     	56.5     	68.5     	72.7     	74.1     	72.5     	57.6     	57.3     	53.2     	48.9     	50.3     	43.6     	41.1     	44.2     	41.1     	41.0     	40.7     	37.4     	34.7     	32.5     	26.2     	27.1     	23.8     	22.6     	22.7     	23.6     	24.3     	25.8     	26.7     	28.8     
